timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779113880.079,0.00,1185.55,0.00,0.00,0.00,0.00,80.678
1779113880.179,0.00,1185.56,0.00,0.00,0.00,0.00,80.678
1779113880.280,22.50,1293.61,0.00,0.00,0.00,0.00,80.678
1779113880.380,36.90,1410.55,0.00,0.00,0.00,0.00,80.678
1779113880.480,5.00,1477.12,0.00,0.00,0.00,0.00,80.678
1779113880.581,1.20,1498.85,0.00,0.00,0.00,0.00,80.678
1779113880.681,6.20,1663.46,0.00,0.00,0.00,0.00,80.678
1779113880.781,10.70,1678.04,0.00,0.00,0.00,0.00,80.678
1779113880.881,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113880.982,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113881.082,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113881.182,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113881.283,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113881.383,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113881.483,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113881.584,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113881.684,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113881.784,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113881.884,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113881.985,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113882.085,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113882.185,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113882.286,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113882.386,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113882.486,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113882.587,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113882.687,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113882.787,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113882.888,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113882.988,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113883.088,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113883.189,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113883.289,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113883.389,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113883.490,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113883.590,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113883.690,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113883.791,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113883.891,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113883.991,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113884.091,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113884.192,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113884.292,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113884.392,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113884.493,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113884.593,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113884.693,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113884.794,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113884.894,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113884.994,0.60,1678.04,0.00,0.00,0.00,0.00,80.678
1779113885.095,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113885.195,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113885.295,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113885.395,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113885.496,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113885.596,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113885.696,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113885.797,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113885.897,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113885.997,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113886.098,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113886.198,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113886.298,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113886.399,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113886.499,0.00,1678.04,0.00,0.00,0.00,0.00,80.678
1779113886.599,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113886.700,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113886.800,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113886.900,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113887.000,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113887.101,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113887.201,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113887.301,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113887.401,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113887.502,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113887.602,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113887.702,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113887.802,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113887.903,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113888.003,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113888.103,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113888.203,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113888.304,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113888.404,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113888.504,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113888.604,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
1779113888.705,0.00,1678.05,0.00,0.00,0.00,0.00,80.678
