timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779113828.053,0.00,1185.75,0.00,0.00,0.00,0.00,33.737
1779113828.153,0.00,1185.76,0.00,0.00,0.00,0.00,33.737
1779113828.253,25.30,1299.62,0.00,0.00,0.00,0.00,33.737
1779113828.354,35.60,1413.48,0.00,0.00,0.00,0.00,33.737
1779113828.454,4.40,1477.29,0.00,0.00,0.00,0.00,33.737
1779113828.554,2.50,1531.57,0.00,0.00,0.00,0.00,33.737
1779113828.655,6.20,1675.70,0.00,0.00,0.00,0.00,33.737
1779113828.756,10.50,1678.22,0.00,0.00,0.00,0.00,33.737
1779113828.857,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113828.957,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113829.058,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113829.158,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113829.259,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113829.359,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113829.460,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113829.560,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113829.660,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113829.761,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113829.861,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113829.962,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113830.062,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113830.162,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113830.263,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113830.363,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113830.464,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113830.564,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113830.665,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113830.765,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113830.866,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113830.966,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113831.066,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113831.167,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113831.267,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113831.368,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
1779113831.468,0.00,1678.22,0.00,0.00,0.00,0.00,33.737
