timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779113807.256,0.00,1185.48,0.00,0.00,0.00,0.00,5.321
1779113807.356,0.00,1185.49,0.00,0.00,0.00,0.00,5.321
1779113807.456,25.00,1286.87,0.00,0.00,0.00,0.00,5.321
1779113807.556,37.90,1404.45,0.00,0.00,0.00,0.00,5.321
1779113807.657,5.00,1477.02,0.00,0.00,0.00,0.00,5.321
1779113807.757,1.30,1504.20,0.00,0.00,0.00,0.00,5.321
1779113807.857,6.20,1665.83,0.00,0.00,0.00,0.00,5.321
1779113807.958,10.60,1677.96,0.00,0.00,0.00,0.00,5.321
1779113808.058,0.00,1677.96,0.00,0.00,0.00,0.00,5.321
1779113808.159,0.60,1677.96,0.00,0.00,0.00,0.00,5.321
1779113808.259,0.00,1677.96,0.00,0.00,0.00,0.00,5.321
1779113808.359,0.00,1677.96,0.00,0.00,0.00,0.00,5.321
1779113808.460,0.60,1677.96,0.00,0.00,0.00,0.00,5.321
1779113808.560,0.00,1677.96,0.00,0.00,0.00,0.00,5.321
1779113808.661,0.00,1677.96,0.00,0.00,0.00,0.00,5.321
1779113808.761,0.00,1677.96,0.00,0.00,0.00,0.00,5.321
1779113808.889,3.90,1706.78,0.00,0.00,0.00,0.00,5.321
1779113808.990,93.70,1707.21,0.00,0.00,0.00,0.00,5.321
1779113809.090,18.00,1707.22,0.00,0.00,0.00,0.00,5.321
1779113809.191,0.60,1707.25,0.00,0.00,0.00,0.00,5.321
1779113809.291,1.30,1710.27,0.00,0.00,0.00,0.00,5.321
1779113809.392,1.80,1710.40,0.00,0.00,0.00,0.00,5.321
1779113809.503,6.20,1949.43,0.00,0.00,0.00,0.00,5.321
1779113809.604,6.20,1950.23,0.00,0.00,0.00,0.00,5.321
1779113809.704,6.80,2014.42,0.00,0.00,0.00,0.00,5.321
1779113809.804,6.30,2128.48,0.00,0.00,0.00,0.00,5.321
1779113809.905,6.20,2197.77,0.00,0.00,0.00,0.00,5.321
1779113810.005,17.40,2380.44,0.00,0.00,0.00,0.00,5.321
1779113810.105,6.20,1975.16,0.00,0.00,0.00,0.00,5.321
1779113810.206,47.20,2162.04,0.00,0.00,0.00,0.00,5.321
1779113810.306,49.10,2310.48,0.00,0.00,0.00,0.00,5.321
1779113810.406,46.90,2173.09,0.00,0.00,0.00,0.00,5.321
1779113810.507,47.80,2326.40,0.00,0.00,0.00,0.00,5.321
1779113810.607,47.50,2454.80,0.00,0.00,0.00,0.00,5.321
1779113810.708,46.90,2326.53,0.00,0.00,0.00,0.00,5.321
1779113810.808,49.70,2434.75,0.00,0.00,0.00,0.00,5.321
1779113810.909,50.30,2421.85,0.00,0.00,0.00,0.00,5.321
1779113811.009,41.00,2556.07,0.00,0.00,0.00,0.00,5.321
1779113811.110,50.30,2580.80,0.00,0.00,0.00,0.00,5.321
1779113811.210,49.40,2613.14,0.00,0.00,0.00,0.00,5.321
1779113811.310,49.40,2663.17,0.00,0.00,0.00,0.00,5.321
1779113811.411,49.70,2557.31,0.00,0.00,0.00,0.00,5.321
1779113811.511,49.70,2625.88,0.00,0.00,0.00,0.00,5.321
1779113811.612,50.00,2701.32,0.00,0.00,0.00,0.00,5.321
1779113811.712,48.80,2691.68,0.00,0.00,0.00,0.00,5.321
1779113811.812,31.70,2597.56,0.00,0.00,0.00,0.00,5.321
1779113811.913,48.10,2570.36,0.00,0.00,0.00,0.00,5.321
1779113812.013,48.10,2560.07,0.00,0.00,0.00,0.00,5.321
1779113812.114,48.80,2613.47,0.00,0.00,0.00,0.00,5.321
1779113812.214,47.20,2627.52,0.00,0.00,0.00,0.00,5.321
1779113812.315,48.40,2617.95,0.00,0.00,0.00,0.00,5.321
1779113812.415,48.80,2681.20,0.00,0.00,0.00,0.00,5.321
1779113812.515,24.40,2493.71,0.00,0.00,0.00,0.00,5.321
1779113812.616,45.30,2631.00,0.00,0.00,0.00,0.00,5.321
1779113812.716,47.50,2623.12,0.00,0.00,0.00,0.00,5.321
1779113812.817,48.50,2615.73,0.00,0.00,0.00,0.00,5.321
1779113812.917,47.80,2604.86,0.00,0.00,0.00,0.00,5.321
1779113813.017,47.80,2601.00,0.00,0.00,0.00,0.00,5.321
1779113813.118,40.60,2495.05,0.00,0.00,0.00,0.00,5.321
1779113813.218,30.00,2565.18,0.00,0.00,0.00,0.00,5.321
1779113813.318,49.10,2550.07,0.00,0.00,0.00,0.00,5.321
1779113813.419,48.10,2656.19,0.00,0.00,0.00,0.00,5.321
1779113813.519,47.20,2559.04,0.00,0.00,0.00,0.00,5.321
1779113813.619,48.40,2707.92,0.00,0.00,0.00,0.00,5.321
1779113813.720,57.20,2445.02,0.00,0.00,0.00,0.00,5.321
1779113813.820,91.90,2445.48,0.00,0.00,0.00,0.00,5.321
1779113813.921,49.70,2446.84,0.00,0.00,0.00,0.00,5.321
1779113814.021,46.30,2448.84,0.00,0.00,0.00,0.00,5.321
1779113814.123,32.50,2480.07,0.00,0.00,0.00,0.00,5.321
