timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779110972.130,0.00,1185.22,0.00,0.00,0.00,0.00,123.690
1779110972.230,0.00,1185.24,0.00,0.00,0.00,0.00,123.690
1779110972.330,21.70,1259.49,0.00,0.00,0.00,0.00,123.690
1779110972.430,48.80,1323.14,0.00,0.00,0.00,0.00,123.690
1779110972.531,42.50,1403.08,0.00,0.00,0.00,0.00,123.690
1779110972.631,8.30,1464.13,0.00,0.00,0.00,0.00,123.690
1779110972.731,3.30,1476.70,0.00,0.00,0.00,0.00,123.690
1779110972.831,4.20,1544.32,0.00,0.00,0.00,0.00,123.690
1779110972.931,8.30,1655.56,0.00,0.00,0.00,0.00,123.690
1779110973.032,20.00,1677.63,0.00,0.00,0.00,0.00,123.690
1779110973.132,0.00,1677.63,0.00,0.00,0.00,0.00,123.690
1779110973.232,0.00,1677.63,0.00,0.00,0.00,0.00,123.690
1779110973.332,0.00,1677.63,0.00,0.00,0.00,0.00,123.690
1779110973.432,0.00,1677.63,0.00,0.00,0.00,0.00,123.690
1779110973.532,0.00,1677.63,0.00,0.00,0.00,0.00,123.690
1779110973.632,0.00,1677.63,0.00,0.00,0.00,0.00,123.690
1779110973.732,0.00,1677.63,0.00,0.00,0.00,0.00,123.690
1779110973.833,0.00,1677.63,0.00,0.00,0.00,0.00,123.690
1779110973.933,0.00,1677.63,0.00,0.00,0.00,0.00,123.690
1779110974.082,6.10,1706.37,0.00,0.00,0.00,0.00,123.690
1779110974.183,95.00,1706.86,0.00,0.00,0.00,0.00,123.690
1779110974.283,24.20,1706.87,0.00,0.00,0.00,0.00,123.690
1779110974.383,0.80,1706.89,0.00,0.00,0.00,0.00,123.690
1779110974.483,0.80,1706.89,0.00,0.00,0.00,0.00,123.690
1779110974.584,3.30,1709.93,0.00,0.00,0.00,0.00,123.690
1779110974.685,5.70,1710.86,0.00,0.00,0.00,0.00,123.690
1779110974.786,8.30,1941.08,0.00,0.00,0.00,0.00,123.690
1779110974.886,8.30,1953.71,0.00,0.00,0.00,0.00,123.690
1779110974.986,8.30,1953.85,0.00,0.00,0.00,0.00,123.690
1779110975.086,8.30,2013.66,0.00,0.00,0.00,0.00,123.690
1779110975.186,8.30,2082.87,0.00,0.00,0.00,0.00,123.690
1779110975.286,8.30,2152.46,0.00,0.00,0.00,0.00,123.690
1779110975.386,8.30,2205.80,0.00,0.00,0.00,0.00,123.690
1779110975.487,14.30,2383.80,0.00,0.00,0.00,0.00,123.690
1779110975.587,11.50,2384.60,0.00,0.00,0.00,0.00,123.690
1779110975.687,37.80,2003.39,0.00,0.00,0.00,0.00,123.690
1779110975.787,48.30,2127.88,0.00,0.00,0.00,0.00,123.690
1779110975.888,50.40,2225.88,0.00,0.00,0.00,0.00,123.690
1779110975.988,50.00,2161.34,0.00,0.00,0.00,0.00,123.690
1779110976.088,50.00,2309.36,0.00,0.00,0.00,0.00,123.690
1779110976.189,50.40,2278.35,0.00,0.00,0.00,0.00,123.690
1779110976.289,50.00,2254.06,0.00,0.00,0.00,0.00,123.690
1779110976.389,50.00,2333.66,0.00,0.00,0.00,0.00,123.690
1779110976.490,49.60,2272.54,0.00,0.00,0.00,0.00,123.690
1779110976.590,50.00,2343.49,0.00,0.00,0.00,0.00,123.690
1779110976.690,50.40,2343.81,0.00,0.00,0.00,0.00,123.690
1779110976.791,50.00,2356.23,0.00,0.00,0.00,0.00,123.690
1779110976.891,27.30,2422.46,0.00,0.00,0.00,0.00,123.690
1779110976.992,49.60,2476.65,0.00,0.00,0.00,0.00,123.690
1779110977.092,50.00,2563.00,0.00,0.00,0.00,0.00,123.690
1779110977.192,50.40,2510.47,0.00,0.00,0.00,0.00,123.690
1779110977.292,50.00,2534.70,0.00,0.00,0.00,0.00,123.690
1779110977.393,50.40,2527.92,0.00,0.00,0.00,0.00,123.690
1779110977.493,50.00,2593.45,0.00,0.00,0.00,0.00,123.690
1779110977.593,50.00,2466.16,0.00,0.00,0.00,0.00,123.690
1779110977.694,49.60,2528.96,0.00,0.00,0.00,0.00,123.690
