timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779110897.453,0.00,1184.99,0.00,0.00,0.00,0.00,50.977
1779110897.553,0.00,1185.01,0.00,0.00,0.00,0.00,50.977
1779110897.653,19.80,1256.39,0.00,0.00,0.00,0.00,50.977
1779110897.754,49.20,1320.43,0.00,0.00,0.00,0.00,50.977
1779110897.854,44.60,1399.32,0.00,0.00,0.00,0.00,50.977
1779110897.954,8.30,1460.22,0.00,0.00,0.00,0.00,50.977
1779110898.054,3.30,1476.47,0.00,0.00,0.00,0.00,50.977
1779110898.155,5.80,1551.77,0.00,0.00,0.00,0.00,50.977
1779110898.255,7.60,1668.53,0.00,0.00,0.00,0.00,50.977
1779110898.355,19.20,1677.39,0.00,0.00,0.00,0.00,50.977
1779110898.455,0.00,1677.39,0.00,0.00,0.00,0.00,50.977
1779110898.555,0.00,1677.39,0.00,0.00,0.00,0.00,50.977
1779110898.655,0.00,1677.39,0.00,0.00,0.00,0.00,50.977
1779110898.756,0.00,1677.39,0.00,0.00,0.00,0.00,50.977
1779110898.856,0.00,1677.39,0.00,0.00,0.00,0.00,50.977
1779110898.956,0.00,1677.39,0.00,0.00,0.00,0.00,50.977
1779110899.056,0.00,1677.39,0.00,0.00,0.00,0.00,50.977
1779110899.156,0.00,1677.39,0.00,0.00,0.00,0.00,50.977
1779110899.256,0.00,1677.39,0.00,0.00,0.00,0.00,50.977
1779110899.396,6.50,1706.13,0.00,0.00,0.00,0.00,50.977
1779110899.497,95.00,1706.61,0.00,0.00,0.00,0.00,50.977
1779110899.597,24.20,1706.62,0.00,0.00,0.00,0.00,50.977
1779110899.697,0.80,1706.64,0.00,0.00,0.00,0.00,50.977
1779110899.800,2.40,1713.60,0.00,0.00,0.00,0.00,50.977
1779110899.900,0.80,1709.68,0.00,0.00,0.00,0.00,50.977
1779110900.000,8.30,1879.75,0.00,0.00,0.00,0.00,50.977
1779110900.100,8.30,1952.70,0.00,0.00,0.00,0.00,50.977
1779110900.201,8.30,1953.47,0.00,0.00,0.00,0.00,50.977
1779110900.301,8.30,1964.07,0.00,0.00,0.00,0.00,50.977
1779110900.401,8.30,2033.85,0.00,0.00,0.00,0.00,50.977
1779110900.501,8.30,2103.40,0.00,0.00,0.00,0.00,50.977
1779110900.601,9.00,2174.04,0.00,0.00,0.00,0.00,50.977
1779110900.701,7.60,2207.79,0.00,0.00,0.00,0.00,50.977
1779110900.802,22.50,2386.58,0.00,0.00,0.00,0.00,50.977
1779110900.902,0.00,2386.58,0.00,0.00,0.00,0.00,50.977
1779110901.002,48.30,2015.87,0.00,0.00,0.00,0.00,50.977
1779110901.102,49.20,2083.02,0.00,0.00,0.00,0.00,50.977
1779110901.202,50.40,2212.42,0.00,0.00,0.00,0.00,50.977
1779110901.303,49.60,2145.62,0.00,0.00,0.00,0.00,50.977
1779110901.403,49.60,2315.11,0.00,0.00,0.00,0.00,50.977
1779110901.504,50.00,2251.63,0.00,0.00,0.00,0.00,50.977
1779110901.604,50.00,2362.87,0.00,0.00,0.00,0.00,50.977
1779110901.704,50.40,2404.52,0.00,0.00,0.00,0.00,50.977
1779110901.804,50.40,2399.91,0.00,0.00,0.00,0.00,50.977
1779110901.905,49.60,2364.34,0.00,0.00,0.00,0.00,50.977
1779110902.005,50.40,2403.70,0.00,0.00,0.00,0.00,50.977
1779110902.106,50.00,2390.93,0.00,0.00,0.00,0.00,50.977
1779110902.206,43.80,2352.11,0.00,0.00,0.00,0.00,50.977
1779110902.306,48.30,2554.19,0.00,0.00,0.00,0.00,50.977
1779110902.406,50.00,2541.48,0.00,0.00,0.00,0.00,50.977
1779110902.507,50.00,2532.63,0.00,0.00,0.00,0.00,50.977
1779110902.607,50.40,2575.34,0.00,0.00,0.00,0.00,50.977
1779110902.707,49.20,2636.41,0.00,0.00,0.00,0.00,50.977
1779110902.808,50.40,2575.42,0.00,0.00,0.00,0.00,50.977
1779110902.908,50.00,2651.94,0.00,0.00,0.00,0.00,50.977
1779110903.008,50.00,2613.44,0.00,0.00,0.00,0.00,50.977
1779110903.109,50.40,2613.30,0.00,0.00,0.00,0.00,50.977
1779110903.209,50.00,2633.76,0.00,0.00,0.00,0.00,50.977
1779110903.309,50.00,2650.27,0.00,0.00,0.00,0.00,50.977
1779110903.410,50.00,2617.97,0.00,0.00,0.00,0.00,50.977
1779110903.510,28.90,2457.39,0.00,0.00,0.00,0.00,50.977
1779110903.610,45.80,2546.96,0.00,0.00,0.00,0.00,50.977
1779110903.711,50.00,2588.05,0.00,0.00,0.00,0.00,50.977
1779110903.811,50.00,2532.81,0.00,0.00,0.00,0.00,50.977
1779110903.911,50.40,2509.80,0.00,0.00,0.00,0.00,50.977
1779110904.012,50.00,2656.61,0.00,0.00,0.00,0.00,50.977
1779110904.112,50.00,2657.60,0.00,0.00,0.00,0.00,50.977
1779110904.212,50.00,2530.59,0.00,0.00,0.00,0.00,50.977
1779110904.313,50.00,2524.42,0.00,0.00,0.00,0.00,50.977
1779110904.413,50.00,2653.26,0.00,0.00,0.00,0.00,50.977
1779110904.513,50.00,2576.79,0.00,0.00,0.00,0.00,50.977
1779110904.614,48.30,2458.30,0.00,0.00,0.00,0.00,50.977
1779110904.714,27.50,2609.59,0.00,0.00,0.00,0.00,50.977
1779110904.814,48.80,2515.21,0.00,0.00,0.00,0.00,50.977
1779110904.915,49.60,2510.75,0.00,0.00,0.00,0.00,50.977
1779110905.015,50.40,2570.97,0.00,0.00,0.00,0.00,50.977
1779110905.115,50.00,2645.66,0.00,0.00,0.00,0.00,50.977
1779110905.216,50.00,2655.09,0.00,0.00,0.00,0.00,50.977
1779110905.316,50.80,2579.77,0.00,0.00,0.00,0.00,50.977
1779110905.416,50.00,2623.75,0.00,0.00,0.00,0.00,50.977
1779110905.517,49.60,2580.34,0.00,0.00,0.00,0.00,50.977
1779110905.617,50.40,2473.58,0.00,0.00,0.00,0.00,50.977
1779110905.717,25.00,2528.34,0.00,0.00,0.00,0.00,50.977
1779110905.818,48.80,2542.08,0.00,0.00,0.00,0.00,50.977
1779110905.918,50.00,2577.90,0.00,0.00,0.00,0.00,50.977
1779110906.018,50.00,2530.36,0.00,0.00,0.00,0.00,50.977
1779110906.119,50.00,2564.24,0.00,0.00,0.00,0.00,50.977
1779110906.219,50.40,2609.00,0.00,0.00,0.00,0.00,50.977
1779110906.320,50.00,2459.70,0.00,0.00,0.00,0.00,50.977
1779110906.420,50.00,2564.02,0.00,0.00,0.00,0.00,50.977
1779110906.520,50.40,2564.27,0.00,0.00,0.00,0.00,50.977
1779110906.621,49.20,2503.35,0.00,0.00,0.00,0.00,50.977
1779110906.721,76.20,2356.14,0.00,0.00,0.00,0.00,50.977
1779110906.822,88.30,2356.32,0.00,0.00,0.00,0.00,50.977
1779110906.922,50.00,2510.00,0.00,0.00,0.00,0.00,50.977
1779110907.022,49.20,2551.52,0.00,0.00,0.00,0.00,50.977
1779110907.123,49.20,2629.90,0.00,0.00,0.00,0.00,50.977
1779110907.223,50.40,2712.93,0.00,0.00,0.00,0.00,50.977
1779110907.323,49.20,2598.44,0.00,0.00,0.00,0.00,50.977
1779110907.424,49.20,2552.56,0.00,0.00,0.00,0.00,50.977
1779110907.524,50.00,2606.33,0.00,0.00,0.00,0.00,50.977
1779110907.625,50.00,2719.89,0.00,0.00,0.00,0.00,50.977
1779110907.725,50.00,2756.02,0.00,0.00,0.00,0.00,50.977
1779110907.825,50.40,2859.35,0.00,0.00,0.00,0.00,50.977
1779110907.926,49.20,2887.25,0.00,0.00,0.00,0.00,50.977
1779110908.026,50.80,2720.25,0.00,0.00,0.00,0.00,50.977
1779110908.127,50.00,2720.49,0.00,0.00,0.00,0.00,50.977
1779110908.227,49.60,2720.75,0.00,0.00,0.00,0.00,50.977
1779110908.327,38.00,2720.87,0.00,0.00,0.00,0.00,50.977
1779110908.427,32.50,2894.70,0.00,0.00,0.00,0.00,50.977
1779110908.528,49.60,2918.93,0.00,0.00,0.00,0.00,50.977
1779110908.628,50.00,3015.48,0.00,0.00,0.00,0.00,50.977
1779110908.729,50.00,2974.30,0.00,0.00,0.00,0.00,50.977
1779110908.829,50.00,2970.77,0.00,0.00,0.00,0.00,50.977
1779110908.929,50.40,2960.18,0.00,0.00,0.00,0.00,50.977
1779110909.030,50.00,3060.42,0.00,0.00,0.00,0.00,50.977
1779110909.130,50.00,3051.27,0.00,0.00,0.00,0.00,50.977
1779110909.230,50.00,2848.62,0.00,0.00,0.00,0.00,50.977
1779110909.331,50.40,2962.96,0.00,0.00,0.00,0.00,50.977
1779110909.431,49.60,3030.35,0.00,0.00,0.00,0.00,50.977
1779110909.531,50.00,3051.25,0.00,0.00,0.00,0.00,50.977
1779110909.632,50.00,3054.09,0.00,0.00,0.00,0.00,50.977
1779110909.732,50.00,3072.27,0.00,0.00,0.00,0.00,50.977
1779110909.832,40.50,2841.18,0.00,0.00,0.00,0.00,50.977
1779110909.933,41.20,2841.29,0.00,0.00,0.00,0.00,50.977
1779110910.033,48.80,2894.01,0.00,0.00,0.00,0.00,50.977
1779110910.133,50.00,2943.99,0.00,0.00,0.00,0.00,50.977
1779110910.234,50.00,2923.11,0.00,0.00,0.00,0.00,50.977
1779110910.334,50.00,2994.06,0.00,0.00,0.00,0.00,50.977
1779110910.434,50.00,3019.14,0.00,0.00,0.00,0.00,50.977
1779110910.535,49.60,3079.64,0.00,0.00,0.00,0.00,50.977
1779110910.635,50.40,2864.47,0.00,0.00,0.00,0.00,50.977
1779110910.735,50.40,3009.52,0.00,0.00,0.00,0.00,50.977
1779110910.836,49.60,2989.36,0.00,0.00,0.00,0.00,50.977
1779110910.936,50.40,3036.36,0.00,0.00,0.00,0.00,50.977
1779110911.036,50.00,3021.34,0.00,0.00,0.00,0.00,50.977
1779110911.137,32.20,2842.08,0.00,0.00,0.00,0.00,50.977
1779110911.237,38.30,2835.65,0.00,0.00,0.00,0.00,50.977
1779110911.337,50.00,2901.98,0.00,0.00,0.00,0.00,50.977
1779110911.438,50.00,2960.61,0.00,0.00,0.00,0.00,50.977
1779110911.538,50.00,2864.24,0.00,0.00,0.00,0.00,50.977
1779110911.638,50.40,2902.12,0.00,0.00,0.00,0.00,50.977
1779110911.739,50.00,3065.48,0.00,0.00,0.00,0.00,50.977
1779110911.839,50.00,3063.35,0.00,0.00,0.00,0.00,50.977
1779110911.939,50.40,2924.00,0.00,0.00,0.00,0.00,50.977
1779110912.040,49.60,3024.52,0.00,0.00,0.00,0.00,50.977
1779110912.140,50.40,3023.75,0.00,0.00,0.00,0.00,50.977
1779110912.240,50.00,2984.34,0.00,0.00,0.00,0.00,50.977
1779110912.341,27.30,2842.88,0.00,0.00,0.00,0.00,50.977
1779110912.441,43.30,2910.48,0.00,0.00,0.00,0.00,50.977
1779110912.541,49.60,2993.83,0.00,0.00,0.00,0.00,50.977
1779110912.642,50.00,2972.87,0.00,0.00,0.00,0.00,50.977
1779110912.742,50.00,2989.72,0.00,0.00,0.00,0.00,50.977
1779110912.842,50.40,3081.43,0.00,0.00,0.00,0.00,50.977
1779110912.943,50.00,3044.04,0.00,0.00,0.00,0.00,50.977
1779110913.043,49.60,2899.04,0.00,0.00,0.00,0.00,50.977
1779110913.143,50.40,2999.37,0.00,0.00,0.00,0.00,50.977
1779110913.244,50.00,3006.66,0.00,0.00,0.00,0.00,50.977
1779110913.344,50.40,3022.94,0.00,0.00,0.00,0.00,50.977
1779110913.444,56.70,2724.26,0.00,0.00,0.00,0.00,50.977
1779110913.547,100.00,2724.27,0.00,0.00,0.00,0.00,50.977
1779110913.648,55.00,2761.25,0.00,0.00,0.00,0.00,50.977
1779110913.748,49.60,2781.47,0.00,0.00,0.00,0.00,50.977
1779110913.848,50.40,2724.72,0.00,0.00,0.00,0.00,50.977
1779110913.948,50.40,2724.72,0.00,0.00,0.00,0.00,50.977
1779110914.049,50.00,2761.34,0.00,0.00,0.00,0.00,50.977
1779110914.149,50.00,2797.96,0.00,0.00,0.00,0.00,50.977
1779110914.250,50.00,2725.13,0.00,0.00,0.00,0.00,50.977
1779110914.350,50.00,2725.44,0.00,0.00,0.00,0.00,50.977
1779110914.450,50.00,2725.71,0.00,0.00,0.00,0.00,50.977
1779110914.551,42.90,2871.30,0.00,0.00,0.00,0.00,50.977
1779110914.651,49.60,2839.43,0.00,0.00,0.00,0.00,50.977
