timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb,gpu_temp_c,gpu_power_w,inference_time
1779110873.430,0.00,1184.10,0.00,0.00,0.00,0.00,7.989
1779110873.530,0.00,1185.82,0.00,0.00,0.00,0.00,7.989
1779110873.631,23.10,1258.35,0.00,0.00,0.00,0.00,7.989
1779110873.731,49.20,1322.81,0.00,0.00,0.00,0.00,7.989
1779110873.831,41.30,1404.29,0.00,0.00,0.00,0.00,7.989
1779110873.931,7.60,1465.53,0.00,0.00,0.00,0.00,7.989
1779110874.032,2.50,1475.57,0.00,0.00,0.00,0.00,7.989
1779110874.132,6.60,1557.32,0.00,0.00,0.00,0.00,7.989
1779110874.232,8.30,1671.60,0.00,0.00,0.00,0.00,7.989
1779110874.332,18.20,1676.50,0.00,0.00,0.00,0.00,7.989
1779110874.433,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110874.533,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110874.633,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110874.733,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110874.833,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110874.933,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110875.034,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110875.134,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110875.234,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110875.334,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110875.434,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110875.534,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110875.634,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110875.735,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110875.835,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110875.935,0.00,1676.50,0.00,0.00,0.00,0.00,7.989
1779110876.103,5.00,1705.21,0.00,0.00,0.00,0.00,7.989
1779110876.203,95.00,1705.71,0.00,0.00,0.00,0.00,7.989
1779110876.303,19.80,1705.71,0.00,0.00,0.00,0.00,7.989
1779110876.404,0.80,1705.73,0.00,0.00,0.00,0.00,7.989
1779110876.504,2.50,1712.70,0.00,0.00,0.00,0.00,7.989
1779110876.604,0.80,1708.29,0.00,0.00,0.00,0.00,7.989
1779110876.704,8.30,1862.83,0.00,0.00,0.00,0.00,7.989
1779110876.805,8.30,1863.52,0.00,0.00,0.00,0.00,7.989
1779110876.905,7.60,1890.93,0.00,0.00,0.00,0.00,7.989
1779110877.005,8.30,1960.27,0.00,0.00,0.00,0.00,7.989
1779110877.105,9.10,2029.80,0.00,0.00,0.00,0.00,7.989
1779110877.205,9.80,2099.47,0.00,0.00,0.00,0.00,7.989
