timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778379221.812,0.00,259.93,0.00,0.00,4804.47
1778379221.912,2.50,262.36,0.00,0.00,4804.47
1778379222.012,1.20,263.05,0.00,0.00,4804.47
1778379222.123,5.70,268.52,0.00,0.00,4804.47
1778379222.223,4.90,272.74,0.00,0.00,4804.47
1778379222.324,5.10,278.21,0.00,0.00,4804.47
1778379222.424,4.90,285.76,0.00,0.00,4804.47
1778379222.553,8.70,289.84,0.00,0.00,4804.47
1778379222.653,5.00,296.12,0.00,0.00,4804.47
1778379222.753,3.70,301.51,0.00,0.00,4804.47
1778379222.853,4.90,305.07,0.00,0.00,4804.47
1778379222.953,3.80,309.64,0.00,0.00,4804.47
1778379223.347,1.60,354.61,0.00,0.00,4804.47
1778379223.448,6.00,358.65,0.00,0.00,4804.47
1778379223.548,8.60,362.31,0.00,0.00,4804.47
1778379223.648,5.00,365.01,0.00,0.00,4804.47
1778379223.749,6.30,368.71,0.00,0.00,4804.47
1778379223.852,12.00,370.43,0.00,0.00,4804.47
1778379223.958,9.50,377.73,0.00,0.00,4804.47
1778379224.058,5.10,379.80,0.00,0.00,4804.47
1778379224.165,18.40,384.91,0.00,0.00,4804.47
1778379224.265,88.50,388.84,0.00,0.00,4804.47
1778379224.383,2.20,396.04,0.00,0.00,4804.47
1778379224.485,7.10,400.99,0.00,0.00,4804.47
1778379224.585,3.80,406.03,0.00,0.00,4804.47
1778379224.692,6.20,418.77,0.00,0.00,4804.47
1778379224.796,0.00,423.26,0.00,0.00,4804.47
1778379224.896,3.60,487.28,0.00,0.00,4804.47
1778379224.996,10.10,740.38,0.00,0.00,4804.47
1778379225.096,8.40,858.18,0.00,0.00,4804.47
1778379225.196,3.70,895.68,0.00,0.00,4804.47
1778379225.297,2.50,933.18,0.00,0.00,4804.47
1778379225.397,2.50,970.68,0.00,0.00,4804.47
1778379225.497,0.00,1008.66,0.00,0.00,4804.47
1778379225.597,0.00,1046.80,0.00,0.00,4804.47
1778379225.697,0.00,1084.30,0.00,0.00,4804.47
1778379225.798,0.00,1121.80,0.00,0.00,4804.47
1778379225.898,0.00,1159.30,0.00,0.00,4804.47
1778379225.998,0.00,1196.79,0.00,0.00,4804.47
1778379226.098,1.20,1233.91,0.00,0.00,4804.47
1778379226.198,4.90,1271.41,0.00,0.00,4804.47
1778379226.298,3.70,1308.91,0.00,0.00,4804.47
1778379226.399,6.00,1346.41,0.00,0.00,4804.47
1778379226.499,2.50,1383.91,0.00,0.00,4804.47
1778379226.599,1.30,1421.41,0.00,0.00,4804.47
1778379226.699,2.50,1459.66,0.00,0.00,4804.47
1778379226.799,0.00,1496.79,0.00,0.00,4804.47
1778379226.899,0.00,1535.04,0.00,0.00,4804.47
1778379227.000,0.00,1572.54,0.00,0.00,4804.47
1778379227.100,0.00,1609.60,0.00,0.00,4804.47
1778379227.200,0.00,1647.30,0.00,0.00,4804.47
1778379227.300,0.00,1684.66,0.00,0.00,4804.47
1778379227.400,0.00,1722.16,0.00,0.00,4804.47
1778379227.500,0.00,1759.80,0.00,0.00,4804.47
1778379227.601,0.00,1797.86,0.00,0.00,4804.47
1778379227.701,1.30,1835.79,0.00,0.00,4804.47
1778379227.801,1.20,1873.29,0.00,0.00,4804.47
1778379227.901,3.70,1910.04,0.00,0.00,4804.47
1778379228.001,3.70,1948.66,0.00,0.00,4804.47
1778379228.101,4.80,1985.79,0.00,0.00,4804.47
1778379228.201,3.70,2023.66,0.00,0.00,4804.47
1778379228.302,2.50,2060.41,0.00,0.00,4804.47
1778379228.402,1.30,2098.29,0.00,0.00,4804.47
1778379228.502,1.20,2135.79,0.00,0.00,4804.47
1778379228.602,0.00,2173.66,0.00,0.00,4804.47
1778379228.702,0.00,2211.17,0.00,0.00,4804.47
1778379228.802,0.00,2248.30,0.00,0.00,4804.47
1778379228.903,0.00,2286.55,0.00,0.00,4804.47
1778379229.003,1.20,2323.67,0.00,0.00,4804.47
1778379229.103,0.00,2361.92,0.00,0.00,4804.47
1778379229.203,0.00,2399.05,0.00,0.00,4804.47
1778379229.303,0.00,2436.17,0.00,0.00,4804.47
1778379229.403,1.30,2473.67,0.00,0.00,4804.47
1778379229.504,1.20,2511.55,0.00,0.00,4804.47
1778379229.604,1.30,2548.30,0.00,0.00,4804.47
1778379229.704,2.50,2586.55,0.00,0.00,4804.47
1778379229.804,4.80,2624.05,0.00,0.00,4804.47
1778379229.904,6.00,2661.70,0.00,0.00,4804.47
1778379230.004,4.80,2699.80,0.00,0.00,4804.47
1778379230.105,2.50,2737.30,0.00,0.00,4804.47
1778379230.205,1.30,2774.80,0.00,0.00,4804.47
1778379230.305,0.00,2812.30,0.00,0.00,4804.47
1778379230.405,1.20,2849.80,0.00,0.00,4804.47
1778379230.505,0.00,2887.30,0.00,0.00,4804.47
1778379230.605,0.00,2924.80,0.00,0.00,4804.47
1778379230.705,0.00,2962.30,0.00,0.00,4804.47
1778379230.806,0.00,3000.05,0.00,0.00,4804.47
1778379230.906,0.00,3038.05,0.00,0.00,4804.47
1778379231.006,1.30,3075.37,0.00,0.00,4804.47
1778379231.106,1.20,3112.87,0.00,0.00,4804.47
1778379231.206,1.20,3151.12,0.00,0.00,4804.47
1778379231.306,2.50,3189.27,0.00,0.00,4804.47
1778379231.407,0.00,3226.02,0.00,0.00,4804.47
1778379231.507,4.90,3264.99,0.00,0.00,4804.47
1778379231.607,1.30,3303.83,0.00,0.00,4804.47
1778379231.707,2.50,3342.02,0.00,0.00,4804.47
1778379231.807,0.00,3379.52,0.00,0.00,4804.47
1778379231.907,0.00,3417.02,0.00,0.00,4804.47
1778379232.008,0.00,3454.52,0.00,0.00,4804.47
1778379232.108,1.30,3492.75,0.00,0.00,4804.47
1778379232.208,0.00,3530.25,0.00,0.00,4804.47
1778379232.308,0.00,3567.75,0.00,0.00,4804.47
1778379232.408,0.00,3605.25,0.00,0.00,4804.47
1778379232.508,2.50,3643.96,0.00,0.00,4804.47
1778379232.609,1.20,3681.66,0.00,0.00,4804.47
1778379232.709,3.70,3719.16,0.00,0.00,4804.47
1778379232.809,6.00,3756.69,0.00,0.00,4804.47
1778379232.909,1.30,3794.73,0.00,0.00,4804.47
1778379233.009,3.70,3834.46,0.00,0.00,4804.47
1778379233.110,2.50,3871.91,0.00,0.00,4804.47
1778379233.210,1.30,3911.27,0.00,0.00,4804.47
1778379233.310,0.00,3948.28,0.00,0.00,4804.47
1778379233.410,0.00,3985.78,0.00,0.00,4804.47
1778379233.510,0.00,4023.28,0.00,0.00,4804.47
1778379233.610,1.30,4061.47,0.00,0.00,4804.47
1778379233.711,1.30,4099.29,0.00,0.00,4804.47
1778379233.811,2.50,4136.84,0.00,0.00,4804.47
1778379233.911,1.30,4173.97,0.00,0.00,4804.47
1778379234.011,3.70,4212.16,0.00,0.00,4804.47
1778379234.111,6.00,4250.11,0.00,0.00,4804.47
1778379234.211,4.80,4287.91,0.00,0.00,4804.47
1778379234.312,5.90,4325.41,0.00,0.00,4804.47
1778379234.412,2.60,4363.86,0.00,0.00,4804.47
1778379234.512,2.50,4401.70,0.00,0.00,4804.47
1778379234.612,5.10,4440.53,0.00,0.00,4804.47
1778379234.712,0.00,4480.05,0.00,0.00,4804.47
1778379234.813,2.50,4517.02,0.00,0.00,4804.47
1778379234.913,0.00,4554.25,0.00,0.00,4804.47
1778379235.013,0.00,4592.30,0.00,0.00,4804.47
1778379235.113,1.30,4630.02,0.00,0.00,4804.47
1778379235.213,0.00,4667.75,0.00,0.00,4804.47
1778379235.313,1.30,4705.06,0.00,0.00,4804.47
1778379235.414,0.00,4743.06,0.00,0.00,4804.47
1778379235.514,4.90,4781.27,0.00,0.00,4804.47
1778379235.614,3.70,4818.40,0.00,0.00,4804.47
1778379235.714,3.70,4855.90,0.00,0.00,4804.47
1778379235.814,6.00,4893.40,0.00,0.00,4804.47
1778379235.914,4.90,4932.23,0.00,0.00,4804.47
1778379236.015,1.30,4970.33,0.00,0.00,4804.47
1778379236.115,3.80,5009.85,0.00,0.00,4804.47
1778379236.215,2.50,5047.85,0.00,0.00,4804.47
1778379236.315,0.00,5085.73,0.00,0.00,4804.47
1778379236.415,0.00,5123.23,0.00,0.00,4804.47
1778379236.515,1.30,5160.17,0.00,0.00,4804.47
1778379236.616,2.50,5199.16,0.00,0.00,4804.47
1778379236.716,1.20,5236.47,0.00,0.00,4804.47
1778379236.816,1.30,5273.97,0.00,0.00,4804.47
1778379236.916,2.50,5311.47,0.00,0.00,4804.47
1778379237.016,4.90,5349.75,0.00,0.00,4804.47
1778379237.116,3.70,5387.16,0.00,0.00,4804.47
1778379237.217,4.80,5424.66,0.00,0.00,4804.47
1778379237.317,3.70,5462.16,0.00,0.00,4804.47
1778379237.417,3.70,5500.70,0.00,0.00,4804.47
1778379237.517,2.50,5539.36,0.00,0.00,4804.47
1778379237.618,1.30,5578.59,0.00,0.00,4804.47
1778379237.718,1.30,5616.02,0.00,0.00,4804.47
1778379237.818,1.30,5654.25,0.00,0.00,4804.47
1778379237.918,0.00,5691.75,0.00,0.00,4804.47
1778379238.018,1.30,5729.25,0.00,0.00,4804.47
1778379238.119,2.50,5767.07,0.00,0.00,4804.47
1778379238.219,3.70,5805.31,0.00,0.00,4804.47
1778379238.319,3.70,5842.44,0.00,0.00,4804.47
1778379238.419,3.60,5879.94,0.00,0.00,4804.47
1778379238.519,7.20,5920.00,0.00,0.00,4804.47
1778379238.619,2.50,5956.00,0.00,0.00,4804.47
1778379238.720,1.20,5993.50,0.00,0.00,4804.47
1778379238.820,0.00,6031.00,0.00,0.00,4804.47
1778379238.920,2.50,6070.19,0.00,0.00,4804.47
1778379239.020,3.70,6106.55,0.00,0.00,4804.47
1778379239.120,6.10,6145.05,0.00,0.00,4804.47
1778379239.220,3.70,6183.99,0.00,0.00,4804.47
1778379239.321,3.80,6222.21,0.00,0.00,4804.47
1778379239.421,4.80,6260.09,0.00,0.00,4804.47
1778379239.521,3.70,6297.59,0.00,0.00,4804.47
1778379239.621,4.80,6334.71,0.00,0.00,4804.47
1778379239.721,3.70,6373.66,0.00,0.00,4804.47
1778379239.821,2.50,6411.16,0.00,0.00,4804.47
1778379239.921,2.50,6448.66,0.00,0.00,4804.47
1778379240.022,0.00,6487.31,0.00,0.00,4804.47
1778379240.122,2.50,6524.35,0.00,0.00,4804.47
1778379240.222,1.30,6561.85,0.00,0.00,4804.47
1778379240.322,0.00,6599.35,0.00,0.00,4804.47
1778379240.422,1.30,6638.06,0.00,0.00,4804.47
1778379240.522,4.80,6675.64,0.00,0.00,4804.47
1778379240.623,4.90,6714.44,0.00,0.00,4804.47
1778379240.723,2.50,6752.33,0.00,0.00,4804.47
1778379240.823,2.50,6791.69,0.00,0.00,4804.47
1778379240.923,4.80,6828.07,0.00,0.00,4804.47
1778379241.023,3.70,6865.73,0.00,0.00,4804.47
1778379241.123,2.50,6903.82,0.00,0.00,4804.47
1778379241.223,4.90,6942.00,0.00,0.00,4804.47
1778379241.324,1.30,6979.50,0.00,0.00,4804.47
1778379241.424,0.00,7017.00,0.00,0.00,4804.47
1778379241.524,0.00,7054.50,0.00,0.00,4804.47
1778379241.624,3.70,7092.69,0.00,0.00,4804.47
1778379241.724,0.00,7130.19,0.00,0.00,4804.47
1778379241.825,0.00,7167.69,0.00,0.00,4804.47
1778379241.925,0.00,7205.99,0.00,0.00,4804.47
1778379242.025,1.30,7243.87,0.00,0.00,4804.47
1778379242.125,2.50,7283.01,0.00,0.00,4804.47
1778379242.226,2.50,7321.80,0.00,0.00,4804.47
1778379242.326,1.30,7359.68,0.00,0.00,4804.47
1778379242.426,3.70,7397.54,0.00,0.00,4804.47
1778379242.526,1.20,7434.66,0.00,0.00,4804.47
1778379242.626,0.00,7472.91,0.00,0.00,4804.47
1778379242.726,3.70,7510.72,0.00,0.00,4804.47
1778379242.827,0.00,7547.85,0.00,0.00,4804.47
1778379242.927,0.00,7585.72,0.00,0.00,4804.47
1778379243.027,0.00,7623.71,0.00,0.00,4804.47
1778379243.127,2.50,7660.29,0.00,0.00,4804.47
1778379243.227,0.00,7699.29,0.00,0.00,4804.47
1778379243.327,0.00,7736.79,0.00,0.00,4804.47
1778379243.428,0.00,7774.29,0.00,0.00,4804.47
1778379243.528,2.50,7812.71,0.00,0.00,4804.47
1778379243.628,2.50,7851.41,0.00,0.00,4804.47
1778379243.728,2.50,7889.34,0.00,0.00,4804.47
1778379243.828,3.70,7927.21,0.00,0.00,4804.47
1778379243.928,0.00,7965.13,0.00,0.00,4804.47
1778379244.029,1.20,8002.63,0.00,0.00,4804.47
1778379244.129,1.30,8040.13,0.00,0.00,4804.47
1778379244.229,2.50,8079.78,0.00,0.00,4804.47
1778379244.329,2.50,8116.18,0.00,0.00,4804.47
1778379244.429,4.90,8153.68,0.00,0.00,4804.47
1778379244.529,4.80,8191.18,0.00,0.00,4804.47
1778379244.630,3.70,8229.75,0.00,0.00,4804.47
1778379244.730,2.50,8266.88,0.00,0.00,4804.47
1778379244.830,1.30,8305.50,0.00,0.00,4804.47
1778379244.930,1.30,8342.25,0.00,0.00,4804.47
1778379245.030,2.50,8380.73,0.00,0.00,4804.47
1778379245.130,6.00,8420.13,0.00,0.00,4804.47
1778379245.231,3.70,8457.54,0.00,0.00,4804.47
1778379245.331,4.80,8494.62,0.00,0.00,4804.47
1778379245.431,2.50,8533.11,0.00,0.00,4804.47
1778379245.531,1.30,8570.61,0.00,0.00,4804.47
1778379245.631,1.20,8608.55,0.00,0.00,4804.47
1778379245.731,2.50,8646.11,0.00,0.00,4804.47
1778379245.832,3.70,8684.17,0.00,0.00,4804.47
1778379245.932,4.90,8722.42,0.00,0.00,4804.47
1778379246.032,2.50,8759.34,0.00,0.00,4804.47
1778379246.132,3.70,8798.90,0.00,0.00,4804.47
1778379246.232,0.00,8835.98,0.00,0.00,4804.47
1778379246.333,1.20,8873.48,0.00,0.00,4804.47
1778379246.433,2.50,8910.98,0.00,0.00,4804.47
1778379246.533,3.70,8949.22,0.00,0.00,4804.47
1778379246.633,0.00,8986.72,0.00,0.00,4804.47
1778379246.733,3.70,9025.49,0.00,0.00,4804.47
1778379246.833,4.90,9064.53,0.00,0.00,4804.47
1778379246.934,3.80,9102.77,0.00,0.00,4804.47
1778379247.034,0.00,9140.27,0.00,0.00,4804.47
1778379247.134,0.00,9177.77,0.00,0.00,4804.47
1778379247.234,1.30,9215.27,0.00,0.00,4804.47
1778379247.334,4.90,9253.45,0.00,0.00,4804.47
1778379247.434,4.80,9291.33,0.00,0.00,4804.47
1778379247.535,4.80,9328.45,0.00,0.00,4804.47
1778379247.635,2.50,9366.90,0.00,0.00,4804.47
1778379247.735,2.50,9404.46,0.00,0.00,4804.47
1778379247.835,0.00,9442.33,0.00,0.00,4804.47
1778379247.935,1.30,9479.46,0.00,0.00,4804.47
1778379248.035,1.30,9518.49,0.00,0.00,4804.47
1778379248.136,2.50,9555.18,0.00,0.00,4804.47
1778379248.236,4.90,9594.77,0.00,0.00,4804.47
1778379248.336,2.50,9632.25,0.00,0.00,4804.47
1778379248.436,4.90,9670.87,0.00,0.00,4804.47
1778379248.536,3.70,9708.93,0.00,0.00,4804.47
1778379248.636,2.50,9746.14,0.00,0.00,4804.47
1778379248.737,6.00,9784.30,0.00,0.00,4804.47
1778379248.837,2.50,9822.12,0.00,0.00,4804.47
1778379248.937,2.50,9859.24,0.00,0.00,4804.47
1778379249.037,1.30,9897.12,0.00,0.00,4804.47
1778379249.137,1.30,9935.30,0.00,0.00,4804.47
1778379249.237,1.30,9972.80,0.00,0.00,4804.47
1778379249.337,0.00,10010.68,0.00,0.00,4804.47
1778379249.438,0.00,10047.80,0.00,0.00,4804.47
1778379249.538,1.30,10086.30,0.00,0.00,4804.47
1778379249.638,1.30,10124.29,0.00,0.00,4804.47
1778379249.738,4.90,10163.10,0.00,0.00,4804.47
1778379249.838,2.50,10201.16,0.00,0.00,4804.47
1778379249.938,2.50,10240.04,0.00,0.00,4804.47
1778379250.039,2.50,10277.45,0.00,0.00,4804.47
1778379250.139,1.30,10314.95,0.00,0.00,4804.47
1778379250.239,2.50,10352.45,0.00,0.00,4804.47
1778379250.339,2.50,10390.74,0.00,0.00,4804.47
1778379250.439,1.20,10428.52,0.00,0.00,4804.47
1778379250.539,1.20,10465.64,0.00,0.00,4804.47
1778379250.640,0.00,10503.14,0.00,0.00,4804.47
1778379250.740,1.30,10541.89,0.00,0.00,4804.47
1778379250.840,2.50,10578.83,0.00,0.00,4804.47
1778379250.940,1.30,10616.33,0.00,0.00,4804.47
1778379251.040,0.00,10654.99,0.00,0.00,4804.47
1778379251.140,1.30,10693.00,0.00,0.00,4804.47
1778379251.241,4.90,10730.44,0.00,0.00,4804.47
1778379251.341,5.00,10769.69,0.00,0.00,4804.47
1778379251.441,0.00,10807.25,0.00,0.00,4804.47
1778379251.541,2.50,10846.18,0.00,0.00,4804.47
1778379251.641,1.30,10883.30,0.00,0.00,4804.47
1778379251.741,0.00,10920.80,0.00,0.00,4804.47
1778379251.842,2.50,10959.74,0.00,0.00,4804.47
1778379251.942,0.00,10996.11,0.00,0.00,4804.47
1778379252.042,0.00,11034.30,0.00,0.00,4804.47
1778379252.142,0.00,11071.86,0.00,0.00,4804.47
1778379252.242,2.50,11110.71,0.00,0.00,4804.47
1778379252.342,1.20,11147.55,0.00,0.00,4804.47
1778379252.442,0.00,11185.05,0.00,0.00,4804.47
1778379252.543,1.20,11222.55,0.00,0.00,4804.47
1778379252.643,1.30,11260.60,0.00,0.00,4804.47
1778379252.743,2.50,11299.18,0.00,0.00,4804.47
1778379252.843,3.80,11338.67,0.00,0.00,4804.47
1778379252.943,0.00,11375.90,0.00,0.00,4804.47
1778379253.043,3.70,11414.14,0.00,0.00,4804.47
1778379253.144,0.00,11452.03,0.00,0.00,4804.47
1778379253.244,0.00,11489.89,0.00,0.00,4804.47
1778379253.344,1.30,11527.97,0.00,0.00,4804.47
1778379253.444,1.30,11564.83,0.00,0.00,4804.47
1778379253.544,0.00,11602.71,0.00,0.00,4804.47
1778379253.644,0.00,11640.21,0.00,0.00,4804.47
1778379253.744,2.50,11679.14,0.00,0.00,4804.47
1778379253.845,1.20,11716.41,0.00,0.00,4804.47
1778379253.945,1.30,11753.77,0.00,0.00,4804.47
1778379254.045,1.20,11790.89,0.00,0.00,4804.47
1778379254.145,2.50,11829.32,0.00,0.00,4804.47
1778379254.245,1.30,11868.04,0.00,0.00,4804.47
1778379254.345,5.00,11906.65,0.00,0.00,4804.47
1778379254.446,1.20,11944.14,0.00,0.00,4804.47
1778379254.546,1.30,11982.11,0.00,0.00,4804.47
1778379254.646,1.20,12020.53,0.00,0.00,4804.47
1778379254.746,0.00,12057.86,0.00,0.00,4804.47
1778379254.846,0.00,12095.45,0.00,0.00,4804.47
1778379254.946,2.50,12133.20,0.00,0.00,4804.47
1778379255.046,0.00,12171.43,0.00,0.00,4804.47
1778379255.146,1.30,12208.84,0.00,0.00,4804.47
1778379255.247,2.50,12247.82,0.00,0.00,4804.47
1778379255.347,2.50,12284.24,0.00,0.00,4804.47
1778379255.447,3.70,12321.74,0.00,0.00,4804.47
1778379255.547,6.00,12359.24,0.00,0.00,4804.47
1778379255.647,6.00,12397.98,0.00,0.00,4804.47
1778379255.747,0.00,12435.29,0.00,0.00,4804.47
1778379255.847,3.80,12473.79,0.00,0.00,4804.47
1778379255.947,3.70,12512.35,0.00,0.00,4804.47
1778379256.047,1.30,12550.65,0.00,0.00,4804.47
1778379256.148,4.80,12588.34,0.00,0.00,4804.47
1778379256.248,1.30,12625.84,0.00,0.00,4804.47
1778379256.348,1.20,12663.34,0.00,0.00,4804.47
1778379256.448,2.50,12701.15,0.00,0.00,4804.47
1778379256.548,1.20,12739.02,0.00,0.00,4804.47
1778379256.648,0.00,12776.52,0.00,0.00,4804.47
1778379256.748,1.30,12814.48,0.00,0.00,4804.47
1778379256.848,2.50,12852.91,0.00,0.00,4804.47
1778379256.948,0.00,12890.03,0.00,0.00,4804.47
1778379257.049,0.00,12927.16,0.00,0.00,4804.47
1778379257.149,0.00,12965.69,0.00,0.00,4804.47
1778379257.249,2.50,13004.01,0.00,0.00,4804.47
1778379257.349,3.70,13043.15,0.00,0.00,4804.47
1778379257.449,2.50,13079.57,0.00,0.00,4804.47
1778379257.549,4.90,13118.88,0.00,0.00,4804.47
1778379257.650,1.20,13156.05,0.00,0.00,4804.47
1778379257.750,2.50,13193.55,0.00,0.00,4804.47
1778379257.850,3.70,13231.43,0.00,0.00,4804.47
1778379257.950,2.50,13269.80,0.00,0.00,4804.47
1778379258.050,4.80,13307.49,0.00,0.00,4804.47
1778379258.150,3.70,13344.99,0.00,0.00,4804.47
1778379258.250,2.50,13382.12,0.00,0.00,4804.47
1778379258.351,3.70,13420.68,0.00,0.00,4804.47
1778379258.451,1.30,13458.18,0.00,0.00,4804.47
1778379258.551,1.30,13496.03,0.00,0.00,4804.47
1778379258.651,2.50,13534.86,0.00,0.00,4804.47
1778379258.752,2.50,13571.95,0.00,0.00,4804.47
1778379258.852,2.50,13610.79,0.00,0.00,4804.47
1778379258.952,3.70,13649.02,0.00,0.00,4804.47
1778379259.052,6.00,13688.34,0.00,0.00,4804.47
1778379259.152,2.50,13725.12,0.00,0.00,4804.47
1778379259.253,0.00,13762.62,0.00,0.00,4804.47
1778379259.353,1.30,13800.49,0.00,0.00,4804.47
1778379259.453,3.70,13839.24,0.00,0.00,4804.47
1778379259.553,1.20,13876.93,0.00,0.00,4804.47
1778379259.653,0.00,13913.68,0.00,0.00,4804.47
1778379259.754,1.20,13951.18,0.00,0.00,4804.47
1778379259.854,2.50,13989.37,0.00,0.00,4804.47
1778379259.954,0.00,14026.94,0.00,0.00,4804.47
1778379260.054,0.00,14064.74,0.00,0.00,4804.47
1778379260.154,1.20,14102.24,0.00,0.00,4804.47
1778379260.254,3.70,14141.04,0.00,0.00,4804.47
1778379260.355,3.80,14179.79,0.00,0.00,4804.47
1778379260.455,3.70,14218.66,0.00,0.00,4804.47
1778379260.555,3.70,14256.61,0.00,0.00,4804.47
1778379260.655,2.50,14293.81,0.00,0.00,4804.47
1778379260.755,4.80,14331.68,0.00,0.00,4804.47
1778379260.856,3.70,14369.18,0.00,0.00,4804.47
1778379260.956,1.30,14408.20,0.00,0.00,4804.47
1778379261.056,2.50,14445.58,0.00,0.00,4804.47
1778379261.156,0.00,14482.02,0.00,0.00,4804.47
1778379261.256,0.00,14520.65,0.00,0.00,4804.47
1778379261.356,3.70,14559.11,0.00,0.00,4804.47
1778379261.456,0.00,14595.95,0.00,0.00,4804.47
1778379261.557,0.00,14633.07,0.00,0.00,4804.47
1778379261.657,1.30,14671.32,0.00,0.00,4804.47
1778379261.861,9.90,9937.19,0.00,0.00,4804.47
1778379261.962,9.80,10037.49,0.00,0.00,4804.47
1778379262.062,0.00,10074.62,0.00,0.00,4804.47
1778379262.162,2.50,10112.48,0.00,0.00,4804.47
1778379262.262,2.50,10150.29,0.00,0.00,4804.47
1778379262.362,3.70,10187.39,0.00,0.00,4804.47
1778379262.463,1.30,10225.73,0.00,0.00,4804.47
1778379262.563,2.50,10262.93,0.00,0.00,4804.47
1778379262.663,1.30,10300.47,0.00,0.00,4804.47
1778379262.763,2.50,10335.89,0.00,0.00,4804.47
1778379262.863,7.40,10351.03,0.00,0.00,4804.47
1778379262.964,1.20,10346.73,0.00,0.00,4804.47
1778379263.064,1.30,10384.86,0.00,0.00,4804.47
1778379263.164,1.30,10402.16,0.00,0.00,4804.47
1778379263.264,2.50,10439.76,0.00,0.00,4804.47
1778379263.364,2.50,10477.46,0.00,0.00,4804.47
1778379263.465,6.10,10513.36,0.00,0.00,4804.47
1778379263.565,2.50,10551.48,0.00,0.00,4804.47
1778379263.665,2.50,10588.96,0.00,0.00,4804.47
1778379263.765,1.20,10627.21,0.00,0.00,4804.47
