timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778384123.898,0.00,259.07,0.00,0.00,194.56
1778384123.998,2.50,261.48,0.00,0.00,194.56
1778384124.098,1.30,262.08,0.00,0.00,194.56
1778384124.199,2.50,265.81,0.00,0.00,194.56
1778384124.299,4.90,269.86,0.00,0.00,194.56
1778384124.400,5.00,274.05,0.00,0.00,194.56
1778384124.500,2.50,279.55,0.00,0.00,194.56
1778384124.600,6.10,286.41,0.00,0.00,194.56
1778384124.700,8.90,289.01,0.00,0.00,194.56
1778384124.801,5.00,295.39,0.00,0.00,194.56
1778384124.901,4.90,300.60,0.00,0.00,194.56
1778384125.001,2.50,304.23,0.00,0.00,194.56
1778384125.101,3.80,308.72,0.00,0.00,194.56
1778384125.492,1.90,353.68,0.00,0.00,194.56
1778384125.593,6.20,357.74,0.00,0.00,194.56
1778384125.695,9.80,361.54,0.00,0.00,194.56
1778384125.795,5.00,364.13,0.00,0.00,194.56
1778384125.896,6.30,368.19,0.00,0.00,194.56
1778384125.998,13.30,369.54,0.00,0.00,194.56
1778384126.105,8.30,376.82,0.00,0.00,194.56
1778384126.205,7.50,378.91,0.00,0.00,194.56
1778384126.316,18.90,384.02,0.00,0.00,194.56
1778384126.417,86.30,387.95,0.00,0.00,194.56
1778384126.536,2.10,395.14,0.00,0.00,194.56
1778384126.637,6.10,400.09,0.00,0.00,194.56
1778384126.738,5.00,405.16,0.00,0.00,194.56
1778384126.840,6.30,414.68,0.00,0.00,194.56
1778384126.943,0.00,419.17,0.00,0.00,194.56
1778384127.043,0.00,431.66,0.00,0.00,194.56
1778384127.143,13.30,690.70,0.00,0.00,194.56
1778384127.244,5.10,846.96,0.00,0.00,194.56
1778384127.344,0.00,885.21,0.00,0.00,194.56
1778384127.444,0.00,922.71,0.00,0.00,194.56
1778384127.544,0.00,960.21,0.00,0.00,194.56
1778384127.644,0.00,997.71,0.00,0.00,194.56
1778384127.744,1.20,1035.21,0.00,0.00,194.56
1778384127.844,0.00,1072.71,0.00,0.00,194.56
1778384127.944,0.00,1110.21,0.00,0.00,194.56
1778384128.044,0.00,1147.71,0.00,0.00,194.56
1778384128.144,0.00,1185.65,0.00,0.00,194.56
1778384128.245,0.00,1223.44,0.00,0.00,194.56
1778384128.345,2.50,1260.94,0.00,0.00,194.56
1778384128.445,3.70,1298.44,0.00,0.00,194.56
1778384128.545,4.80,1335.94,0.00,0.00,194.56
1778384128.645,4.80,1373.44,0.00,0.00,194.56
1778384128.745,3.70,1410.94,0.00,0.00,194.56
1778384128.845,1.30,1448.44,0.00,0.00,194.56
1778384128.945,1.20,1485.94,0.00,0.00,194.56
1778384129.045,0.00,1523.44,0.00,0.00,194.56
1778384129.145,0.00,1560.94,0.00,0.00,194.56
1778384129.245,0.00,1598.44,0.00,0.00,194.56
1778384129.346,0.00,1635.94,0.00,0.00,194.56
1778384129.446,0.00,1673.44,0.00,0.00,194.56
1778384129.546,0.00,1711.24,0.00,0.00,194.56
1778384129.646,0.00,1748.99,0.00,0.00,194.56
1778384129.746,0.00,1786.69,0.00,0.00,194.56
1778384129.846,0.00,1824.19,0.00,0.00,194.56
1778384129.946,0.00,1861.69,0.00,0.00,194.56
1778384130.046,2.50,1899.19,0.00,0.00,194.56
1778384130.146,1.30,1936.69,0.00,0.00,194.56
1778384130.246,3.70,1974.19,0.00,0.00,194.56
1778384130.347,4.80,2011.69,0.00,0.00,194.56
1778384130.447,6.00,2049.19,0.00,0.00,194.56
1778384130.547,3.70,2086.69,0.00,0.00,194.56
1778384130.647,1.20,2124.19,0.00,0.00,194.56
1778384130.747,1.20,2161.88,0.00,0.00,194.56
1778384130.847,0.00,2199.64,0.00,0.00,194.56
1778384130.947,0.00,2237.45,0.00,0.00,194.56
1778384131.047,0.00,2274.95,0.00,0.00,194.56
1778384131.147,0.00,2312.45,0.00,0.00,194.56
1778384131.247,0.00,2349.95,0.00,0.00,194.56
1778384131.348,0.00,2387.45,0.00,0.00,194.56
1778384131.448,0.00,2424.95,0.00,0.00,194.56
1778384131.548,0.00,2462.45,0.00,0.00,194.56
1778384131.648,0.00,2499.95,0.00,0.00,194.56
1778384131.748,0.00,2537.45,0.00,0.00,194.56
1778384131.848,1.30,2574.95,0.00,0.00,194.56
1778384131.948,3.70,2612.45,0.00,0.00,194.56
1778384132.048,4.80,2649.95,0.00,0.00,194.56
1778384132.148,4.80,2687.93,0.00,0.00,194.56
1778384132.248,6.00,2725.70,0.00,0.00,194.56
1778384132.349,1.30,2763.20,0.00,0.00,194.56
1778384132.449,1.20,2800.70,0.00,0.00,194.56
1778384132.549,1.30,2838.20,0.00,0.00,194.56
1778384132.649,1.30,2874.20,0.00,0.00,194.56
1778384132.749,1.20,2911.70,0.00,0.00,194.56
1778384132.849,0.00,2949.20,0.00,0.00,194.56
1778384132.949,1.30,2986.70,0.00,0.00,194.56
1778384133.049,6.00,3024.20,0.00,0.00,194.56
1778384133.149,3.70,3061.70,0.00,0.00,194.56
1778384133.249,6.00,3099.52,0.00,0.00,194.56
1778384133.350,1.30,3137.20,0.00,0.00,194.56
1778384133.450,0.00,3174.70,0.00,0.00,194.56
1778384133.550,0.00,3212.16,0.00,0.00,194.56
1778384133.650,3.70,3250.23,0.00,0.00,194.56
1778384133.750,2.50,3289.61,0.00,0.00,194.56
1778384133.850,2.50,3328.79,0.00,0.00,194.56
1778384133.950,0.00,3364.96,0.00,0.00,194.56
1778384134.050,0.00,3402.46,0.00,0.00,194.56
1778384134.150,0.00,3439.96,0.00,0.00,194.56
1778384134.250,1.20,3478.40,0.00,0.00,194.56
1778384134.351,0.00,3516.03,0.00,0.00,194.56
1778384134.451,0.00,3553.53,0.00,0.00,194.56
1778384134.551,1.30,3591.03,0.00,0.00,194.56
1778384134.651,3.70,3629.57,0.00,0.00,194.56
1778384134.751,1.20,3667.61,0.00,0.00,194.56
1778384134.851,0.00,3705.32,0.00,0.00,194.56
1778384134.951,0.00,3742.82,0.00,0.00,194.56
1778384135.051,4.90,3780.89,0.00,0.00,194.56
1778384135.151,4.90,3819.07,0.00,0.00,194.56
1778384135.252,2.50,3857.95,0.00,0.00,194.56
1778384135.352,4.90,3896.00,0.00,0.00,194.56
1778384135.452,3.70,3933.68,0.00,0.00,194.56
1778384135.552,4.80,3971.18,0.00,0.00,194.56
1778384135.652,4.80,4008.68,0.00,0.00,194.56
1778384135.752,4.90,4047.34,0.00,0.00,194.56
1778384135.852,2.50,4085.50,0.00,0.00,194.56
1778384135.952,1.20,4122.62,0.00,0.00,194.56
1778384136.052,0.00,4160.12,0.00,0.00,194.56
1778384136.153,2.50,4198.31,0.00,0.00,194.56
1778384136.253,0.00,4235.81,0.00,0.00,194.56
1778384136.353,0.00,4273.31,0.00,0.00,194.56
1778384136.453,0.00,4310.81,0.00,0.00,194.56
1778384136.553,2.50,4349.67,0.00,0.00,194.56
1778384136.653,3.70,4388.30,0.00,0.00,194.56
1778384136.753,4.90,4427.15,0.00,0.00,194.56
1778384136.853,2.50,4463.95,0.00,0.00,194.56
1778384136.953,3.80,4502.09,0.00,0.00,194.56
1778384137.054,1.30,4539.96,0.00,0.00,194.56
1778384137.154,4.80,4577.46,0.00,0.00,194.56
1778384137.254,4.90,4615.50,0.00,0.00,194.56
1778384137.354,3.80,4653.15,0.00,0.00,194.56
1778384137.454,3.70,4691.03,0.00,0.00,194.56
1778384137.554,1.20,4728.15,0.00,0.00,194.56
1778384137.654,3.70,4766.39,0.00,0.00,194.56
1778384137.754,0.00,4803.84,0.00,0.00,194.56
1778384137.854,1.30,4841.71,0.00,0.00,194.56
1778384137.955,0.00,4878.84,0.00,0.00,194.56
1778384138.055,1.30,4918.43,0.00,0.00,194.56
1778384138.155,2.50,4954.76,0.00,0.00,194.56
1778384138.255,6.20,4994.32,0.00,0.00,194.56
1778384138.355,2.50,5032.57,0.00,0.00,194.56
1778384138.455,3.80,5070.43,0.00,0.00,194.56
1778384138.555,3.60,5107.93,0.00,0.00,194.56
1778384138.655,4.80,5145.43,0.00,0.00,194.56
1778384138.755,3.70,5182.93,0.00,0.00,194.56
1778384138.856,2.50,5221.87,0.00,0.00,194.56
1778384138.956,2.50,5258.62,0.00,0.00,194.56
1778384139.056,0.00,5296.87,0.00,0.00,194.56
1778384139.156,0.00,5333.70,0.00,0.00,194.56
1778384139.256,2.50,5372.51,0.00,0.00,194.56
1778384139.356,0.00,5410.01,0.00,0.00,194.56
1778384139.456,0.00,5447.88,0.00,0.00,194.56
1778384139.556,2.50,5485.82,0.00,0.00,194.56
1778384139.656,1.20,5523.98,0.00,0.00,194.56
1778384139.756,3.70,5561.75,0.00,0.00,194.56
1778384139.857,3.70,5599.54,0.00,0.00,194.56
1778384139.957,1.30,5637.78,0.00,0.00,194.56
1778384140.057,1.30,5675.28,0.00,0.00,194.56
1778384140.157,0.00,5712.40,0.00,0.00,194.56
1778384140.257,0.00,5750.64,0.00,0.00,194.56
