timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778386872.059,0.00,260.26,0.00,0.00,6562.08
1778386872.159,1.20,262.48,0.00,0.00,6562.08
1778386872.259,0.00,262.48,0.00,0.00,6562.08
1778386872.360,4.90,278.08,0.00,0.00,6562.08
1778386872.465,6.00,289.85,0.00,0.00,6562.08
1778386872.566,6.80,354.97,0.00,0.00,6562.08
1778386872.666,6.20,365.75,0.00,0.00,6562.08
1778386872.799,6.10,370.75,0.00,0.00,6562.08
1778386872.901,12.30,386.68,0.00,0.00,6562.08
1778386873.001,96.90,417.49,0.00,0.00,6562.08
1778386873.102,91.30,5812.81,0.00,0.00,6562.08
1778386873.202,100.00,11574.87,0.00,0.00,6562.08
1778386873.412,32.20,9938.77,0.00,0.00,6562.08
1778386873.631,41.40,13010.52,0.00,0.00,6562.08
1778386873.731,0.00,13010.52,0.00,0.00,6562.08
1778386873.831,0.60,13010.59,0.00,0.00,6562.08
1778386875.456,6.10,13184.36,0.00,0.00,6562.08
1778386876.330,6.30,13157.73,0.00,0.00,6562.08
1778386876.431,0.00,13157.73,0.00,0.00,6562.08
1778386876.531,0.00,13157.73,0.00,0.00,6562.08
1778386876.632,45.10,13219.43,0.00,0.00,6562.08
1778386876.732,98.70,13237.44,0.00,0.00,6562.08
1778386876.832,98.10,13237.44,0.00,0.00,6562.08
1778386876.933,98.70,13237.44,0.00,0.00,6562.08
1778386877.033,98.70,13237.44,0.00,0.00,6562.08
1778386877.133,98.80,13237.44,0.00,0.00,6562.08
1778386877.233,98.70,13237.44,0.00,0.00,6562.08
1778386877.334,98.10,13237.44,0.00,0.00,6562.08
1778386877.434,95.60,13240.41,0.00,0.00,6562.08
1778386877.534,27.30,13242.07,0.00,0.00,6562.08
1778386877.634,41.40,13242.07,0.00,0.00,6562.08
1778386877.734,41.40,13242.07,0.00,0.00,6562.08
1778386877.838,43.80,13242.07,0.00,0.00,6562.08
1778386877.938,23.10,13242.07,0.00,0.00,6562.08
1778386878.041,43.70,13242.07,0.00,0.00,6562.08
1778386878.141,41.30,13242.07,0.00,0.00,6562.08
1778386878.241,40.00,13242.07,0.00,0.00,6562.08
1778386878.342,22.00,13242.07,0.00,0.00,6562.08
1778386878.445,41.50,13242.07,0.00,0.00,6562.08
1778386878.545,42.60,13242.07,0.00,0.00,6562.08
1778386878.645,40.30,13242.07,0.00,0.00,6562.08
1778386878.746,24.80,13242.07,0.00,0.00,6562.08
1778386878.846,40.50,13242.07,0.00,0.00,6562.08
1778386878.946,42.10,13242.07,0.00,0.00,6562.08
1778386879.047,40.60,13242.07,0.00,0.00,6562.08
1778386879.147,19.30,13242.07,0.00,0.00,6562.08
1778386879.247,43.70,13242.07,0.00,0.00,6562.08
1778386879.349,42.90,13242.07,0.00,0.00,6562.08
1778386879.449,41.30,13242.07,0.00,0.00,6562.08
1778386879.549,24.50,13242.07,0.00,0.00,6562.08
1778386879.650,38.60,13242.07,0.00,0.00,6562.08
1778386879.750,40.30,13242.07,0.00,0.00,6562.08
1778386879.850,40.00,13242.07,0.00,0.00,6562.08
1778386879.950,31.40,13242.07,0.00,0.00,6562.08
1778386880.051,35.80,13242.07,0.00,0.00,6562.08
1778386880.151,40.60,13242.07,0.00,0.00,6562.08
1778386880.251,40.30,13242.07,0.00,0.00,6562.08
1778386880.351,35.20,13242.07,0.00,0.00,6562.08
1778386880.452,30.40,13242.07,0.00,0.00,6562.08
1778386880.553,40.00,13242.07,0.00,0.00,6562.08
1778386880.653,40.60,13242.07,0.00,0.00,6562.08
1778386880.753,40.00,13242.07,0.00,0.00,6562.08
1778386880.855,26.20,13242.13,0.00,0.00,6562.08
1778386880.955,39.60,13242.13,0.00,0.00,6562.08
1778386881.055,42.20,13242.13,0.00,0.00,6562.08
1778386881.156,41.40,13242.14,0.00,0.00,6562.08
1778386881.258,24.70,13242.14,0.00,0.00,6562.08
1778386881.358,40.60,13242.14,0.00,0.00,6562.08
1778386881.458,42.20,13242.14,0.00,0.00,6562.08
1778386881.559,40.50,13242.14,0.00,0.00,6562.08
1778386881.659,24.70,13242.14,0.00,0.00,6562.08
1778386881.759,39.40,13242.14,0.00,0.00,6562.08
1778386881.859,41.60,13242.14,0.00,0.00,6562.08
1778386881.962,43.60,13242.14,0.00,0.00,6562.08
1778386882.062,21.00,13242.14,0.00,0.00,6562.08
1778386882.162,44.70,13242.14,0.00,0.00,6562.08
1778386882.263,40.90,13242.14,0.00,0.00,6562.08
1778386882.363,41.60,13242.14,0.00,0.00,6562.08
1778386882.463,28.10,13242.14,0.00,0.00,6562.08
1778386882.565,37.70,13242.14,0.00,0.00,6562.08
1778386882.665,42.20,13242.14,0.00,0.00,6562.08
1778386882.765,40.50,13242.14,0.00,0.00,6562.08
1778386882.866,32.90,13242.14,0.00,0.00,6562.08
1778386882.966,30.80,13242.14,0.00,0.00,6562.08
1778386883.066,41.00,13242.14,0.00,0.00,6562.08
1778386883.166,41.30,13242.14,0.00,0.00,6562.08
1778386883.266,41.20,13242.14,0.00,0.00,6562.08
1778386883.367,26.70,13242.14,0.00,0.00,6562.08
1778386883.467,42.30,13242.14,0.00,0.00,6562.08
1778386883.567,42.00,13242.14,0.00,0.00,6562.08
1778386883.667,40.90,13242.14,0.00,0.00,6562.08
1778386883.769,25.60,13242.14,0.00,0.00,6562.08
1778386883.869,40.30,13242.14,0.00,0.00,6562.08
1778386883.969,40.90,13242.14,0.00,0.00,6562.08
1778386884.070,42.60,13242.14,0.00,0.00,6562.08
1778386884.170,19.70,13242.14,0.00,0.00,6562.08
1778386884.270,41.70,13242.14,0.00,0.00,6562.08
1778386884.370,41.30,13242.14,0.00,0.00,6562.08
1778386884.470,40.90,13242.14,0.00,0.00,6562.08
1778386884.571,24.70,13242.14,0.00,0.00,6562.08
1778386884.673,42.50,13242.14,0.00,0.00,6562.08
1778386884.773,40.50,13242.14,0.00,0.00,6562.08
1778386884.873,42.10,13242.14,0.00,0.00,6562.08
1778386884.974,27.70,13242.14,0.00,0.00,6562.08
1778386885.074,34.40,13242.14,0.00,0.00,6562.08
1778386885.174,41.60,13242.14,0.00,0.00,6562.08
1778386885.274,41.30,13242.14,0.00,0.00,6562.08
1778386885.374,37.30,13242.14,0.00,0.00,6562.08
1778386885.475,31.50,13242.14,0.00,0.00,6562.08
1778386885.575,40.60,13242.14,0.00,0.00,6562.08
1778386885.675,41.10,13242.14,0.00,0.00,6562.08
1778386885.775,42.30,13242.14,0.00,0.00,6562.08
1778386885.876,22.00,13242.14,0.00,0.00,6562.08
1778386885.976,42.70,13242.14,0.00,0.00,6562.08
1778386886.079,43.40,13242.14,0.00,0.00,6562.08
1778386886.179,41.10,13242.14,0.00,0.00,6562.08
1778386886.279,23.60,13242.14,0.00,0.00,6562.08
1778386886.380,41.60,13242.14,0.00,0.00,6562.08
1778386886.480,41.00,13242.14,0.00,0.00,6562.08
1778386886.580,40.50,13242.14,0.00,0.00,6562.08
1778386886.680,19.90,13242.14,0.00,0.00,6562.08
1778386886.780,47.20,13242.14,0.00,0.00,6562.08
1778386886.882,42.20,13242.14,0.00,0.00,6562.08
1778386886.982,42.90,13242.14,0.00,0.00,6562.08
1778386887.082,23.70,13242.14,0.00,0.00,6562.08
1778386887.183,40.40,13242.14,0.00,0.00,6562.08
1778386887.283,40.50,13242.14,0.00,0.00,6562.08
1778386887.383,40.90,13242.14,0.00,0.00,6562.08
1778386887.483,33.30,13242.14,0.00,0.00,6562.08
1778386887.584,34.20,13242.14,0.00,0.00,6562.08
1778386887.684,42.00,13242.14,0.00,0.00,6562.08
1778386887.784,41.20,13242.14,0.00,0.00,6562.08
1778386887.884,38.50,13242.14,0.00,0.00,6562.08
1778386887.984,27.80,13242.14,0.00,0.00,6562.08
1778386888.084,40.90,13242.14,0.00,0.00,6562.08
1778386888.185,42.30,13242.14,0.00,0.00,6562.08
1778386888.285,40.90,13242.14,0.00,0.00,6562.08
1778386888.387,26.50,13242.14,0.00,0.00,6562.08
1778386888.487,42.20,13242.14,0.00,0.00,6562.08
1778386888.587,38.30,13242.14,0.00,0.00,6562.08
1778386888.688,41.50,13242.14,0.00,0.00,6562.08
1778386888.788,23.10,13242.14,0.00,0.00,6562.08
1778386888.888,44.40,13242.14,0.00,0.00,6562.08
1778386888.988,40.90,13242.14,0.00,0.00,6562.08
1778386889.088,41.60,13242.14,0.00,0.00,6562.08
1778386889.189,23.30,13242.14,0.00,0.00,6562.08
1778386889.289,40.00,13242.14,0.00,0.00,6562.08
1778386889.392,43.70,13242.14,0.00,0.00,6562.08
1778386889.492,41.90,13242.14,0.00,0.00,6562.08
1778386889.592,29.20,13242.14,0.00,0.00,6562.08
1778386889.693,36.80,13242.14,0.00,0.00,6562.08
1778386889.793,40.90,13242.14,0.00,0.00,6562.08
1778386889.893,41.60,13242.14,0.00,0.00,6562.08
1778386889.993,37.30,13242.14,0.00,0.00,6562.08
1778386890.094,31.90,13242.14,0.00,0.00,6562.08
1778386890.194,40.00,13242.14,0.00,0.00,6562.08
1778386890.294,40.40,13242.14,0.00,0.00,6562.08
1778386890.395,41.30,13242.14,0.00,0.00,6562.08
1778386890.495,24.80,13242.14,0.00,0.00,6562.08
1778386890.595,42.00,13242.14,0.00,0.00,6562.08
1778386890.695,42.00,13242.14,0.00,0.00,6562.08
1778386890.795,41.10,13242.14,0.00,0.00,6562.08
1778386890.896,27.00,13242.14,0.00,0.00,6562.08
1778386890.996,39.60,13242.14,0.00,0.00,6562.08
1778386891.096,42.90,13242.14,0.00,0.00,6562.08
1778386891.197,40.30,13242.14,0.00,0.00,6562.08
1778386891.297,20.50,13242.14,0.00,0.00,6562.08
1778386891.397,45.40,13242.14,0.00,0.00,6562.08
1778386891.497,42.30,13242.14,0.00,0.00,6562.08
1778386891.597,41.10,13242.14,0.00,0.00,6562.08
1778386891.698,29.30,13242.14,0.00,0.00,6562.08
1778386891.798,39.80,13242.14,0.00,0.00,6562.08
1778386891.898,41.10,13242.14,0.00,0.00,6562.08
1778386891.998,41.60,13242.14,0.00,0.00,6562.08
1778386892.099,33.50,13242.14,0.00,0.00,6562.08
1778386892.199,31.30,13242.14,0.00,0.00,6562.08
1778386892.299,40.50,13242.14,0.00,0.00,6562.08
1778386892.399,40.50,13242.14,0.00,0.00,6562.08
1778386892.499,40.50,13242.14,0.00,0.00,6562.08
1778386892.600,26.90,13242.14,0.00,0.00,6562.08
1778386892.700,40.90,13242.14,0.00,0.00,6562.08
1778386892.800,42.00,13242.14,0.00,0.00,6562.08
1778386892.900,41.60,13242.14,0.00,0.00,6562.08
1778386893.003,25.90,13242.14,0.00,0.00,6562.08
1778386893.103,40.00,13242.14,0.00,0.00,6562.08
1778386893.203,41.20,13242.14,0.00,0.00,6562.08
