timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778386060.987,0.00,260.04,0.00,0.00,799.18
1778386061.087,0.60,262.34,0.00,0.00,799.18
1778386061.187,1.90,266.80,0.00,0.00,799.18
1778386061.339,6.20,289.76,0.00,0.00,799.18
1778386061.442,6.70,354.84,0.00,0.00,799.18
1778386061.543,6.30,365.61,0.00,0.00,799.18
1778386061.679,6.00,370.60,0.00,0.00,799.18
1778386061.780,12.30,386.52,0.00,0.00,799.18
1778386061.882,96.30,417.42,0.00,0.00,799.18
1778386061.982,92.00,5921.00,0.00,0.00,799.18
1778386062.082,100.00,11746.23,0.00,0.00,799.18
1778386062.290,30.80,9938.50,0.00,0.00,799.18
1778386062.510,41.60,13010.43,0.00,0.00,799.18
1778386062.610,0.00,13010.43,0.00,0.00,799.18
1778386062.710,0.00,13010.50,0.00,0.00,799.18
1778386064.317,6.20,13184.14,0.00,0.00,799.18
1778386065.224,6.20,13158.80,0.00,0.00,799.18
1778386065.324,0.00,13158.80,0.00,0.00,799.18
1778386065.425,0.00,13158.80,0.00,0.00,799.18
1778386065.525,41.60,13205.24,0.00,0.00,799.18
1778386065.625,96.90,13232.98,0.00,0.00,799.18
1778386065.726,98.10,13232.98,0.00,0.00,799.18
1778386065.826,98.70,13232.98,0.00,0.00,799.18
1778386065.926,98.10,13232.98,0.00,0.00,799.18
1778386066.027,98.10,13235.91,0.00,0.00,799.18
1778386066.127,98.10,13241.41,0.00,0.00,799.18
1778386066.227,98.80,13246.92,0.00,0.00,799.18
1778386066.328,98.10,13252.43,0.00,0.00,799.18
1778386066.428,94.30,13256.34,0.00,0.00,799.18
1778386066.530,30.50,13258.00,0.00,0.00,799.18
1778386066.630,42.00,13258.00,0.00,0.00,799.18
1778386066.730,41.10,13258.00,0.00,0.00,799.18
1778386066.830,39.80,13258.00,0.00,0.00,799.18
1778386066.930,25.00,13258.00,0.00,0.00,799.18
1778386067.031,40.90,13258.00,0.00,0.00,799.18
1778386067.134,44.00,13258.00,0.00,0.00,799.18
1778386067.234,40.30,13258.00,0.00,0.00,799.18
1778386067.334,23.80,13258.00,0.00,0.00,799.18
1778386067.434,41.60,13258.00,0.00,0.00,799.18
1778386067.534,41.20,13258.00,0.00,0.00,799.18
1778386067.635,41.30,13258.00,0.00,0.00,799.18
1778386067.735,19.30,13258.00,0.00,0.00,799.18
1778386067.835,49.10,13258.00,0.00,0.00,799.18
1778386067.935,41.20,13258.00,0.00,0.00,799.18
1778386068.035,41.20,13258.00,0.00,0.00,799.18
1778386068.135,23.30,13258.00,0.00,0.00,799.18
1778386068.237,44.00,13258.00,0.00,0.00,799.18
1778386068.337,41.90,13258.00,0.00,0.00,799.18
1778386068.437,40.30,13258.00,0.00,0.00,799.18
1778386068.537,27.80,13258.00,0.00,0.00,799.18
1778386068.639,38.80,13258.00,0.00,0.00,799.18
1778386068.739,55.00,13258.00,0.00,0.00,799.18
1778386068.839,41.60,13258.00,0.00,0.00,799.18
1778386068.939,40.90,13258.00,0.00,0.00,799.18
1778386069.039,25.80,13258.00,0.00,0.00,799.18
1778386069.140,41.60,13258.00,0.00,0.00,799.18
1778386069.240,41.20,13258.00,0.00,0.00,799.18
1778386069.340,41.30,13258.00,0.00,0.00,799.18
1778386069.440,27.30,13258.00,0.00,0.00,799.18
1778386069.540,43.00,13258.00,0.00,0.00,799.18
1778386069.640,41.60,13258.00,0.00,0.00,799.18
1778386069.740,40.90,13258.00,0.00,0.00,799.18
1778386069.840,20.40,13258.00,0.00,0.00,799.18
