timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778451591.918,0.00,259.85,0.00,0.00,412.94
1778451592.018,10.00,262.03,0.00,0.00,412.94
1778451592.118,2.40,262.06,0.00,0.00,412.94
1778451592.219,7.70,264.38,0.00,0.00,412.94
1778451592.319,14.60,269.01,0.00,0.00,412.94
1778451592.420,12.80,273.14,0.00,0.00,412.94
1778451592.520,12.50,279.53,0.00,0.00,412.94
1778451592.620,15.00,287.81,0.00,0.00,412.94
1778451592.722,22.00,289.48,0.00,0.00,412.94
1778451592.822,14.60,295.75,0.00,0.00,412.94
1778451592.922,12.50,301.27,0.00,0.00,412.94
1778451593.023,10.30,306.19,0.00,0.00,412.94
1778451593.123,15.40,310.41,0.00,0.00,412.94
1778451593.472,3.60,354.25,0.00,0.00,412.94
1778451593.573,17.10,358.30,0.00,0.00,412.94
1778451593.673,21.40,361.73,0.00,0.00,412.94
1778451593.773,17.10,364.64,0.00,0.00,412.94
1778451593.874,17.90,368.13,0.00,0.00,412.94
1778451594.007,22.20,370.08,0.00,0.00,412.94
1778451594.114,22.50,374.20,0.00,0.00,412.94
1778451594.215,20.90,378.68,0.00,0.00,412.94
1778451594.328,11.40,383.39,0.00,0.00,412.94
1778451594.429,90.20,387.73,0.00,0.00,412.94
1778451594.550,8.50,395.53,0.00,0.00,412.94
1778451594.650,19.50,400.12,0.00,0.00,412.94
1778451594.750,12.80,405.64,0.00,0.00,412.94
1778451594.864,16.70,417.70,0.00,0.00,412.94
1778451594.995,4.30,423.56,0.00,0.00,412.94
1778451595.095,6.30,497.85,0.00,0.00,412.94
1778451595.195,22.00,665.10,0.00,0.00,412.94
1778451595.296,20.50,830.34,0.00,0.00,412.94
1778451595.396,9.80,901.35,0.00,0.00,412.94
1778451595.496,0.00,938.85,0.00,0.00,412.94
1778451595.596,0.00,976.64,0.00,0.00,412.94
1778451595.697,0.00,1014.60,0.00,0.00,412.94
1778451595.797,7.30,1052.10,0.00,0.00,412.94
1778451595.897,9.30,1089.60,0.00,0.00,412.94
1778451595.997,9.50,1127.10,0.00,0.00,412.94
1778451596.098,2.60,1164.73,0.00,0.00,412.94
1778451596.198,0.00,1202.85,0.00,0.00,412.94
1778451596.298,0.00,1240.35,0.00,0.00,412.94
1778451596.398,7.30,1277.85,0.00,0.00,412.94
1778451596.499,11.60,1315.35,0.00,0.00,412.94
1778451596.599,9.50,1353.49,0.00,0.00,412.94
1778451596.699,0.00,1391.10,0.00,0.00,412.94
1778451596.800,0.00,1428.60,0.00,0.00,412.94
1778451596.900,2.60,1466.10,0.00,0.00,412.94
1778451597.000,2.50,1503.60,0.00,0.00,412.94
1778451597.100,9.50,1541.85,0.00,0.00,412.94
1778451597.201,9.50,1579.35,0.00,0.00,412.94
1778451597.301,2.60,1616.85,0.00,0.00,412.94
1778451597.401,0.00,1654.35,0.00,0.00,412.94
