timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778161536.055,0.00,424.23,0.00,450.19,1217.78
1778161536.156,7.50,426.40,0.00,450.19,1217.78
1778161536.258,9.80,429.75,0.00,450.19,1217.78
1778161536.365,26.20,445.08,0.00,450.19,1217.78
1778161536.467,26.20,456.28,0.00,450.19,1217.78
1778161536.568,23.10,465.06,0.00,450.19,1217.78
1778161536.682,26.10,468.99,0.00,450.19,1217.78
1778161536.787,24.40,475.33,0.00,450.19,1217.78
1778161536.892,25.60,507.57,0.00,450.19,1217.78
1778161536.993,25.00,512.04,0.00,450.19,1217.78
1778161537.099,25.60,519.46,0.00,450.19,1217.78
1778161537.203,26.80,522.64,0.00,450.19,1217.78
1778161537.322,24.50,524.23,0.00,450.19,1217.78
1778161537.428,92.70,536.22,0.00,450.19,1217.78
1778161537.529,36.60,548.14,0.00,450.19,1217.78
1778161537.632,24.40,560.25,0.00,450.19,1217.78
1778161537.734,46.30,873.30,0.00,450.19,1217.78
1778161537.835,50.00,1232.95,0.00,450.19,1217.78
1778161537.936,51.20,1593.04,0.00,450.19,1217.78
1778161538.038,50.00,1953.04,0.00,450.19,1217.78
1778161538.139,50.00,2313.37,0.00,450.19,1217.78
1778161538.241,51.20,2665.21,0.00,450.19,1217.78
1778161538.342,51.20,3019.70,0.00,450.19,1217.78
1778161538.444,48.80,3373.16,0.00,450.19,1217.78
1778161538.545,50.00,3727.99,0.00,450.19,1217.78
1778161538.646,51.20,4082.79,0.00,450.19,1217.78
1778161538.748,50.00,4437.64,0.00,450.19,1217.78
1778161538.849,51.20,4793.58,0.00,450.19,1217.78
1778161538.951,50.00,5148.66,0.00,450.19,1217.78
1778161539.053,51.20,5505.06,0.00,450.19,1217.78
1778161539.154,50.00,5861.79,0.00,450.19,1217.78
1778161539.255,48.80,6217.16,0.00,450.19,1217.78
1778161539.357,51.20,6571.68,0.00,450.19,1217.78
1778161539.458,50.00,6926.66,0.00,450.19,1217.78
1778161539.560,51.20,7282.43,0.00,450.19,1217.78
1778161539.661,50.00,7637.01,0.00,450.19,1217.78
1778161539.763,51.20,7992.43,0.00,450.19,1217.78
1778161539.864,50.00,8347.28,0.00,450.19,1217.78
1778161539.966,51.20,8701.88,0.00,450.19,1217.78
1778161540.067,48.80,9056.35,0.00,450.19,1217.78
1778161540.168,50.00,9410.91,0.00,450.19,1217.78
1778161540.270,51.20,9765.97,0.00,450.19,1217.78
1778161540.371,47.50,8499.06,0.00,450.19,1217.78
1778161540.499,26.90,5321.18,0.00,450.19,1217.78
1778161540.601,47.50,5663.82,0.00,450.19,1217.78
1778161540.702,51.20,6017.84,0.00,450.19,1217.78
1778161540.804,50.00,6371.85,0.00,450.19,1217.78
1778161540.905,50.00,6725.58,0.00,450.19,1217.78
1778161541.007,51.20,7078.60,0.00,450.19,1217.78
1778161541.108,51.20,7430.61,0.00,450.19,1217.78
1778161541.210,50.00,7784.45,0.00,450.19,1217.78
1778161541.311,51.20,8138.57,0.00,450.19,1217.78
1778161541.504,34.70,6857.11,0.00,450.19,1217.78
1778161541.605,4.70,6857.11,0.00,450.19,1217.78
1778161541.708,22.50,6919.33,0.00,460.19,1217.78
1778161541.810,24.40,6959.83,0.00,1472.19,1217.78
1778161541.911,25.00,6959.83,0.00,1472.19,1217.78
1778161542.016,25.60,6040.27,63.00,1490.19,1217.78
1778161542.118,25.00,5704.25,63.00,1874.19,1217.78
1778161542.219,26.80,5368.23,50.00,2206.19,1217.78
1778161542.321,23.10,4984.20,50.00,2586.19,1217.78
1778161542.422,26.20,4648.18,58.00,2938.19,1217.78
1778161542.523,25.00,4282.15,58.00,3270.19,1217.78
1778161542.624,25.00,3928.14,59.00,3632.19,1217.78
1778161542.725,26.80,3592.12,59.00,3994.19,1217.78
1778161542.829,24.40,3208.10,60.00,4374.19,1217.78
1778161542.930,25.00,2872.08,59.00,4726.19,1217.78
1778161543.031,24.40,2536.06,59.00,5058.19,1217.78
1778161543.132,26.80,2152.04,59.00,5438.19,1217.78
1778161543.233,25.00,1792.02,59.00,5772.19,1217.78
1778161543.337,24.40,1432.00,59.00,6132.19,1217.78
1778161543.438,25.00,1095.99,59.00,6514.19,1217.78
1778161543.539,26.20,759.96,59.00,6846.19,1217.78
1778161543.640,5.00,663.97,59.00,6894.19,1217.78
1778161543.757,19.60,698.19,8.00,6894.19,1217.78
1778161548.983,25.10,880.44,0.00,6894.19,1217.78
1778161552.963,24.70,884.23,0.00,6894.19,1217.78
1778161553.066,24.50,859.25,0.00,6894.19,1217.78
1778161553.167,2.40,860.31,0.00,6894.19,1217.78
1778161553.269,32.50,867.88,0.00,6894.19,1217.78
1778161553.370,36.60,868.09,0.00,6894.19,1217.78
1778161553.472,12.20,877.67,0.00,6990.19,1217.78
1778161553.573,0.00,877.84,8.00,6990.19,1217.78
1778161553.674,0.00,877.84,8.00,6990.19,1217.78
1778161553.775,22.50,939.58,1.00,6990.19,1217.78
1778161553.877,24.40,1075.42,1.00,7002.19,1217.78
1778161553.978,26.80,1145.04,22.00,7020.19,1217.78
1778161554.080,25.00,1276.61,22.00,7020.19,1217.78
1778161554.181,26.80,1354.44,25.00,7022.19,1217.78
1778161554.283,24.40,1354.45,25.00,7022.19,1217.78
1778161554.385,25.00,1354.45,97.00,7024.19,1217.78
1778161554.487,25.00,1354.45,97.00,7024.19,1217.78
1778161554.589,26.20,1354.46,97.00,7024.19,1217.78
1778161554.690,25.00,1354.46,97.00,7024.19,1217.78
1778161554.792,25.00,1354.46,97.00,7024.19,1217.78
1778161554.894,26.20,1354.46,97.00,7024.19,1217.78
1778161554.997,25.00,1354.46,97.00,7024.19,1217.78
1778161555.099,26.20,1354.46,97.00,7024.19,1217.78
1778161555.201,25.00,1354.46,97.00,7024.19,1217.78
1778161555.302,25.00,1354.46,97.00,7024.19,1217.78
1778161555.404,26.20,1354.46,97.00,7028.19,1217.78
1778161555.506,25.00,1354.46,97.00,7028.19,1217.78
1778161555.608,24.40,1354.46,97.00,7028.19,1217.78
1778161555.710,26.80,1354.46,97.00,7028.19,1217.78
1778161555.812,25.00,1354.46,97.00,7028.19,1217.78
1778161555.913,26.20,1354.46,97.00,7028.19,1217.78
1778161556.015,25.00,1354.46,96.00,7028.19,1217.78
1778161556.117,25.00,1354.46,96.00,7028.19,1217.78
1778161556.219,24.40,1354.47,97.00,7030.19,1217.78
1778161556.321,26.80,1354.47,97.00,7030.19,1217.78
1778161556.422,26.80,1354.47,97.00,7030.19,1217.78
1778161556.524,24.40,1354.47,97.00,7030.19,1217.78
1778161556.626,25.00,1354.47,97.00,7030.19,1217.78
1778161556.728,24.40,1354.47,97.00,7030.19,1217.78
1778161556.830,25.00,1354.47,97.00,7030.19,1217.78
1778161556.932,26.80,1354.47,97.00,7030.19,1217.78
1778161557.034,26.20,1354.47,97.00,7030.19,1217.78
1778161557.136,25.00,1354.47,97.00,7030.19,1217.78
1778161557.238,25.00,1354.47,97.00,7030.19,1217.78
1778161557.340,26.20,1354.48,97.00,7036.19,1217.78
1778161557.442,25.00,1354.48,96.00,7036.19,1217.78
