timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778160410.820,0.00,424.43,0.00,450.19,593.77
1778160410.921,7.30,426.62,0.00,450.19,593.77
1778160411.023,14.60,431.36,0.00,450.19,593.77
1778160411.130,24.40,446.02,0.00,450.19,593.77
1778160411.240,26.70,458.27,0.00,450.19,593.77
1778160411.342,23.80,465.33,0.00,450.19,593.77
1778160411.448,26.20,470.17,0.00,450.19,593.77
1778160411.552,24.40,476.27,0.00,450.19,593.77
1778160411.667,25.60,508.66,0.00,450.19,593.77
1778160411.779,26.10,513.08,0.00,450.19,593.77
1778160411.896,24.40,520.88,0.00,450.19,593.77
1778160412.076,26.00,524.42,0.00,450.19,593.77
1778160412.178,92.50,536.39,0.00,450.19,593.77
1778160412.283,37.20,548.26,0.00,450.19,593.77
1778160412.386,23.10,560.38,0.00,450.19,593.77
1778160412.488,47.60,871.46,0.00,450.19,593.77
1778160412.590,51.20,1230.54,0.00,450.19,593.77
1778160412.691,48.70,1590.32,0.00,450.19,593.77
1778160412.793,51.20,1949.45,0.00,450.19,593.77
1778160412.895,50.00,2309.79,0.00,450.19,593.77
1778160412.996,50.00,2659.69,0.00,450.19,593.77
1778160413.098,50.00,3013.40,0.00,450.19,593.77
1778160413.200,51.20,3367.46,0.00,450.19,593.77
1778160413.301,51.20,3721.52,0.00,450.19,593.77
1778160413.403,50.00,4075.62,0.00,450.19,593.77
1778160413.505,48.80,4429.33,0.00,450.19,593.77
1778160413.606,51.20,4784.42,0.00,450.19,593.77
1778160413.708,50.00,5139.84,0.00,450.19,593.77
1778160413.810,51.20,5495.05,0.00,450.19,593.77
1778160413.911,50.00,5851.20,0.00,450.19,593.77
1778160414.013,51.20,6204.77,0.00,450.19,593.77
1778160414.115,50.00,6558.22,0.00,450.19,593.77
1778160414.216,50.00,6912.22,0.00,450.19,593.77
1778160414.318,50.00,7265.82,0.00,450.19,593.77
1778160414.420,51.20,7619.51,0.00,450.19,593.77
1778160414.521,50.00,7974.20,0.00,450.19,593.77
1778160414.623,51.20,8329.21,0.00,450.19,593.77
1778160414.725,51.20,8684.55,0.00,450.19,593.77
1778160414.827,51.20,9039.60,0.00,450.19,593.77
1778160414.928,48.80,9394.71,0.00,450.19,593.77
1778160415.030,50.00,9748.95,0.00,450.19,593.77
1778160415.131,50.00,9321.19,0.00,450.19,593.77
1778160415.270,25.50,5321.30,0.00,450.19,593.77
1778160415.372,50.00,5663.73,0.00,450.19,593.77
1778160415.474,50.00,6018.59,0.00,450.19,593.77
1778160415.575,50.00,6371.56,0.00,450.19,593.77
1778160415.677,50.00,6724.71,0.00,450.19,593.77
1778160415.779,51.20,7078.66,0.00,450.19,593.77
1778160415.881,50.00,7432.42,0.00,450.19,593.77
1778160415.983,51.20,7785.98,0.00,450.19,593.77
1778160416.085,50.00,8140.44,0.00,450.19,593.77
1778160416.275,35.50,6857.24,0.00,450.19,593.77
1778160416.376,0.00,6857.24,0.00,450.19,593.77
1778160416.479,25.00,6919.22,0.00,460.19,593.77
1778160416.580,26.20,6959.95,0.00,1472.19,593.77
1778160416.682,25.00,6959.95,0.00,1472.19,593.77
1778160416.792,25.00,6040.39,59.00,1490.19,593.77
1778160416.893,25.00,5704.37,50.00,1874.19,593.77
1778160416.995,26.20,5368.34,50.00,2206.19,593.77
1778160417.096,25.00,4984.32,58.00,2586.19,593.77
1778160417.198,25.00,4648.29,58.00,2938.19,593.77
1778160417.299,25.00,4282.27,59.00,3270.19,593.77
1778160417.400,26.20,3928.25,59.00,3632.19,593.77
1778160417.501,25.00,3592.24,60.00,3994.19,593.77
1778160417.603,25.00,3256.21,60.00,4326.19,593.77
1778160417.705,24.40,2872.20,58.00,4726.19,593.77
1778160417.806,26.80,2536.18,58.00,5058.19,593.77
1778160417.908,25.00,2152.15,60.00,5438.19,593.77
1778160418.009,25.00,1798.14,60.00,5752.19,593.77
1778160418.112,26.20,1480.12,59.00,6114.19,593.77
1778160418.213,25.00,1096.11,59.00,6514.19,593.77
1778160418.315,24.40,760.08,58.00,6846.19,593.77
1778160418.416,7.30,664.09,58.00,6894.19,593.77
1778160418.538,17.00,698.30,12.00,6894.19,593.77
1778160423.793,25.10,880.82,0.00,6894.19,593.77
1778160427.774,25.30,884.18,0.00,6894.19,593.77
1778160427.875,24.40,858.58,0.00,6894.19,593.77
1778160427.977,0.00,858.58,0.00,6894.19,593.77
1778160428.078,29.30,862.83,0.00,6894.19,593.77
1778160428.180,31.70,899.35,0.00,6894.19,593.77
1778160428.281,19.50,875.85,0.00,6990.19,593.77
1778160428.382,2.40,875.91,8.00,6990.19,593.77
1778160428.484,0.00,875.91,8.00,6990.19,593.77
1778160428.585,0.00,876.03,0.00,6990.19,593.77
1778160428.686,0.00,876.09,0.00,6990.19,593.77
1778160428.787,0.00,876.21,0.00,6990.19,593.77
1778160428.889,0.00,876.56,0.00,6990.19,593.77
1778160428.990,0.00,876.68,0.00,6990.19,593.77
1778160429.091,0.00,876.81,0.00,6990.19,593.77
1778160429.192,0.00,876.87,0.00,6990.19,593.77
1778160429.294,15.00,910.57,0.00,6990.19,593.77
1778160429.396,26.80,1027.45,1.00,7002.19,593.77
1778160429.497,9.80,1081.13,1.00,7004.19,593.77
1778160429.598,0.00,1081.19,1.00,7004.19,593.77
1778160429.700,0.00,1081.25,1.00,7004.19,593.77
1778160429.801,0.00,1081.25,0.00,7004.19,593.77
1778160429.902,2.40,1081.27,0.00,7004.19,593.77
1778160430.004,0.00,1081.30,0.00,7004.19,593.77
1778160430.105,0.00,1081.36,0.00,7004.19,593.77
1778160430.206,0.00,1081.37,0.00,7004.19,593.77
1778160430.308,4.80,1097.53,0.00,7006.19,593.77
1778160430.409,25.00,1162.93,7.00,7022.19,593.77
1778160430.511,25.00,1297.91,7.00,7022.19,593.77
1778160430.613,24.40,1356.98,29.00,7024.19,593.77
1778160430.715,26.80,1356.98,29.00,7024.19,593.77
1778160430.817,25.00,1356.99,88.00,7024.19,593.77
1778160430.919,26.20,1356.99,88.00,7024.19,593.77
1778160431.020,25.00,1356.99,97.00,7024.19,593.77
1778160431.122,24.40,1356.99,97.00,7024.19,593.77
1778160431.224,26.80,1356.99,97.00,7024.19,593.77
1778160431.326,25.00,1356.99,97.00,7024.19,593.77
1778160431.428,26.20,1356.99,97.00,7024.19,593.77
1778160431.530,25.00,1356.99,97.00,7026.19,593.77
1778160431.632,24.40,1356.99,97.00,7028.19,593.77
1778160431.734,25.00,1356.99,97.00,7028.19,593.77
1778160431.835,25.00,1357.00,97.00,7028.19,593.77
1778160431.937,28.60,1357.00,97.00,7028.19,593.77
1778160432.039,24.40,1357.00,97.00,7028.19,593.77
1778160432.141,25.00,1357.00,97.00,7028.19,593.77
1778160432.243,24.40,1357.00,97.00,7028.19,593.77
1778160432.345,25.00,1357.00,97.00,7030.19,593.77
1778160432.447,27.90,1357.00,97.00,7030.19,593.77
