timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778126644.328,0.00,424.65,0.00,450.19,68.15
1778126644.429,7.50,426.90,0.00,450.19,68.15
1778126644.531,14.60,433.57,0.00,450.19,68.15
1778126644.635,26.80,448.39,0.00,450.19,68.15
1778126644.738,26.20,458.86,0.00,450.19,68.15
1778126644.840,24.40,465.63,0.00,450.19,68.15
1778126644.942,25.00,470.44,0.00,450.19,68.15
1778126645.044,26.80,476.41,0.00,450.19,68.15
1778126645.150,24.40,508.85,0.00,450.19,68.15
1778126645.253,25.60,512.73,0.00,450.19,68.15
1778126645.362,25.60,520.20,0.00,450.19,68.15
1778126645.464,24.40,523.99,0.00,450.19,68.15
1778126645.572,25.60,524.75,0.00,450.19,68.15
1778126645.677,92.70,537.09,0.00,450.19,68.15
1778126645.780,35.70,548.65,0.00,450.19,68.15
1778126645.883,38.10,561.19,0.00,450.19,68.15
1778126645.985,42.50,839.75,0.00,450.19,68.15
1778126646.086,51.20,1199.25,0.00,450.19,68.15
1778126646.188,50.00,1557.72,0.00,450.19,68.15
1778126646.289,51.20,1917.26,0.00,450.19,68.15
1778126646.391,50.00,2275.19,0.00,450.19,68.15
1778126646.492,51.20,2625.23,0.00,450.19,68.15
1778126646.594,50.00,2980.82,0.00,450.19,68.15
1778126646.695,50.00,3336.25,0.00,450.19,68.15
1778126646.797,52.40,3691.90,0.00,450.19,68.15
1778126646.898,52.50,4039.83,0.00,450.19,68.15
1778126647.000,48.80,4395.07,0.00,450.19,68.15
1778126647.101,51.20,4751.71,0.00,450.19,68.15
1778126647.203,50.00,5108.55,0.00,450.19,68.15
1778126647.304,51.20,5464.22,0.00,450.19,68.15
1778126647.406,50.00,5817.51,0.00,450.19,68.15
1778126647.508,51.20,6169.57,0.00,450.19,68.15
1778126647.609,50.00,6524.32,0.00,450.19,68.15
1778126647.711,50.00,6880.39,0.00,450.19,68.15
1778126647.812,50.00,7236.27,0.00,450.19,68.15
1778126647.913,51.20,7591.96,0.00,450.19,68.15
1778126648.015,50.00,7947.64,0.00,450.19,68.15
1778126648.116,51.20,8302.44,0.00,450.19,68.15
1778126648.218,51.20,8658.16,0.00,450.19,68.15
1778126648.319,50.00,9011.67,0.00,450.19,68.15
1778126648.421,50.00,9365.40,0.00,450.19,68.15
1778126648.522,51.20,9719.11,0.00,450.19,68.15
1778126648.624,50.00,10074.23,0.00,450.19,68.15
1778126648.768,25.90,5322.11,0.00,450.19,68.15
1778126648.870,50.00,5662.42,0.00,450.19,68.15
1778126648.971,50.00,6016.77,0.00,450.19,68.15
1778126649.073,51.30,6370.51,0.00,450.19,68.15
1778126649.175,50.00,6724.67,0.00,450.19,68.15
1778126649.276,60.00,7047.61,0.00,450.19,68.15
1778126649.378,55.00,7372.96,0.00,450.19,68.15
1778126649.479,51.20,7724.04,0.00,450.19,68.15
1778126649.581,51.20,8075.25,0.00,450.19,68.15
1778126649.682,50.00,7054.16,0.00,450.19,68.15
1778126649.808,24.50,6858.05,0.00,450.19,68.15
1778126649.909,4.70,6858.05,0.00,450.19,68.15
1778126650.011,20.50,6920.05,0.00,460.19,68.15
1778126650.113,28.60,6960.76,0.00,1472.19,68.15
1778126650.214,25.00,6960.76,0.00,1472.19,68.15
1778126650.335,25.50,6041.20,55.00,1490.19,68.15
1778126650.436,26.20,5705.18,50.00,1874.19,68.15
1778126650.537,25.00,5369.15,50.00,2206.19,68.15
1778126650.638,25.00,4985.12,60.00,2586.19,68.15
1778126650.739,26.80,4649.10,60.00,2938.19,68.15
1778126650.841,25.00,4283.07,60.00,3270.19,68.15
1778126650.943,33.30,3911.06,60.00,3632.19,68.15
1778126651.046,23.10,3593.06,58.00,3994.19,68.15
1778126651.147,26.20,3209.03,58.00,4374.19,68.15
1778126651.249,26.80,2873.01,58.00,4726.19,68.15
1778126651.352,24.40,2488.99,58.00,5106.19,68.15
1778126651.453,25.00,2152.96,59.00,5438.19,68.15
1778126651.554,26.80,1786.95,59.00,5790.19,68.15
1778126651.656,25.00,1432.93,60.00,6132.19,68.15
1778126651.757,26.80,1096.91,60.00,6514.19,68.15
1778126651.858,23.10,712.89,59.00,6894.19,68.15
1778126651.959,4.90,664.90,59.00,6894.19,68.15
1778126652.062,24.40,699.09,14.00,6894.19,68.15
1778126657.238,25.10,881.26,0.00,6894.19,68.15
1778126661.214,25.60,884.95,0.00,6894.19,68.15
1778126661.316,24.50,859.95,0.00,6894.19,68.15
1778126661.418,0.00,859.95,0.00,6894.19,68.15
1778126661.519,33.30,868.61,0.00,6894.19,68.15
1778126661.621,32.50,900.81,0.00,6894.19,68.15
1778126661.723,27.50,900.64,6.00,6990.19,68.15
1778126661.824,25.00,1014.97,6.00,7000.19,68.15
1778126661.926,28.60,1117.82,3.00,7046.19,68.15
1778126662.027,22.50,1191.40,3.00,7046.19,68.15
1778126662.128,26.80,1327.07,46.00,7046.19,68.15
1778126662.230,29.30,1345.83,46.00,7048.19,68.15
1778126662.332,27.50,1345.84,55.00,7048.19,68.15
1778126662.434,25.00,1345.84,55.00,7048.19,68.15
1778126662.536,24.40,1345.84,97.00,7048.19,68.15
1778126662.638,26.80,1345.84,97.00,7048.19,68.15
1778126662.740,26.80,1345.84,97.00,7048.19,68.15
1778126662.841,24.40,1345.84,97.00,7048.19,68.15
1778126662.943,25.00,1345.84,96.00,7048.19,68.15
1778126663.045,25.00,1345.84,96.00,7048.19,68.15
1778126663.147,26.20,1345.84,97.00,7048.19,68.15
1778126663.249,26.80,1345.84,97.00,7050.19,68.15
1778126663.351,25.00,1345.85,97.00,7050.19,68.15
1778126663.453,25.00,1345.85,97.00,7050.19,68.15
1778126663.554,26.80,1345.85,97.00,7052.19,68.15
1778126663.657,26.20,1345.85,97.00,7052.19,68.15
1778126663.759,25.00,1345.85,97.00,7052.19,68.15
1778126663.862,24.40,1345.85,97.00,7052.19,68.15
1778126663.964,26.80,1345.85,97.00,7052.19,68.15
1778126664.066,26.80,1345.85,97.00,7052.19,68.15
1778126664.168,24.40,1345.85,97.00,7052.19,68.15
1778126664.271,25.00,1345.85,97.00,7054.19,68.15
1778126664.372,26.20,1345.85,96.00,7056.19,68.15
1778126664.474,25.00,1345.85,96.00,7056.19,68.15
1778126664.576,26.80,1345.85,97.00,7056.19,68.15
1778126664.678,24.40,1345.86,97.00,7056.19,68.15
1778126664.780,26.80,1345.86,97.00,7056.19,68.15
1778126664.882,24.40,1345.86,97.00,7056.19,68.15
1778126664.983,25.00,1345.86,97.00,7056.19,68.15
1778126665.085,26.80,1345.86,97.00,7056.19,68.15
1778126665.187,25.00,1345.86,97.00,7056.19,68.15
1778126665.289,24.40,1345.86,97.00,7056.19,68.15
1778126665.391,26.80,1345.86,97.00,7056.19,68.15
1778126665.493,24.40,1345.86,97.00,7058.19,68.15
1778126665.594,25.00,1345.86,97.00,7058.19,68.15
1778126665.696,26.80,1345.86,97.00,7058.19,68.15
1778126665.799,25.00,1345.86,97.00,7058.19,68.15
1778126665.901,26.20,1345.86,97.00,7058.19,68.15
1778126666.003,25.00,1345.87,97.00,7066.19,68.15
1778126666.106,26.20,1345.88,97.00,7066.19,68.15
1778126666.208,25.00,1345.88,97.00,7066.19,68.15
