timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778530079.077,0.00,260.21,0.00,0.00,771.56
1778530079.177,3.80,262.16,0.00,0.00,771.56
1778530079.277,7.40,266.59,0.00,0.00,771.56
1778530079.377,12.50,277.46,0.00,0.00,771.56
1778530079.515,11.90,289.54,0.00,0.00,771.56
1778530079.617,13.40,303.02,0.00,0.00,771.56
1778530079.717,12.50,354.81,0.00,0.00,771.56
1778530079.830,12.90,361.22,0.00,0.00,771.56
1778530079.930,11.60,366.26,0.00,0.00,771.56
1778530080.074,12.30,370.48,0.00,0.00,771.56
1778530080.175,13.40,378.11,0.00,0.00,771.56
1778530080.286,36.40,386.53,0.00,0.00,771.56
1778530080.398,60.90,400.60,0.00,0.00,771.56
1778530080.502,13.10,417.00,0.00,0.00,771.56
1778530080.602,43.90,1384.39,0.00,0.00,771.56
1778530080.702,49.40,2551.57,0.00,0.00,771.56
1778530080.803,50.00,3696.69,0.00,0.00,771.56
1778530080.903,50.60,4824.32,0.00,0.00,771.56
1778530081.004,49.40,5950.57,0.00,0.00,771.56
1778530081.104,50.00,7081.96,0.00,0.00,771.56
1778530081.204,50.60,8215.12,0.00,0.00,771.56
1778530081.305,49.40,9346.34,0.00,0.00,771.56
1778530081.405,50.60,10474.44,0.00,0.00,771.56
1778530081.505,49.40,11598.19,0.00,0.00,771.56
1778530081.606,50.00,12725.87,0.00,0.00,771.56
1778530081.706,50.60,13849.21,0.00,0.00,771.56
1778530081.938,25.50,9937.55,0.00,0.00,771.56
1778530082.039,48.10,11028.85,0.00,0.00,771.56
1778530082.139,50.60,12165.48,0.00,0.00,771.56
1778530082.239,50.00,13300.79,0.00,0.00,771.56
1778530082.340,49.40,14434.25,0.00,0.00,771.56
1778530082.477,17.30,13009.48,0.00,0.00,771.56
1778530082.577,1.20,13009.48,0.00,0.00,771.56
1778530082.678,0.00,13009.55,0.00,0.00,771.56
1778530082.778,11.10,13044.06,0.00,0.00,771.56
1778530087.694,12.50,13180.48,0.00,0.00,771.56
1778530087.869,12.40,13183.46,0.00,0.00,771.56
1778530091.631,12.50,13158.79,0.00,0.00,771.56
1778530091.731,1.20,13158.79,0.00,0.00,771.56
1778530091.832,0.00,13160.03,0.00,0.00,771.56
1778530091.932,29.60,13192.22,0.00,0.00,771.56
1778530092.032,24.10,13215.21,0.00,0.00,771.56
1778530092.133,41.80,13220.07,0.00,0.00,771.56
1778530092.233,42.00,13220.07,0.00,0.00,771.56
1778530092.333,39.20,13220.07,0.00,0.00,771.56
1778530092.434,42.00,13220.07,0.00,0.00,771.56
1778530092.534,42.50,13220.07,0.00,0.00,771.56
1778530092.635,39.50,13220.07,0.00,0.00,771.56
1778530092.735,42.50,13220.07,0.00,0.00,771.56
1778530092.835,42.00,13220.07,0.00,0.00,771.56
1778530092.936,40.00,13220.07,0.00,0.00,771.56
1778530093.036,41.20,13220.07,0.00,0.00,771.56
1778530093.136,40.70,13220.07,0.00,0.00,771.56
