timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778165573.830,0.00,424.21,0.00,441.25,874.85
1778165573.931,4.80,426.34,0.00,441.25,874.85
1778165574.033,7.40,434.86,0.00,441.25,874.85
1778165574.133,12.30,450.55,0.00,441.25,874.85
1778165574.238,12.30,464.81,0.00,441.25,874.85
1778165574.385,12.50,468.92,0.00,441.25,874.85
1778165574.486,12.30,476.37,0.00,441.25,874.85
1778165574.597,12.50,509.00,0.00,441.25,874.85
1778165574.699,13.40,514.28,0.00,441.25,874.85
1778165574.801,11.10,521.27,0.00,441.25,874.85
1778165574.944,13.20,524.14,0.00,441.25,874.85
1778165575.047,91.60,541.17,0.00,441.25,874.85
1778165575.149,14.60,551.20,0.00,441.25,874.85
1778165575.249,26.20,944.01,0.00,441.25,874.85
1778165575.350,50.60,1919.85,0.00,441.25,874.85
1778165575.450,50.00,2864.13,0.00,441.25,874.85
1778165575.551,50.00,3802.48,0.00,441.25,874.85
1778165575.651,50.00,4739.81,0.00,441.25,874.85
1778165575.752,50.60,5666.21,0.00,441.25,874.85
1778165575.852,50.00,6604.36,0.00,441.25,874.85
1778165575.953,49.40,7533.89,0.00,441.25,874.85
1778165576.053,50.00,8472.05,0.00,441.25,874.85
1778165576.153,50.00,9403.40,0.00,441.25,874.85
1778165576.254,42.50,6943.09,0.00,441.25,874.85
1778165576.372,12.80,5321.21,0.00,441.25,874.85
1778165576.472,48.10,6221.58,0.00,441.25,874.85
1778165576.573,50.00,7165.12,0.00,441.25,874.85
1778165576.673,49.40,8105.43,0.00,441.25,874.85
1778165576.821,22.00,6857.15,0.00,441.25,874.85
1778165576.921,0.00,6857.15,0.00,441.25,874.85
1778165577.022,11.20,6937.75,0.00,468.56,874.85
1778165577.197,13.40,6033.94,20.00,1634.56,874.85
1778165577.299,11.10,5505.91,20.00,2198.56,874.85
1778165577.401,12.30,4977.87,27.00,2730.56,874.85
1778165577.503,13.40,4449.83,27.00,3262.56,874.85
1778165577.603,12.50,3921.80,41.00,3758.56,874.85
1778165577.705,12.30,3393.78,41.00,4338.56,874.85
1778165577.807,12.30,2865.74,41.00,4870.56,874.85
1778165577.909,12.20,2337.71,41.00,5402.56,874.85
1778165578.010,13.40,1809.69,42.00,5878.56,874.85
1778165578.111,11.30,1281.65,42.00,6458.56,874.85
1778165578.213,13.40,753.62,40.00,6990.56,874.85
1778165578.314,2.50,657.63,40.00,7038.56,874.85
1778165578.417,9.60,691.83,31.00,7038.56,874.85
1778165583.357,12.50,874.56,0.00,7038.56,874.85
1778165583.501,12.80,877.50,0.00,7038.56,874.85
1778165587.428,12.50,851.92,0.00,7038.56,874.85
1778165587.528,2.40,851.92,0.00,7038.56,874.85
1778165587.629,0.00,852.98,0.00,7038.56,874.85
1778165587.730,27.20,860.55,0.00,7038.56,874.85
1778165587.830,24.10,866.17,0.00,7160.56,874.85
1778165587.930,13.60,966.38,0.00,7170.56,874.85
1778165588.031,12.50,1132.27,12.00,7178.56,874.85
1778165588.131,12.50,1263.25,12.00,7194.56,874.85
1778165588.231,12.30,1426.64,2.00,7194.56,874.85
1778165588.332,13.60,1444.20,2.00,7196.56,874.85
1778165588.432,12.50,1444.20,9.00,7198.56,874.85
