timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778165078.185,0.00,424.33,0.00,441.25,372.84
1778165078.285,3.70,426.38,0.00,441.25,372.84
1778165078.387,7.50,434.58,0.00,441.25,372.84
1778165078.488,13.40,450.48,0.00,441.25,372.84
1778165078.592,11.10,464.71,0.00,441.25,372.84
1778165078.741,12.50,468.96,0.00,441.25,372.84
1778165078.843,13.60,476.47,0.00,441.25,372.84
1778165078.951,12.60,509.04,0.00,441.25,372.84
1778165079.051,12.30,514.31,0.00,441.25,372.84
1778165079.153,12.30,521.31,0.00,441.25,372.84
1778165079.297,12.30,524.21,0.00,441.25,372.84
1778165079.400,91.70,541.18,0.00,441.25,372.84
1778165079.502,13.60,551.23,0.00,441.25,372.84
1778165079.602,27.20,948.14,0.00,441.25,372.84
1778165079.703,50.60,1923.32,0.00,441.25,372.84
1778165079.803,50.00,2862.51,0.00,441.25,372.84
1778165079.904,49.40,3802.20,0.00,441.25,372.84
1778165080.004,50.60,4736.88,0.00,441.25,372.84
1778165080.105,50.60,5679.95,0.00,441.25,372.84
1778165080.205,49.40,6628.34,0.00,441.25,372.84
1778165080.306,50.60,7565.04,0.00,441.25,372.84
1778165080.406,50.00,8500.42,0.00,441.25,372.84
1778165080.506,49.40,9437.14,0.00,441.25,372.84
1778165080.607,41.30,6577.14,0.00,441.25,372.84
1778165080.721,12.10,5321.32,0.00,441.25,372.84
1778165080.822,47.50,6220.58,0.00,441.25,372.84
1778165080.922,50.60,7167.08,0.00,441.25,372.84
1778165081.022,50.00,8109.33,0.00,441.25,372.84
1778165081.170,22.00,6857.20,0.00,441.25,372.84
1778165081.271,0.00,6857.20,0.00,441.25,372.84
1778165081.371,12.30,6943.11,0.00,508.56,372.84
1778165081.544,12.30,6033.96,80.00,1634.56,372.84
1778165081.647,12.20,5505.93,80.00,2198.56,372.84
1778165081.748,12.30,4977.89,41.00,2730.56,372.84
1778165081.849,12.30,4449.85,41.00,3262.56,372.84
1778165081.950,12.50,3921.83,43.00,3776.56,372.84
1778165082.051,13.40,3393.80,43.00,4338.56,372.84
1778165082.152,12.30,2865.77,42.00,4870.56,372.84
1778165082.254,12.30,2337.73,42.00,5402.56,372.84
1778165082.354,12.50,1809.71,41.00,5896.56,372.84
1778165082.456,12.30,1281.67,41.00,6458.56,372.84
1778165082.557,13.40,753.64,40.00,6990.56,372.84
1778165082.657,1.30,657.66,40.00,7038.56,372.84
1778165082.767,10.20,689.89,0.00,7038.56,372.84
1778165087.801,12.50,874.64,0.00,7038.56,372.84
1778165087.951,12.40,877.61,0.00,7038.56,372.84
