timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778164959.418,0.00,424.18,0.00,441.25,46.28
1778164959.518,4.80,426.23,0.00,441.25,46.28
1778164959.619,6.30,434.05,0.00,441.25,46.28
1778164959.720,12.30,449.76,0.00,441.25,46.28
1778164959.821,13.60,462.82,0.00,441.25,46.28
1778164959.977,12.00,468.83,0.00,441.25,46.28
1778164960.080,12.30,475.89,0.00,441.25,46.28
1778164960.193,13.20,508.92,0.00,441.25,46.28
1778164960.294,12.20,514.18,0.00,441.25,46.28
1778164960.396,12.20,521.18,0.00,441.25,46.28
1778164960.541,12.30,524.05,0.00,441.25,46.28
1778164960.649,89.80,541.20,0.00,441.25,46.28
1778164960.750,12.30,551.61,0.00,441.25,46.28
1778164960.850,28.40,968.32,0.00,441.25,46.28
1778164960.951,49.40,1943.98,0.00,441.25,46.28
1778164961.051,50.60,2891.05,0.00,441.25,46.28
1778164961.152,50.00,3832.84,0.00,441.25,46.28
1778164961.252,50.00,4773.54,0.00,441.25,46.28
1778164961.353,50.60,5716.50,0.00,441.25,46.28
1778164961.453,50.00,6657.25,0.00,441.25,46.28
1778164961.554,50.00,7595.36,0.00,441.25,46.28
1778164961.654,49.40,8538.23,0.00,441.25,46.28
1778164961.755,50.60,9473.66,0.00,441.25,46.28
1778164961.855,38.70,6145.00,0.00,441.25,46.28
1778164961.967,13.30,5321.12,0.00,441.25,46.28
1778164962.068,48.10,6223.30,0.00,441.25,46.28
1778164962.168,50.00,7171.14,0.00,441.25,46.28
1778164962.268,50.00,8113.86,0.00,441.25,46.28
1778164962.416,21.80,6857.06,0.00,441.25,46.28
1778164962.516,0.00,6857.06,0.00,441.25,46.28
1778164962.617,11.30,6943.45,0.00,508.56,46.28
1778164962.789,13.10,6033.87,54.00,1634.56,46.28
1778164962.892,12.00,5505.84,54.00,2198.56,46.28
1778164962.994,13.40,4977.80,37.00,2730.56,46.28
1778164963.096,11.10,4449.76,37.00,3262.56,46.28
1778164963.198,13.60,3921.74,42.00,3776.56,46.28
1778164963.299,12.20,3393.71,42.00,4338.56,46.28
1778164963.401,12.30,2865.68,41.00,4870.56,46.28
1778164963.503,12.30,2337.64,41.00,5402.56,46.28
1778164963.604,13.40,1809.62,41.00,5896.56,46.28
1778164963.706,12.30,1281.58,41.00,6458.56,46.28
1778164963.808,12.30,753.55,42.00,6990.56,46.28
1778164963.909,2.50,657.57,42.00,7038.56,46.28
1778164964.020,9.10,691.79,18.00,7038.56,46.28
1778164968.910,12.50,874.75,0.00,7038.56,46.28
1778164969.061,13.00,877.76,0.00,7038.56,46.28
1778164972.768,12.50,851.76,0.00,7038.56,46.28
1778164972.868,0.00,851.76,0.00,7038.56,46.28
1778164972.969,2.50,852.82,0.00,7038.56,46.28
1778164973.069,28.40,860.39,0.00,7038.56,46.28
1778164973.170,20.30,869.12,0.00,7160.56,46.28
1778164973.270,0.00,869.30,0.00,7160.56,46.28
1778164973.370,0.00,869.30,0.00,7160.56,46.28
1778164973.471,12.30,964.73,0.00,7170.56,46.28
1778164973.571,12.50,1131.05,2.00,7178.56,46.28
1778164973.671,12.50,1257.92,2.00,7220.56,46.28
1778164973.772,12.30,1420.01,32.00,7220.56,46.28
1778164973.872,13.60,1434.45,32.00,7220.56,46.28
1778164973.972,12.50,1434.45,70.00,7222.56,46.28
1778164974.073,12.50,1434.46,70.00,7222.56,46.28
1778164974.173,12.50,1434.46,75.00,7222.56,46.28
1778164974.273,12.50,1434.46,75.00,7222.56,46.28
1778164974.373,12.30,1434.46,75.00,7222.56,46.28
1778164974.473,12.50,1434.46,75.00,7222.56,46.28
1778164974.574,12.50,1434.46,75.00,7224.56,46.28
1778164974.674,12.50,1434.46,75.00,7224.56,46.28
1778164974.774,12.50,1434.46,75.00,7224.56,46.28
1778164974.874,12.50,1434.46,75.00,7224.56,46.28
1778164974.975,12.50,1434.46,75.00,7224.56,46.28
1778164975.075,12.30,1434.46,75.00,7224.56,46.28
1778164975.175,12.50,1434.46,75.00,7224.56,46.28
1778164975.275,12.50,1434.46,75.00,7224.56,46.28
1778164975.376,12.50,1434.47,76.00,7228.56,46.28
1778164975.476,12.50,1434.47,76.00,7230.56,46.28
1778164975.576,12.50,1434.48,75.00,7230.56,46.28
1778164975.676,12.30,1434.49,75.00,7230.56,46.28
1778164975.777,12.50,1434.49,75.00,7230.56,46.28
1778164975.877,12.50,1434.49,75.00,7230.56,46.28
1778164975.977,12.50,1434.50,75.00,7230.56,46.28
1778164976.077,12.50,1434.50,75.00,7230.56,46.28
1778164976.178,12.50,1434.50,75.00,7230.56,46.28
1778164976.278,12.50,1434.50,75.00,7230.56,46.28
1778164976.378,12.30,1434.52,75.00,7230.56,46.28
1778164976.479,12.50,1434.52,75.00,7230.56,46.28
1778164976.579,12.50,1434.54,76.00,7230.56,46.28
1778164976.679,12.50,1434.54,76.00,7238.56,46.28
1778164976.779,12.50,1434.54,75.00,7240.56,46.28
1778164976.880,12.50,1434.54,75.00,7240.56,46.28
1778164976.980,12.30,1434.54,76.00,7240.56,46.28
1778164977.080,12.50,1434.54,76.00,7240.56,46.28
1778164977.180,13.60,1434.54,75.00,7240.56,46.28
1778164977.281,12.50,1434.54,75.00,7240.56,46.28
1778164977.381,12.50,1434.54,76.00,7240.56,46.28
1778164977.481,12.50,1434.54,76.00,7240.56,46.28
1778164977.581,12.50,1434.54,76.00,7240.56,46.28
1778164977.682,12.30,1434.54,76.00,7240.56,46.28
1778164977.782,12.50,1434.54,76.00,7240.56,46.28
1778164977.882,12.50,1434.54,76.00,7240.56,46.28
1778164977.982,12.50,1434.54,76.00,7240.56,46.28
1778164978.083,12.50,1434.54,76.00,7240.56,46.28
1778164978.183,12.50,1434.54,76.00,7240.56,46.28
1778164978.283,12.50,1434.54,76.00,7240.56,46.28
1778164978.383,12.30,1434.54,76.00,7240.56,46.28
1778164978.484,12.50,1434.54,76.00,7240.56,46.28
1778164978.584,12.50,1434.54,76.00,7240.56,46.28
1778164978.684,12.50,1434.54,76.00,7240.56,46.28
1778164978.784,13.60,1434.54,76.00,7256.56,46.28
1778164978.885,12.50,1434.54,76.00,7260.56,46.28
1778164978.985,12.30,1434.55,75.00,7260.56,46.28
1778164979.085,12.50,1434.55,75.00,7260.56,46.28
1778164979.185,12.50,1434.55,76.00,7260.56,46.28
1778164979.286,12.50,1434.55,76.00,7260.56,46.28
1778164979.386,12.50,1434.55,76.00,7260.56,46.28
1778164979.486,12.50,1434.55,76.00,7260.56,46.28
1778164979.587,12.30,1434.55,76.00,7260.56,46.28
1778164979.687,12.50,1434.55,76.00,7260.56,46.28
1778164979.787,12.50,1434.55,76.00,7260.56,46.28
1778164979.887,12.50,1434.55,76.00,7260.56,46.28
1778164979.988,12.50,1434.55,77.00,7260.56,46.28
1778164980.088,12.50,1434.55,77.00,7260.56,46.28
1778164980.188,12.50,1434.55,77.00,7260.56,46.28
1778164980.288,12.30,1434.55,77.00,7260.56,46.28
1778164980.389,12.50,1434.55,77.00,7260.56,46.28
1778164980.489,12.50,1434.55,77.00,7260.56,46.28
1778164980.589,12.50,1434.55,77.00,7260.56,46.28
1778164980.689,12.50,1434.55,77.00,7260.56,46.28
1778164980.790,12.50,1434.55,77.00,7260.56,46.28
1778164980.890,12.50,1434.55,77.00,7260.56,46.28
1778164980.990,12.30,1434.56,77.00,7260.56,46.28
1778164981.090,13.60,1434.56,77.00,7260.56,46.28
1778164981.191,12.50,1434.56,77.00,7260.56,46.28
1778164981.291,12.50,1434.56,77.00,7260.56,46.28
1778164981.391,12.50,1434.56,77.00,7260.56,46.28
1778164981.492,12.30,1434.56,77.00,7260.56,46.28
1778164981.592,12.50,1434.56,76.00,7260.56,46.28
1778164981.692,12.50,1434.56,76.00,7260.56,46.28
1778164981.792,12.50,1434.56,77.00,7260.56,46.28
1778164981.893,12.50,1434.56,77.00,7260.56,46.28
1778164981.993,12.50,1434.56,77.00,7260.56,46.28
1778164982.093,12.30,1434.56,77.00,7260.56,46.28
1778164982.193,12.50,1434.57,77.00,7260.56,46.28
1778164982.294,12.50,1434.57,77.00,7260.56,46.28
1778164982.394,12.50,1434.57,76.00,7260.56,46.28
1778164982.494,12.50,1434.57,76.00,7260.56,46.28
1778164982.594,12.50,1434.57,77.00,7260.56,46.28
1778164982.695,12.50,1434.57,77.00,7260.56,46.28
1778164982.795,12.50,1434.57,77.00,7260.56,46.28
1778164982.895,12.30,1434.57,77.00,7260.56,46.28
1778164982.995,12.50,1434.57,77.00,7260.56,46.28
1778164983.096,12.50,1434.57,77.00,7302.56,46.28
1778164983.196,12.50,1434.57,77.00,7302.56,46.28
1778164983.296,12.50,1434.57,77.00,7302.56,46.28
1778164983.396,13.60,1434.57,75.00,7302.56,46.28
1778164983.497,12.30,1434.57,75.00,7302.56,46.28
1778164983.597,12.50,1434.57,77.00,7302.56,46.28
1778164983.697,12.50,1434.57,77.00,7302.56,46.28
1778164983.797,12.50,1434.57,78.00,7302.56,46.28
1778164983.898,12.50,1434.57,78.00,7302.56,46.28
1778164983.998,12.50,1434.57,78.00,7302.56,46.28
1778164984.098,12.50,1434.57,78.00,7302.56,46.28
1778164984.198,12.30,1434.57,78.00,7302.56,46.28
1778164984.298,12.50,1434.57,78.00,7302.56,46.28
1778164984.399,12.50,1434.57,79.00,7302.56,46.28
1778164984.499,12.50,1434.57,79.00,7302.56,46.28
1778164984.599,12.50,1434.57,79.00,7302.56,46.28
1778164984.700,12.50,1434.57,79.00,7302.56,46.28
1778164984.800,12.50,1434.57,79.00,7302.56,46.28
1778164984.900,12.30,1434.57,79.00,7302.56,46.28
1778164985.000,12.50,1434.57,79.00,7302.56,46.28
1778164985.101,12.50,1434.57,79.00,7302.56,46.28
1778164985.201,12.50,1434.57,78.00,7302.56,46.28
1778164985.301,12.50,1434.57,78.00,7302.56,46.28
1778164985.401,12.50,1434.57,79.00,7302.56,46.28
1778164985.501,12.50,1434.57,79.00,7302.56,46.28
1778164985.602,12.30,1434.57,79.00,7302.56,46.28
1778164985.702,12.50,1434.57,79.00,7302.56,46.28
1778164985.803,12.50,1434.57,79.00,7302.56,46.28
1778164985.903,12.50,1434.57,79.00,7302.56,46.28
1778164986.003,12.50,1434.57,79.00,7302.56,46.28
1778164986.103,12.30,1434.57,79.00,7302.56,46.28
