timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778369059.620,0.00,260.09,0.00,0.00,8173.12
1778369059.721,2.50,262.04,0.00,0.00,8173.12
1778369059.821,8.60,266.50,0.00,0.00,8173.12
1778369059.925,11.30,282.75,0.00,0.00,8173.12
1778369060.025,12.20,289.56,0.00,0.00,8173.12
1778369060.126,13.40,303.93,0.00,0.00,8173.12
1778369060.228,12.30,355.99,0.00,0.00,8173.12
1778369060.329,12.50,362.41,0.00,0.00,8173.12
1778369060.429,12.30,368.31,0.00,0.00,8173.12
1778369060.535,12.90,370.34,0.00,0.00,8173.12
1778369060.643,12.00,378.23,0.00,0.00,8173.12
1778369060.745,51.20,389.89,0.00,0.00,8173.12
1778369060.849,58.30,405.18,0.00,0.00,8173.12
1778369060.950,21.30,704.65,0.00,0.00,8173.12
1778369061.050,50.00,1877.52,0.00,0.00,8173.12
1778369061.151,50.60,3057.74,0.00,0.00,8173.12
1778369061.251,50.60,4196.21,0.00,0.00,8173.12
1778369061.351,49.40,5340.61,0.00,0.00,8173.12
1778369061.452,50.60,6483.05,0.00,0.00,8173.12
1778369061.552,50.00,7604.27,0.00,0.00,8173.12
1778369061.652,50.00,8732.26,0.00,0.00,8173.12
1778369061.753,50.00,9876.58,0.00,0.00,8173.12
1778369061.853,49.40,11019.51,0.00,0.00,8173.12
1778369061.953,50.00,12174.22,0.00,0.00,8173.12
1778369062.054,50.60,13327.06,0.00,0.00,8173.12
1778369062.154,49.40,14476.98,0.00,0.00,8173.12
1778369062.313,18.90,9937.52,0.00,0.00,8173.12
1778369062.413,48.80,11061.00,0.00,0.00,8173.12
1778369062.513,50.00,12218.45,0.00,0.00,8173.12
1778369062.614,50.00,13377.82,0.00,0.00,8173.12
1778369062.714,50.00,14534.30,0.00,0.00,8173.12
1778369062.835,14.60,13009.40,0.00,0.00,8173.12
1778369062.935,0.00,13009.40,0.00,0.00,8173.12
1778369063.035,0.00,13009.47,0.00,0.00,8173.12
1778369063.172,11.10,13057.89,0.00,0.00,8173.12
1778369066.789,12.50,13179.29,0.00,0.00,8173.12
1778369069.449,12.70,13172.38,0.00,0.00,8173.12
1778369069.550,12.10,13161.48,0.00,0.00,8173.12
1778369069.650,0.00,13161.48,0.00,0.00,8173.12
1778369069.751,19.80,13194.91,0.00,0.00,8173.12
1778369069.851,30.90,13207.81,0.00,0.00,8173.12
1778369069.951,42.50,13212.59,0.00,0.00,8173.12
1778369070.052,42.50,13212.59,0.00,0.00,8173.12
1778369070.152,42.50,13212.59,0.00,0.00,8173.12
1778369070.252,42.50,13212.59,0.00,0.00,8173.12
1778369070.353,43.20,13212.59,0.00,0.00,8173.12
1778369070.453,42.50,13212.59,0.00,0.00,8173.12
1778369070.553,41.20,13212.59,0.00,0.00,8173.12
1778369070.654,42.50,13212.59,0.00,0.00,8173.12
1778369070.754,42.50,13212.59,0.00,0.00,8173.12
1778369070.855,42.50,13212.59,0.00,0.00,8173.12
1778369070.955,42.70,13212.59,0.00,0.00,8173.12
1778369071.055,41.80,13212.59,0.00,0.00,8173.12
1778369071.156,42.50,13212.59,0.00,0.00,8173.12
