timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778368618.851,0.00,259.95,0.00,0.00,313.53
1778368618.952,2.50,261.88,0.00,0.00,313.53
1778368619.052,8.60,266.32,0.00,0.00,313.53
1778368619.156,12.50,282.58,0.00,0.00,313.53
1778368619.256,12.00,289.54,0.00,0.00,313.53
1778368619.356,12.50,303.86,0.00,0.00,313.53
1778368619.458,13.40,355.82,0.00,0.00,313.53
1778368619.558,12.50,362.61,0.00,0.00,313.53
1778368619.659,12.30,368.65,0.00,0.00,313.53
1778368619.760,12.50,370.37,0.00,0.00,313.53
1778368619.868,11.60,378.10,0.00,0.00,313.53
1778368619.970,53.10,389.75,0.00,0.00,313.53
1778368620.074,58.30,405.08,0.00,0.00,313.53
1778368620.175,21.20,707.14,0.00,0.00,313.53
1778368620.275,50.00,1878.54,0.00,0.00,313.53
1778368620.376,50.60,3050.93,0.00,0.00,313.53
1778368620.476,48.70,4114.66,0.00,0.00,313.53
1778368620.576,50.60,5242.45,0.00,0.00,313.53
1778368620.677,50.00,6394.46,0.00,0.00,313.53
1778368620.777,50.00,7543.66,0.00,0.00,313.53
1778368620.877,50.00,8695.07,0.00,0.00,313.53
1778368620.978,49.40,9846.82,0.00,0.00,313.53
1778368621.078,51.30,10983.82,0.00,0.00,313.53
1778368621.179,50.00,12137.96,0.00,0.00,313.53
1778368621.279,50.60,13293.80,0.00,0.00,313.53
1778368621.379,50.00,14450.42,0.00,0.00,313.53
1778368621.542,18.90,9939.54,0.00,0.00,313.53
1778368621.642,48.20,11102.45,0.00,0.00,313.53
1778368621.743,50.60,12266.04,0.00,0.00,313.53
1778368621.843,49.40,13430.05,0.00,0.00,313.53
1778368622.055,31.20,13009.35,0.00,0.00,313.53
1778368622.155,0.00,13009.35,0.00,0.00,313.53
1778368622.256,0.00,13009.42,0.00,0.00,313.53
1778368622.371,7.60,13043.64,0.00,0.00,313.53
1778368625.938,12.50,13178.78,0.00,0.00,313.53
1778368628.585,12.60,13182.66,0.00,0.00,313.53
1778368628.686,12.00,13157.81,0.00,0.00,313.53
1778368628.786,3.80,13159.07,0.00,0.00,313.53
1778368628.886,27.50,13201.88,0.00,0.00,313.53
1778368628.987,32.50,13219.03,0.00,0.00,313.53
1778368629.087,42.50,13219.10,0.00,0.00,313.53
1778368629.187,42.00,13219.10,0.00,0.00,313.53
1778368629.288,41.20,13219.10,0.00,0.00,313.53
1778368629.388,41.20,13219.10,0.00,0.00,313.53
1778368629.489,41.20,13219.10,0.00,0.00,313.53
1778368629.589,43.20,13219.10,0.00,0.00,313.53
1778368629.689,42.50,13219.10,0.00,0.00,313.53
1778368629.790,41.20,13219.10,0.00,0.00,313.53
1778368629.890,42.50,13219.10,0.00,0.00,313.53
1778368629.990,42.00,13219.10,0.00,0.00,313.53
1778368630.091,42.50,13219.10,0.00,0.00,313.53
1778368630.191,42.00,13219.10,0.00,0.00,313.53
1778368630.291,42.50,13219.10,0.00,0.00,313.53
1778368630.392,41.20,13219.10,0.00,0.00,313.53
1778368630.492,42.00,13219.10,0.00,0.00,313.53
1778368630.593,41.20,13219.10,0.00,0.00,313.53
1778368630.693,41.80,13219.10,0.00,0.00,313.53
1778368630.793,42.00,13220.38,0.00,0.00,313.53
1778368630.894,42.50,13220.38,0.00,0.00,313.53
1778368630.994,42.00,13220.38,0.00,0.00,313.53
1778368631.094,42.50,13220.38,0.00,0.00,313.53
1778368631.195,42.50,13220.38,0.00,0.00,313.53
1778368631.295,42.00,13222.03,0.00,0.00,313.53
1778368631.396,42.50,13225.33,0.00,0.00,313.53
1778368631.496,42.00,13225.33,0.00,0.00,313.53
1778368631.596,41.30,13228.64,0.00,0.00,313.53
1778368631.697,41.20,13233.60,0.00,0.00,313.53
1778368631.797,41.20,13236.91,0.00,0.00,313.53
1778368631.897,42.50,13238.56,0.00,0.00,313.53
1778368631.998,42.00,13240.21,0.00,0.00,313.53
