timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778366365.349,0.00,424.79,0.00,611.38,751.65
1778366365.450,2.50,426.87,0.00,611.38,751.65
1778366365.553,8.40,436.65,0.00,611.38,751.65
1778366365.654,12.50,453.25,0.00,611.38,751.65
1778366365.755,12.30,465.51,0.00,611.38,751.65
1778366365.863,12.60,469.63,0.00,611.38,751.65
1778366365.963,12.50,477.85,0.00,611.38,751.65
1778366366.064,12.30,510.24,0.00,611.38,751.65
1778366366.165,12.50,516.77,0.00,611.38,751.65
1778366366.267,13.40,522.98,0.00,611.38,751.65
1778366366.376,11.60,524.81,0.00,611.38,751.65
1778366366.477,93.90,542.14,0.00,611.38,751.65
1778366366.577,18.50,559.66,0.00,611.38,751.65
1778366366.678,35.40,1208.82,0.00,611.38,751.65
1778366366.778,50.60,2234.28,0.00,611.38,751.65
1778366366.879,50.00,3236.42,0.00,611.38,751.65
1778366366.979,50.60,4238.86,0.00,611.38,751.65
1778366367.080,50.00,5240.48,0.00,611.38,751.65
1778366367.180,49.40,6248.79,0.00,611.38,751.65
1778366367.281,50.00,7245.59,0.00,611.38,751.65
1778366367.381,50.60,8242.66,0.00,611.38,751.65
1778366367.482,49.40,9241.92,0.00,611.38,751.65
1778366367.582,46.90,7438.00,0.00,611.38,751.65
1778366367.695,12.40,5322.18,0.00,611.38,751.65
1778366367.795,48.10,6291.75,0.00,611.38,751.65
1778366367.896,50.00,7301.65,0.00,611.38,751.65
1778366367.996,50.00,8318.25,0.00,611.38,751.65
1778366368.115,16.10,6858.06,0.00,611.38,751.65
1778366368.215,0.00,6858.06,0.00,611.38,751.65
1778366368.316,11.30,6943.93,0.00,1042.69,751.65
1778366368.453,12.70,6033.89,0.00,1980.69,751.65
1778366368.553,12.50,5409.84,71.00,2648.69,751.65
1778366368.653,12.50,4737.81,71.00,3324.69,751.65
1778366368.754,12.50,4083.76,50.00,3960.69,751.65
1778366368.857,13.10,3393.73,50.00,4684.69,751.65
1778366368.958,11.40,2739.68,53.00,5300.69,751.65
1778366369.058,13.60,2097.65,53.00,5976.69,751.65
1778366369.159,12.30,1407.61,53.00,6642.69,751.65
1778366369.260,12.50,753.57,53.00,7336.69,751.65
1778366369.360,1.20,657.58,51.00,7384.69,751.65
1778366369.492,11.10,704.31,0.00,7384.69,751.65
1778366372.930,12.50,874.09,0.00,7384.69,751.65
1778366375.591,12.70,877.10,0.00,7384.69,751.65
1778366375.691,12.00,853.10,0.00,7384.69,751.65
1778366375.792,1.20,853.10,0.00,7384.69,751.65
1778366375.893,22.50,861.76,0.00,7384.69,751.65
1778366375.993,23.70,874.46,0.00,7532.69,751.65
1778366376.093,13.60,1001.66,13.00,7542.69,751.65
1778366376.194,12.30,1175.61,13.00,7554.69,751.65
1778366376.294,12.50,1315.21,2.00,7566.69,751.65
1778366376.395,12.50,1428.73,2.00,7568.69,751.65
1778366376.495,12.50,1428.73,17.00,7568.69,751.65
1778366376.596,12.30,1428.73,17.00,7568.69,751.65
1778366376.696,13.60,1428.74,59.00,7568.69,751.65
1778366376.796,11.40,1437.21,59.00,7570.69,751.65
1778366376.897,12.50,1437.21,56.00,7570.69,751.65
1778366376.997,12.30,1437.21,56.00,7570.69,751.65
1778366377.097,12.50,1437.22,59.00,7570.69,751.65
1778366377.198,12.50,1437.23,59.00,7574.69,751.65
1778366377.298,12.50,1437.23,58.00,7574.69,751.65
1778366377.398,12.50,1437.23,58.00,7574.69,751.65
1778366377.499,12.30,1437.23,59.00,7574.69,751.65
1778366377.599,13.60,1437.23,59.00,7574.69,751.65
1778366377.699,12.50,1437.23,59.00,7576.69,751.65
1778366377.800,12.50,1437.23,59.00,7576.69,751.65
1778366377.900,13.60,1437.23,59.00,7576.69,751.65
1778366378.000,12.30,1437.23,59.00,7576.69,751.65
1778366378.101,12.50,1437.23,59.00,7578.69,751.65
1778366378.201,12.50,1437.23,59.00,7578.69,751.65
1778366378.301,12.50,1437.23,59.00,7578.69,751.65
1778366378.402,12.50,1437.23,59.00,7580.69,751.65
1778366378.502,12.30,1437.24,59.00,7582.69,751.65
1778366378.602,12.50,1437.24,59.00,7582.69,751.65
1778366378.702,12.50,1437.24,59.00,7582.69,751.65
1778366378.803,12.50,1437.24,59.00,7582.69,751.65
1778366378.903,12.50,1437.24,59.00,7582.69,751.65
1778366379.003,12.50,1437.24,59.00,7582.69,751.65
1778366379.103,12.50,1437.24,59.00,7582.69,751.65
1778366379.204,12.30,1437.24,59.00,7584.69,751.65
1778366379.304,12.50,1437.25,59.00,7584.69,751.65
1778366379.404,12.50,1437.25,59.00,7584.69,751.65
1778366379.504,12.50,1437.27,59.00,7592.69,751.65
1778366379.605,12.50,1437.27,59.00,7592.69,751.65
1778366379.705,12.50,1437.27,59.00,7592.69,751.65
1778366379.806,12.30,1437.27,59.00,7592.69,751.65
1778366379.906,12.50,1437.27,58.00,7592.69,751.65
1778366380.006,12.50,1437.27,58.00,7592.69,751.65
1778366380.106,12.50,1437.27,59.00,7592.69,751.65
1778366380.207,12.50,1437.27,59.00,7592.69,751.65
