timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778366025.951,0.00,424.59,0.00,611.38,320.06
1778366026.051,3.70,426.66,0.00,611.38,320.06
1778366026.153,7.40,435.25,0.00,611.38,320.06
1778366026.254,12.50,452.34,0.00,611.38,320.06
1778366026.354,13.40,465.27,0.00,611.38,320.06
1778366026.468,11.20,469.24,0.00,611.38,320.06
1778366026.570,13.30,477.62,0.00,611.38,320.06
1778366026.672,12.30,510.02,0.00,611.38,320.06
1778366026.773,12.50,516.25,0.00,611.38,320.06
1778366026.874,13.40,522.60,0.00,611.38,320.06
1778366026.984,11.60,524.48,0.00,611.38,320.06
1778366027.085,92.70,541.50,0.00,611.38,320.06
1778366027.186,19.80,559.07,0.00,611.38,320.06
1778366027.286,35.00,1181.44,0.00,611.38,320.06
1778366027.387,50.00,2196.70,0.00,611.38,320.06
1778366027.487,50.00,3172.23,0.00,611.38,320.06
1778366027.587,50.00,4171.32,0.00,611.38,320.06
1778366027.688,50.00,5171.77,0.00,611.38,320.06
1778366027.788,50.00,6179.68,0.00,611.38,320.06
1778366027.889,50.00,7179.82,0.00,611.38,320.06
1778366027.989,50.60,8179.14,0.00,611.38,320.06
1778366028.090,50.00,9178.29,0.00,611.38,320.06
1778366028.190,47.50,8273.70,0.00,611.38,320.06
1778366028.308,12.80,5321.88,0.00,611.38,320.06
1778366028.409,49.40,6295.57,0.00,611.38,320.06
1778366028.509,49.40,7306.87,0.00,611.38,320.06
1778366028.610,50.00,8321.45,0.00,611.38,320.06
1778366028.725,16.50,6857.75,0.00,611.38,320.06
1778366028.825,0.00,6857.75,0.00,611.38,320.06
1778366028.925,12.20,6946.20,0.00,1042.69,320.06
1778366029.060,12.10,6033.61,0.00,1980.69,320.06
1778366029.161,12.50,5409.57,48.00,2648.69,320.06
1778366029.261,12.50,4737.53,48.00,3324.69,320.06
1778366029.362,12.30,4083.48,53.00,3960.69,320.06
1778366029.462,13.60,3441.45,53.00,4636.69,320.06
1778366029.563,11.40,2769.41,53.00,5282.69,320.06
1778366029.664,12.30,2097.37,53.00,5976.69,320.06
1778366029.766,13.30,1425.33,51.00,6622.69,320.06
1778366029.867,12.50,753.29,51.00,7336.69,320.06
1778366029.967,1.30,657.31,53.00,7384.69,320.06
1778366030.110,10.10,704.95,0.00,7384.69,320.06
1778366033.570,12.50,874.46,0.00,7384.69,320.06
1778366036.181,12.50,853.78,0.00,7384.69,320.06
1778366036.281,1.10,853.78,0.00,7384.69,320.06
1778366036.382,0.00,853.78,0.00,7384.69,320.06
1778366036.482,9.90,854.88,0.00,7384.69,320.06
1778366036.582,25.00,890.17,0.00,7384.69,320.06
1778366036.683,12.30,871.28,12.00,7532.69,320.06
1778366036.783,0.00,871.34,12.00,7532.69,320.06
1778366036.884,0.00,871.39,0.00,7532.69,320.06
1778366036.984,0.00,871.46,0.00,7532.69,320.06
1778366037.084,0.00,871.52,0.00,7532.69,320.06
1778366037.185,0.00,871.58,0.00,7532.69,320.06
1778366037.285,0.00,871.79,0.00,7532.69,320.06
1778366037.385,0.00,871.79,0.00,7532.69,320.06
1778366037.486,0.00,872.33,0.00,7532.69,320.06
1778366037.586,5.00,908.03,0.00,7532.69,320.06
1778366037.687,13.60,1056.87,2.00,7544.69,320.06
1778366037.787,7.50,1170.35,2.00,7554.69,320.06
1778366037.887,0.00,1170.35,0.00,7554.69,320.06
1778366037.988,0.00,1170.45,0.00,7554.69,320.06
1778366038.088,0.00,1170.51,0.00,7554.69,320.06
1778366038.189,0.00,1171.29,0.00,7554.69,320.06
1778366038.289,12.50,1300.32,13.00,7568.69,320.06
1778366038.389,12.30,1432.82,13.00,7572.69,320.06
1778366038.490,12.50,1432.83,53.00,7572.69,320.06
1778366038.590,12.50,1441.30,53.00,7572.69,320.06
1778366038.690,12.50,1441.32,56.00,7572.69,320.06
1778366038.790,12.50,1441.32,56.00,7572.69,320.06
1778366038.891,12.50,1441.33,59.00,7572.69,320.06
1778366038.991,12.30,1441.33,59.00,7574.69,320.06
1778366039.091,12.50,1441.34,58.00,7574.69,320.06
1778366039.191,12.50,1441.34,58.00,7574.69,320.06
1778366039.292,12.50,1441.36,58.00,7574.69,320.06
1778366039.392,12.50,1441.36,58.00,7574.69,320.06
1778366039.492,12.50,1441.36,58.00,7574.69,320.06
1778366039.592,12.30,1441.36,58.00,7576.69,320.06
1778366039.693,12.50,1441.36,58.00,7576.69,320.06
1778366039.793,12.50,1441.36,58.00,7576.69,320.06
1778366039.893,12.50,1441.36,58.00,7576.69,320.06
1778366039.994,12.50,1441.36,58.00,7576.69,320.06
1778366040.094,12.50,1441.36,59.00,7576.69,320.06
1778366040.194,12.30,1441.36,59.00,7576.69,320.06
1778366040.294,12.50,1441.36,59.00,7582.69,320.06
1778366040.395,12.50,1441.36,59.00,7582.69,320.06
1778366040.495,12.50,1441.36,59.00,7582.69,320.06
1778366040.595,12.50,1441.36,59.00,7584.69,320.06
1778366040.696,12.50,1441.36,59.00,7584.69,320.06
1778366040.796,12.50,1441.36,59.00,7584.69,320.06
1778366040.896,12.30,1441.36,59.00,7584.69,320.06
1778366040.996,12.50,1441.36,59.00,7584.69,320.06
1778366041.097,12.50,1441.36,59.00,7584.69,320.06
1778366041.197,12.50,1441.36,59.00,7584.69,320.06
1778366041.297,12.50,1441.36,58.00,7584.69,320.06
1778366041.398,13.40,1441.37,58.00,7592.69,320.06
1778366041.498,12.50,1441.37,58.00,7592.69,320.06
1778366041.598,12.50,1441.37,58.00,7594.69,320.06
1778366041.698,12.50,1441.37,58.00,7594.69,320.06
1778366041.799,13.60,1441.37,58.00,7594.69,320.06
1778366041.899,12.50,1441.37,58.00,7594.69,320.06
1778366041.999,12.30,1441.37,58.00,7594.69,320.06
1778366042.099,12.50,1441.37,59.00,7594.69,320.06
1778366042.200,12.50,1441.37,59.00,7594.69,320.06
1778366042.300,12.50,1441.37,59.00,7594.69,320.06
1778366042.400,12.50,1441.37,59.00,7594.69,320.06
1778366042.500,12.50,1441.37,59.00,7594.69,320.06
1778366042.601,12.50,1441.37,59.00,7594.69,320.06
1778366042.701,12.30,1441.37,59.00,7594.69,320.06
1778366042.801,12.50,1441.37,59.00,7594.69,320.06
1778366042.901,12.50,1441.37,59.00,7594.69,320.06
1778366043.002,12.50,1441.37,59.00,7594.69,320.06
1778366043.102,12.50,1441.37,59.00,7594.69,320.06
1778366043.202,12.50,1441.39,59.00,7630.69,320.06
1778366043.303,12.30,1441.39,58.00,7630.69,320.06
1778366043.403,12.50,1441.41,58.00,7632.69,320.06
1778366043.503,12.50,1441.41,58.00,7632.69,320.06
1778366043.603,12.50,1441.41,58.00,7632.69,320.06
1778366043.704,12.50,1441.41,58.00,7632.69,320.06
1778366043.804,12.50,1441.41,58.00,7632.69,320.06
1778366043.904,12.30,1441.41,58.00,7632.69,320.06
1778366044.004,12.50,1441.41,58.00,7632.69,320.06
1778366044.105,12.50,1441.41,58.00,7632.69,320.06
1778366044.205,12.50,1441.41,58.00,7632.69,320.06
1778366044.305,12.50,1441.41,58.00,7632.69,320.06
1778366044.405,12.50,1441.42,58.00,7632.69,320.06
1778366044.506,12.50,1441.42,58.00,7632.69,320.06
1778366044.606,12.30,1441.42,58.00,7632.69,320.06
1778366044.706,12.50,1441.42,58.00,7632.69,320.06
1778366044.806,12.50,1441.42,58.00,7632.69,320.06
1778366044.907,12.50,1441.42,58.00,7632.69,320.06
1778366045.007,12.50,1441.42,58.00,7632.69,320.06
1778366045.107,12.50,1441.42,58.00,7632.69,320.06
1778366045.208,12.30,1441.42,58.00,7632.69,320.06
1778366045.308,12.50,1441.42,59.00,7632.69,320.06
1778366045.408,12.50,1441.42,59.00,7632.69,320.06
1778366045.508,12.50,1441.42,59.00,7632.69,320.06
1778366045.609,12.50,1441.42,59.00,7632.69,320.06
1778366045.709,12.50,1441.43,59.00,7632.69,320.06
1778366045.809,12.30,1441.43,59.00,7632.69,320.06
1778366045.909,12.50,1441.43,59.00,7632.69,320.06
1778366046.010,13.60,1441.43,59.00,7632.69,320.06
1778366046.110,12.50,1441.43,60.00,7632.69,320.06
1778366046.210,12.50,1441.43,60.00,7632.69,320.06
1778366046.311,12.50,1441.43,60.00,7632.69,320.06
1778366046.411,12.30,1441.43,60.00,7632.69,320.06
1778366046.511,12.50,1441.43,59.00,7632.69,320.06
1778366046.611,12.50,1441.43,59.00,7632.69,320.06
1778366046.712,12.50,1441.43,60.00,7632.69,320.06
1778366046.812,12.50,1441.43,60.00,7634.69,320.06
1778366046.912,12.50,1441.43,59.00,7674.69,320.06
