timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778365915.909,0.00,424.62,0.00,611.38,39.41
1778365916.009,3.60,426.69,0.00,611.38,39.41
1778365916.110,6.30,434.83,0.00,611.38,39.41
1778365916.211,13.40,451.91,0.00,611.38,39.41
1778365916.311,12.50,465.29,0.00,611.38,39.41
1778365916.434,12.40,469.28,0.00,611.38,39.41
1778365916.536,12.20,477.68,0.00,611.38,39.41
1778365916.638,12.20,510.07,0.00,611.38,39.41
1778365916.739,13.60,516.50,0.00,611.38,39.41
1778365916.840,11.30,522.60,0.00,611.38,39.41
1778365916.949,13.60,524.52,0.00,611.38,39.41
1778365917.051,92.70,541.58,0.00,611.38,39.41
1778365917.152,18.70,559.28,0.00,611.38,39.41
1778365917.253,35.00,1194.32,0.00,611.38,39.41
1778365917.353,50.60,2218.54,0.00,611.38,39.41
1778365917.454,50.00,3213.12,0.00,611.38,39.41
1778365917.554,50.60,4213.22,0.00,611.38,39.41
1778365917.654,48.80,5210.14,0.00,611.38,39.41
1778365917.755,50.00,6217.39,0.00,611.38,39.41
1778365917.855,50.60,7210.67,0.00,611.38,39.41
1778365917.956,49.40,8207.54,0.00,611.38,39.41
1778365918.056,50.60,9202.69,0.00,611.38,39.41
1778365918.157,47.50,7975.80,0.00,611.38,39.41
1778365918.274,12.80,5321.91,0.00,611.38,39.41
1778365918.374,48.80,6288.14,0.00,611.38,39.41
1778365918.474,50.00,7295.14,0.00,611.38,39.41
1778365918.575,50.60,8307.31,0.00,611.38,39.41
1778365918.693,16.80,6857.85,0.00,611.38,39.41
1778365918.793,0.00,6857.85,0.00,611.38,39.41
1778365918.894,11.30,6948.84,0.00,1042.69,39.41
1778365919.026,12.40,6033.71,0.00,1980.69,39.41
1778365919.126,13.40,5409.67,67.00,2648.69,39.41
1778365919.227,11.40,4737.63,67.00,3324.69,39.41
1778365919.327,13.60,4083.58,51.00,3960.69,39.41
1778365919.430,12.20,3393.55,53.00,4684.69,39.41
1778365919.531,12.50,2739.50,53.00,5300.69,39.41
1778365919.634,13.10,2049.47,52.00,6024.69,39.41
1778365919.735,11.40,1395.43,52.00,6660.69,39.41
1778365919.838,13.30,705.39,54.00,7384.69,39.41
1778365919.938,0.00,657.42,54.00,7384.69,39.41
1778365923.596,12.40,707.62,0.00,7384.69,39.41
1778365926.249,12.50,853.78,0.00,7384.69,39.41
1778365926.349,12.00,852.79,0.00,7384.69,39.41
1778365926.450,0.00,852.79,0.00,7384.69,39.41
1778365926.550,29.60,861.45,0.00,7384.69,39.41
1778365926.651,20.00,876.86,1.00,7532.69,39.41
1778365926.751,12.30,1029.22,1.00,7544.69,39.41
1778365926.851,12.50,1181.71,2.00,7586.69,39.41
1778365926.952,11.40,1347.22,2.00,7592.69,39.41
1778365927.052,13.60,1430.33,3.00,7594.69,39.41
1778365927.152,12.30,1430.33,3.00,7594.69,39.41
1778365927.253,12.50,1430.34,58.00,7594.69,39.41
1778365927.353,12.50,1430.34,58.00,7594.69,39.41
1778365927.453,12.50,1430.34,58.00,7594.69,39.41
1778365927.554,12.50,1430.34,58.00,7594.69,39.41
1778365927.654,12.50,1430.34,58.00,7594.69,39.41
1778365927.754,12.30,1430.34,58.00,7596.69,39.41
1778365927.854,12.50,1430.34,59.00,7596.69,39.41
1778365927.955,12.50,1430.34,59.00,7596.69,39.41
1778365928.055,12.50,1430.34,58.00,7596.69,39.41
1778365928.155,12.50,1430.35,58.00,7596.69,39.41
1778365928.256,12.50,1430.35,58.00,7596.69,39.41
1778365928.356,12.30,1430.35,58.00,7598.69,39.41
1778365928.456,12.50,1430.36,58.00,7602.69,39.41
1778365928.557,12.50,1430.36,58.00,7602.69,39.41
1778365928.657,13.60,1430.36,59.00,7602.69,39.41
1778365928.757,12.50,1430.36,59.00,7602.69,39.41
1778365928.857,12.30,1430.36,58.00,7602.69,39.41
1778365928.958,12.50,1430.36,58.00,7602.69,39.41
1778365929.058,12.50,1430.36,58.00,7602.69,39.41
1778365929.158,12.50,1430.36,58.00,7602.69,39.41
1778365929.258,12.50,1430.36,59.00,7604.69,39.41
1778365929.359,12.50,1430.36,59.00,7604.69,39.41
1778365929.459,12.30,1430.36,58.00,7604.69,39.41
1778365929.559,12.50,1430.39,58.00,7612.69,39.41
1778365929.659,12.50,1430.40,58.00,7612.69,39.41
1778365929.760,12.50,1430.41,58.00,7614.69,39.41
1778365929.860,12.50,1430.42,59.00,7614.69,39.41
1778365929.960,12.50,1430.42,59.00,7614.69,39.41
1778365930.060,12.50,1430.42,58.00,7614.69,39.41
1778365930.161,12.30,1430.42,58.00,7614.69,39.41
1778365930.261,12.50,1430.42,58.00,7614.69,39.41
1778365930.361,12.50,1430.42,58.00,7614.69,39.41
1778365930.462,12.50,1430.42,58.00,7614.69,39.41
1778365930.562,12.50,1430.42,58.00,7614.69,39.41
1778365930.662,12.50,1430.42,59.00,7614.69,39.41
1778365930.762,12.30,1430.42,59.00,7614.69,39.41
1778365930.863,12.50,1430.42,59.00,7614.69,39.41
1778365930.963,12.50,1430.42,59.00,7614.69,39.41
1778365931.063,12.50,1430.42,59.00,7614.69,39.41
1778365931.163,12.50,1430.42,59.00,7614.69,39.41
1778365931.264,12.50,1430.42,58.00,7614.69,39.41
1778365931.364,12.30,1430.42,58.00,7628.69,39.41
1778365931.464,12.50,1430.42,57.00,7630.69,39.41
1778365931.564,12.50,1430.43,57.00,7632.69,39.41
1778365931.665,12.50,1430.43,58.00,7632.69,39.41
1778365931.765,12.50,1430.43,58.00,7632.69,39.41
1778365931.865,12.50,1430.43,58.00,7632.69,39.41
1778365931.966,12.50,1430.43,58.00,7632.69,39.41
1778365932.066,12.30,1430.44,58.00,7632.69,39.41
1778365932.166,12.50,1430.44,58.00,7632.69,39.41
1778365932.267,12.50,1430.44,58.00,7632.69,39.41
1778365932.367,12.50,1430.44,58.00,7632.69,39.41
1778365932.467,12.50,1430.45,59.00,7632.69,39.41
1778365932.567,12.30,1430.45,59.00,7632.69,39.41
1778365932.668,12.50,1430.45,58.00,7632.69,39.41
1778365932.768,13.60,1430.45,58.00,7632.69,39.41
1778365932.868,12.50,1430.45,59.00,7632.69,39.41
1778365932.968,12.50,1430.45,59.00,7632.69,39.41
1778365933.069,13.60,1430.45,58.00,7632.69,39.41
1778365933.169,12.30,1430.45,58.00,7632.69,39.41
1778365933.269,12.50,1430.45,58.00,7632.69,39.41
1778365933.369,12.50,1430.45,58.00,7632.69,39.41
1778365933.470,12.50,1430.45,59.00,7632.69,39.41
1778365933.570,12.50,1430.45,59.00,7632.69,39.41
1778365933.670,12.50,1430.45,59.00,7632.69,39.41
1778365933.771,12.50,1430.45,59.00,7632.69,39.41
1778365933.871,12.30,1430.45,59.00,7632.69,39.41
1778365933.971,12.50,1430.45,59.00,7632.69,39.41
1778365934.071,12.50,1430.45,58.00,7632.69,39.41
1778365934.172,12.50,1430.45,58.00,7632.69,39.41
1778365934.272,12.50,1430.45,58.00,7632.69,39.41
1778365934.372,12.50,1430.45,58.00,7632.69,39.41
1778365934.472,12.30,1430.45,59.00,7632.69,39.41
1778365934.573,12.50,1430.46,59.00,7632.69,39.41
1778365934.673,12.50,1430.46,59.00,7632.69,39.41
1778365934.773,12.50,1430.46,59.00,7632.69,39.41
1778365934.874,12.50,1430.46,59.00,7632.69,39.41
1778365934.974,12.50,1430.46,59.00,7632.69,39.41
1778365935.074,12.30,1430.46,59.00,7674.69,39.41
1778365935.174,12.50,1430.46,59.00,7674.69,39.41
1778365935.275,12.50,1430.46,59.00,7674.69,39.41
1778365935.375,12.50,1430.46,59.00,7674.69,39.41
1778365935.475,12.50,1430.46,59.00,7674.69,39.41
1778365935.576,12.50,1430.46,59.00,7674.69,39.41
1778365935.676,12.30,1430.46,59.00,7674.69,39.41
1778365935.776,12.50,1430.46,59.00,7674.69,39.41
1778365935.876,12.50,1430.46,59.00,7674.69,39.41
1778365935.977,12.50,1430.46,59.00,7674.69,39.41
1778365936.077,12.50,1430.46,60.00,7674.69,39.41
1778365936.177,12.50,1430.46,60.00,7674.69,39.41
1778365936.277,12.50,1430.46,59.00,7674.69,39.41
1778365936.378,12.30,1430.46,59.00,7674.69,39.41
1778365936.478,12.50,1430.46,59.00,7674.69,39.41
1778365936.578,12.50,1430.46,59.00,7674.69,39.41
1778365936.678,12.50,1430.46,59.00,7674.69,39.41
1778365936.779,13.60,1430.46,59.00,7674.69,39.41
1778365936.879,12.50,1430.46,60.00,7674.69,39.41
1778365936.979,12.30,1430.46,60.00,7674.69,39.41
1778365937.080,12.50,1430.46,59.00,7674.69,39.41
1778365937.180,12.50,1430.46,59.00,7674.69,39.41
1778365937.280,12.50,1430.46,59.00,7674.69,39.41
1778365937.380,12.50,1430.46,59.00,7674.69,39.41
1778365937.481,12.50,1430.46,60.00,7674.69,39.41
1778365937.581,12.30,1430.46,60.00,7674.69,39.41
1778365937.681,12.50,1430.46,60.00,7674.69,39.41
1778365937.781,12.50,1430.46,60.00,7674.69,39.41
1778365937.882,12.50,1430.46,60.00,7674.69,39.41
1778365937.982,12.50,1430.46,60.00,7674.69,39.41
1778365938.082,12.50,1430.46,60.00,7674.69,39.41
1778365938.182,12.30,1430.46,60.00,7674.69,39.41
1778365938.283,12.50,1430.46,60.00,7694.69,39.41
1778365938.383,12.50,1430.46,60.00,7694.69,39.41
1778365938.483,12.50,1430.46,60.00,7694.69,39.41
1778365938.584,12.50,1430.46,60.00,7694.69,39.41
1778365938.684,12.50,1430.46,60.00,7694.69,39.41
1778365938.784,12.30,1430.46,60.00,7694.69,39.41
1778365938.884,12.50,1430.46,60.00,7694.69,39.41
1778365938.985,12.50,1430.46,60.00,7694.69,39.41
1778365939.085,12.50,1430.46,61.00,7694.69,39.41
1778365939.185,12.50,1430.46,61.00,7694.69,39.41
1778365939.285,12.50,1430.46,60.00,7694.69,39.41
1778365939.386,12.50,1430.46,60.00,7694.69,39.41
1778365939.486,12.30,1430.46,60.00,7694.69,39.41
1778365939.586,12.50,1430.46,60.00,7694.69,39.41
1778365939.687,12.50,1430.46,60.00,7694.69,39.41
1778365939.787,12.50,1430.46,60.00,7694.69,39.41
1778365939.887,12.50,1430.46,61.00,7694.69,39.41
1778365939.987,12.50,1430.46,61.00,7694.69,39.41
1778365940.088,12.30,1430.46,60.00,7694.69,39.41
1778365940.188,13.60,1430.46,60.00,7694.69,39.41
1778365940.288,12.50,1430.46,60.00,7694.69,39.41
1778365940.388,12.50,1430.46,60.00,7694.69,39.41
1778365940.489,13.60,1430.46,60.00,7694.69,39.41
1778365940.589,12.50,1430.46,60.00,7694.69,39.41
1778365940.689,12.50,1430.46,61.00,7694.69,39.41
1778365940.789,12.30,1430.46,61.00,7694.69,39.41
1778365940.890,12.50,1430.46,61.00,7694.69,39.41
1778365940.990,12.50,1430.46,61.00,7694.69,39.41
1778365941.090,12.50,1430.46,60.00,7694.69,39.41
1778365941.190,12.50,1430.46,60.00,7694.69,39.41
1778365941.291,12.50,1430.46,60.00,7694.69,39.41
1778365941.391,12.30,1430.46,60.00,7694.69,39.41
1778365941.491,12.50,1430.46,61.00,7694.69,39.41
1778365941.591,12.50,1430.46,61.00,7694.69,39.41
1778365941.692,12.50,1430.46,61.00,7694.69,39.41
1778365941.792,12.50,1430.46,61.00,7694.69,39.41
1778365941.892,12.50,1430.46,60.00,7694.69,39.41
1778365941.993,12.30,1430.46,60.00,7694.69,39.41
1778365942.093,12.50,1430.46,61.00,7694.69,39.41
1778365942.193,12.50,1430.46,61.00,7694.69,39.41
1778365942.293,12.50,1430.46,61.00,7694.69,39.41
1778365942.394,12.50,1430.46,61.00,7694.69,39.41
1778365942.494,12.50,1430.46,61.00,7714.69,39.41
1778365942.594,12.30,1430.46,61.00,7714.69,39.41
1778365942.695,12.50,1430.46,61.00,7714.69,39.41
1778365942.795,12.50,1430.46,61.00,7714.69,39.41
1778365942.896,12.50,1430.46,61.00,7714.69,39.41
1778365942.996,12.30,1430.46,61.00,7714.69,39.41
1778365943.096,12.50,1430.46,62.00,7714.69,39.41
1778365943.196,12.50,1430.46,62.00,7714.69,39.41
1778365943.297,12.50,1430.46,62.00,7714.69,39.41
1778365943.397,12.50,1430.46,62.00,7714.69,39.41
1778365943.497,12.50,1430.46,62.00,7714.69,39.41
1778365943.598,12.30,1430.46,62.00,7714.69,39.41
1778365943.698,12.50,1430.46,62.00,7714.69,39.41
1778365943.798,12.50,1430.46,62.00,7714.69,39.41
1778365943.898,12.50,1430.46,62.00,7714.69,39.41
1778365943.999,12.50,1430.46,62.00,7714.69,39.41
1778365944.099,12.50,1430.46,62.00,7714.69,39.41
1778365944.199,12.30,1430.46,62.00,7714.69,39.41
1778365944.299,12.50,1430.46,61.00,7714.69,39.41
1778365944.400,12.50,1430.46,61.00,7714.69,39.41
1778365944.500,12.50,1430.46,62.00,7714.69,39.41
1778365944.600,12.50,1430.46,62.00,7714.69,39.41
1778365944.700,12.50,1430.46,62.00,7714.69,39.41
1778365944.801,12.50,1430.46,62.00,7714.69,39.41
1778365944.901,12.30,1430.46,62.00,7714.69,39.41
1778365945.001,12.50,1430.46,62.00,7714.69,39.41
1778365945.101,12.50,1430.46,62.00,7714.69,39.41
1778365945.202,13.60,1430.46,62.00,7714.69,39.41
1778365945.302,12.50,1430.46,62.00,7714.69,39.41
1778365945.402,12.50,1430.46,62.00,7714.69,39.41
1778365945.502,12.50,1430.46,62.00,7714.69,39.41
1778365945.603,12.30,1430.46,62.00,7714.69,39.41
1778365945.703,12.50,1430.46,62.00,7714.69,39.41
1778365945.803,12.50,1430.46,62.00,7714.69,39.41
1778365945.904,12.50,1430.46,62.00,7714.69,39.41
1778365946.004,12.50,1430.46,62.00,7714.69,39.41
1778365946.104,12.50,1430.47,62.00,7774.69,39.41
1778365946.204,12.30,1430.47,62.00,7774.69,39.41
1778365946.305,12.50,1430.47,62.00,7774.69,39.41
1778365946.405,12.50,1430.47,62.00,7774.69,39.41
1778365946.505,12.50,1430.47,62.00,7774.69,39.41
1778365946.606,12.50,1430.47,62.00,7774.69,39.41
1778365946.706,12.50,1430.47,63.00,7774.69,39.41
1778365946.806,12.30,1430.47,63.00,7774.69,39.41
1778365946.906,12.50,1430.47,63.00,7774.69,39.41
1778365947.007,12.50,1430.47,63.00,7774.69,39.41
1778365947.107,12.50,1430.47,63.00,7774.69,39.41
1778365947.207,12.50,1430.47,63.00,7774.69,39.41
1778365947.307,12.50,1430.47,62.00,7774.69,39.41
1778365947.408,12.30,1430.47,62.00,7774.69,39.41
1778365947.508,12.50,1430.47,62.00,7774.69,39.41
1778365947.608,12.50,1430.47,62.00,7774.69,39.41
1778365947.708,12.50,1430.47,62.00,7774.69,39.41
1778365947.809,12.50,1430.47,62.00,7774.69,39.41
1778365947.909,12.50,1430.47,63.00,7774.69,39.41
1778365948.009,12.50,1430.47,63.00,7774.69,39.41
1778365948.110,12.30,1430.47,62.00,7774.69,39.41
1778365948.210,12.50,1430.47,62.00,7774.69,39.41
1778365948.310,12.50,1430.47,63.00,7774.69,39.41
1778365948.410,12.50,1430.47,63.00,7774.69,39.41
1778365948.511,12.50,1430.48,63.00,7794.69,39.41
1778365948.611,13.60,1430.48,63.00,7794.69,39.41
1778365948.711,12.30,1430.48,63.00,7794.69,39.41
1778365948.812,12.50,1430.48,63.00,7794.69,39.41
1778365948.912,13.60,1430.48,62.00,7794.69,39.41
1778365949.012,12.50,1430.48,62.00,7794.69,39.41
1778365949.112,12.50,1430.48,62.00,7794.69,39.41
1778365949.213,12.50,1430.48,62.00,7794.69,39.41
1778365949.313,12.30,1430.48,62.00,7794.69,39.41
1778365949.413,12.50,1430.48,62.00,7794.69,39.41
1778365949.513,12.50,1430.48,63.00,7794.69,39.41
1778365949.614,12.50,1430.48,63.00,7794.69,39.41
1778365949.714,12.50,1430.48,63.00,7794.69,39.41
1778365949.814,12.50,1430.48,63.00,7794.69,39.41
1778365949.915,12.30,1430.48,63.00,7794.69,39.41
1778365950.015,12.50,1430.48,63.00,7794.69,39.41
1778365950.115,12.50,1430.48,63.00,7794.69,39.41
1778365950.215,12.50,1430.48,63.00,7794.69,39.41
1778365950.316,12.50,1430.48,62.00,7794.69,39.41
1778365950.416,12.50,1430.48,62.00,7794.69,39.41
1778365950.516,12.30,1430.48,63.00,7794.69,39.41
1778365950.617,12.50,1430.48,63.00,7794.69,39.41
1778365950.717,12.50,1430.48,63.00,7794.69,39.41
1778365950.817,12.50,1430.48,63.00,7794.69,39.41
1778365950.917,12.50,1430.48,63.00,7794.69,39.41
