timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778088414.193,0.00,407.73,0.00,0.00,3977.98
1778088414.294,3.80,409.55,0.00,0.00,3977.98
1778088414.397,6.10,416.20,0.00,0.00,3977.98
1778088414.498,12.30,431.61,0.00,0.00,3977.98
1778088414.600,12.30,444.76,0.00,0.00,3977.98
1778088414.702,12.20,453.70,0.00,0.00,3977.98
1778088414.803,13.60,455.75,0.00,0.00,3977.98
1778088414.903,12.30,487.50,0.00,0.00,3977.98
1778088415.005,12.50,493.92,0.00,0.00,3977.98
1778088415.114,11.90,499.96,0.00,0.00,3977.98
1778088415.215,12.90,505.23,0.00,0.00,3977.98
1778088415.316,65.00,516.90,0.00,0.00,3977.98
1778088415.438,33.70,518.64,0.00,0.00,3977.98
1778088415.543,12.90,532.71,0.00,0.00,3977.98
1778088415.644,11.40,557.57,0.00,0.00,3977.98
1778088415.744,12.50,557.57,0.00,0.00,3977.98
1778088415.844,5.00,557.57,0.00,0.00,3977.98
1778088415.944,12.50,557.57,0.00,0.00,3977.98
1778088416.045,7.40,557.75,0.00,0.00,3977.98
1778088416.145,12.50,557.75,0.00,0.00,3977.98
1778088416.245,7.50,557.75,0.00,0.00,3977.98
1778088416.345,11.50,557.75,0.00,0.00,3977.98
1778088416.518,11.60,568.13,0.00,0.00,3977.98
1778088416.625,13.60,571.68,0.00,0.00,3977.98
1778088416.726,0.00,571.68,0.00,0.00,3977.98
1778088416.826,1.30,571.80,0.00,0.00,3977.98
1778088416.936,9.20,608.36,0.00,0.00,3977.98
1778088421.578,12.50,788.80,0.00,0.00,3977.98
1778088425.077,12.50,791.81,0.00,0.00,3977.98
1778088425.177,12.20,766.82,0.00,0.00,3977.98
1778088425.277,0.00,766.82,0.00,0.00,3977.98
1778088425.377,21.30,775.69,0.00,0.00,3977.98
1778088425.478,27.80,807.66,0.00,0.00,3977.98
1778088425.578,34.60,887.32,0.00,0.00,3977.98
1778088425.678,50.00,935.34,0.00,0.00,3977.98
1778088425.779,50.00,1001.21,0.00,0.00,3977.98
1778088425.879,50.00,1079.32,0.00,0.00,3977.98
1778088425.979,50.00,1175.19,0.00,0.00,3977.98
1778088426.080,50.00,1270.88,0.00,0.00,3977.98
1778088426.180,50.00,1318.82,0.00,0.00,3977.98
1778088426.280,50.60,1384.69,0.00,0.00,3977.98
1778088426.381,49.40,1462.44,0.00,0.00,3977.98
1778088426.481,50.60,1558.32,0.00,0.00,3977.98
1778088426.581,50.00,1606.07,0.00,0.00,3977.98
1778088426.682,50.00,1701.94,0.00,0.00,3977.98
1778088426.782,50.60,1767.82,0.00,0.00,3977.98
1778088426.882,49.40,1845.57,0.00,0.00,3977.98
1778088426.983,50.60,1941.44,0.00,0.00,3977.98
1778088427.083,50.00,1989.19,0.00,0.00,3977.98
1778088427.183,50.00,2085.07,0.00,0.00,3977.98
1778088427.284,49.40,2150.94,0.00,0.00,3977.98
1778088427.384,50.00,2228.69,0.00,0.00,3977.98
1778088427.484,50.60,2324.57,0.00,0.00,3977.98
1778088427.585,50.00,2372.32,0.00,0.00,3977.98
1778088427.685,50.00,2468.19,0.00,0.00,3977.98
1778088427.785,50.00,2516.13,0.00,0.00,3977.98
1778088427.886,50.00,2611.82,0.00,0.00,3977.98
1778088427.986,50.60,2707.70,0.00,0.00,3977.98
1778088428.086,50.00,2755.45,0.00,0.00,3977.98
1778088428.187,49.40,2851.32,0.00,0.00,3977.98
1778088428.287,50.60,2899.26,0.00,0.00,3977.98
1778088428.387,50.00,2994.95,0.00,0.00,3977.98
1778088428.488,50.00,3082.57,0.00,0.00,3977.98
1778088428.588,50.00,3120.64,0.00,0.00,3977.98
1778088428.688,49.40,3234.45,0.00,0.00,3977.98
1778088428.789,50.00,3282.39,0.00,0.00,3977.98
1778088428.889,50.60,3378.08,0.00,0.00,3977.98
1778088428.990,50.00,3426.02,0.00,0.00,3977.98
1778088429.090,50.00,3497.83,0.00,0.00,3977.98
1778088429.190,50.60,3617.58,0.00,0.00,3977.98
1778088429.290,49.40,3665.52,0.00,0.00,3977.98
1778088429.391,50.00,3761.21,0.00,0.00,3977.98
1778088429.491,50.60,3809.14,0.00,0.00,3977.98
1778088429.592,50.00,3875.02,0.00,0.00,3977.98
1778088429.692,50.00,3952.77,0.00,0.00,3977.98
1778088429.792,50.00,4048.64,0.00,0.00,3977.98
1778088429.893,50.00,4144.33,0.00,0.00,3977.98
1778088429.993,50.00,4192.27,0.00,0.00,3977.98
1778088430.093,50.00,4258.14,0.00,0.00,3977.98
1778088430.194,50.00,4335.89,0.00,0.00,3977.98
1778088430.294,49.40,4431.77,0.00,0.00,3977.98
1778088430.394,50.60,4479.52,0.00,0.00,3977.98
1778088430.495,50.00,4575.39,0.00,0.00,3977.98
1778088430.595,50.00,4641.27,0.00,0.00,3977.98
1778088430.695,50.60,4719.02,0.00,0.00,3977.98
1778088430.796,50.00,4814.89,0.00,0.00,3977.98
1778088430.896,50.00,4862.64,0.00,0.00,3977.98
1778088430.996,50.00,4958.52,0.00,0.00,3977.98
1778088431.097,50.00,5006.46,0.00,0.00,3977.98
1778088431.197,49.40,5102.14,0.00,0.00,3977.98
1778088431.297,50.60,5198.02,0.00,0.00,3977.98
1778088431.398,50.00,5245.77,0.00,0.00,3977.98
1778088431.498,49.40,5341.64,0.00,0.00,3977.98
1778088431.598,50.60,5389.58,0.00,0.00,3977.98
1778088431.699,50.60,5485.27,0.00,0.00,3977.98
1778088431.799,49.40,5581.14,0.00,0.00,3977.98
1778088431.899,50.60,5628.89,0.00,0.00,3977.98
1778088432.000,50.00,5724.77,0.00,0.00,3977.98
1778088432.100,50.00,5772.71,0.00,0.00,3977.98
1778088432.200,50.00,5868.39,0.00,0.00,3977.98
1778088432.301,50.00,5946.64,0.00,0.00,3977.98
1778088432.401,49.40,5994.08,0.00,0.00,3977.98
1778088432.501,50.00,6107.89,0.00,0.00,3977.98
1778088432.602,50.60,6155.83,0.00,0.00,3977.98
1778088432.702,50.00,7071.52,0.00,0.00,3977.98
1778088432.802,50.00,7071.52,0.00,0.00,3977.98
1778088432.903,50.00,7071.52,0.00,0.00,3977.98
1778088433.003,50.00,7071.52,0.00,0.00,3977.98
1778088433.103,50.00,7071.52,0.00,0.00,3977.98
1778088433.204,50.00,7071.52,0.00,0.00,3977.98
1778088433.304,50.60,7071.52,0.00,0.00,3977.98
1778088433.405,48.80,7071.52,0.00,0.00,3977.98
1778088433.505,50.00,7071.52,0.00,0.00,3977.98
1778088433.605,50.60,7071.52,0.00,0.00,3977.98
1778088433.706,50.00,7071.52,0.00,0.00,3977.98
1778088433.806,50.00,7071.52,0.00,0.00,3977.98
1778088433.906,50.00,7071.52,0.00,0.00,3977.98
1778088434.007,50.00,7071.52,0.00,0.00,3977.98
1778088434.107,50.60,7071.52,0.00,0.00,3977.98
1778088434.208,49.40,7071.52,0.00,0.00,3977.98
1778088434.308,50.00,7071.52,0.00,0.00,3977.98
1778088434.408,50.00,7071.52,0.00,0.00,3977.98
1778088434.509,50.00,7071.52,0.00,0.00,3977.98
1778088434.609,50.00,7071.52,0.00,0.00,3977.98
1778088434.709,50.00,7071.52,0.00,0.00,3977.98
1778088434.810,50.60,7071.52,0.00,0.00,3977.98
1778088434.910,50.00,7071.52,0.00,0.00,3977.98
1778088435.010,49.40,7071.52,0.00,0.00,3977.98
1778088435.111,50.00,7071.52,0.00,0.00,3977.98
1778088435.211,50.60,7071.52,0.00,0.00,3977.98
1778088435.312,50.00,7071.52,0.00,0.00,3977.98
1778088435.412,50.00,7071.52,0.00,0.00,3977.98
1778088435.512,50.00,7071.52,0.00,0.00,3977.98
1778088435.613,50.00,7071.52,0.00,0.00,3977.98
1778088435.713,50.00,7071.52,0.00,0.00,3977.98
1778088435.813,50.00,7071.52,0.00,0.00,3977.98
1778088435.914,50.00,7071.52,0.00,0.00,3977.98
1778088436.014,50.60,7071.52,0.00,0.00,3977.98
1778088436.114,50.00,7071.52,0.00,0.00,3977.98
1778088436.215,49.40,7071.52,0.00,0.00,3977.98
1778088436.315,50.60,7071.52,0.00,0.00,3977.98
1778088436.416,50.60,7071.52,0.00,0.00,3977.98
1778088436.516,49.40,7071.52,0.00,0.00,3977.98
1778088436.616,50.00,7071.52,0.00,0.00,3977.98
1778088436.717,50.00,7071.52,0.00,0.00,3977.98
1778088436.817,50.00,7071.52,0.00,0.00,3977.98
1778088436.917,50.60,7071.52,0.00,0.00,3977.98
1778088437.018,50.00,7071.52,0.00,0.00,3977.98
1778088437.118,50.00,7071.52,0.00,0.00,3977.98
1778088437.218,50.00,7071.52,0.00,0.00,3977.98
1778088437.319,50.00,7071.52,0.00,0.00,3977.98
1778088437.419,49.40,7071.52,0.00,0.00,3977.98
1778088437.519,50.00,7071.52,0.00,0.00,3977.98
1778088437.620,50.00,7071.52,0.00,0.00,3977.98
1778088437.720,50.00,7071.52,0.00,0.00,3977.98
1778088437.821,50.00,7071.52,0.00,0.00,3977.98
1778088437.921,50.00,7071.52,0.00,0.00,3977.98
1778088438.021,50.00,7071.52,0.00,0.00,3977.98
1778088438.122,50.00,7071.52,0.00,0.00,3977.98
1778088438.222,49.40,7071.52,0.00,0.00,3977.98
1778088438.322,50.60,7071.52,0.00,0.00,3977.98
1778088438.423,50.00,7071.52,0.00,0.00,3977.98
