timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778088138.556,0.00,407.93,0.00,0.00,169.85
1778088138.657,3.70,409.66,0.00,0.00,169.85
1778088138.757,7.50,416.72,0.00,0.00,169.85
1778088138.859,12.30,431.84,0.00,0.00,169.85
1778088138.969,12.50,445.41,0.00,0.00,169.85
1778088139.125,12.10,452.21,0.00,0.00,169.85
1778088139.226,13.30,459.36,0.00,0.00,169.85
1778088139.343,12.10,492.24,0.00,0.00,169.85
1778088139.446,13.10,497.58,0.00,0.00,169.85
1778088139.548,12.30,504.39,0.00,0.00,169.85
1778088139.719,12.40,507.45,0.00,0.00,169.85
1778088139.820,90.20,520.54,0.00,0.00,169.85
1778088139.923,11.00,533.31,0.00,0.00,169.85
1778088140.024,12.50,557.79,0.00,0.00,169.85
1778088140.124,12.50,557.79,0.00,0.00,169.85
1778088140.224,6.20,557.79,0.00,0.00,169.85
1778088140.324,12.50,557.79,0.00,0.00,169.85
1778088140.425,6.30,557.97,0.00,0.00,169.85
1778088140.525,13.80,557.97,0.00,0.00,169.85
1778088140.625,8.70,557.97,0.00,0.00,169.85
1778088140.726,10.00,557.97,0.00,0.00,169.85
1778088140.895,11.90,568.41,0.00,0.00,169.85
1778088140.999,12.00,571.89,0.00,0.00,169.85
1778088141.099,0.00,571.89,0.00,0.00,169.85
1778088141.199,1.20,572.02,0.00,0.00,169.85
1778088141.357,11.00,622.66,0.00,0.00,169.85
1778088145.897,12.50,789.43,0.00,0.00,169.85
1778088146.055,12.80,792.45,0.00,0.00,169.85
1778088149.390,12.50,769.45,0.00,0.00,169.85
1778088149.490,2.30,769.45,0.00,0.00,169.85
1778088149.591,0.00,770.62,0.00,0.00,169.85
1778088149.691,23.80,777.81,0.00,0.00,169.85
1778088149.792,27.80,810.75,0.00,0.00,169.85
1778088149.892,50.00,890.62,0.00,0.00,169.85
1778088149.992,50.00,938.64,0.00,0.00,169.85
1778088150.093,50.00,1004.52,0.00,0.00,169.85
1778088150.193,50.00,1082.43,0.00,0.00,169.85
1778088150.293,50.60,1178.31,0.00,0.00,169.85
1778088150.394,49.40,1202.18,0.00,0.00,169.85
1778088150.494,50.60,1274.00,0.00,0.00,169.85
1778088150.594,50.00,1369.87,0.00,0.00,169.85
1778088150.695,50.00,1399.68,0.00,0.00,169.85
1778088150.795,50.00,1465.56,0.00,0.00,169.85
1778088150.895,50.60,1561.43,0.00,0.00,169.85
1778088150.996,50.00,1609.18,0.00,0.00,169.85
1778088151.096,50.00,1705.06,0.00,0.00,169.85
1778088151.196,50.00,1753.00,0.00,0.00,169.85
1778088151.297,49.40,1800.75,0.00,0.00,169.85
1778088151.397,50.00,1896.62,0.00,0.00,169.85
1778088151.497,50.60,1944.56,0.00,0.00,169.85
1778088151.598,50.00,1992.31,0.00,0.00,169.85
1778088151.698,50.00,2088.18,0.00,0.00,169.85
1778088151.798,50.00,2136.12,0.00,0.00,169.85
1778088151.899,50.00,2231.81,0.00,0.00,169.85
1778088151.999,50.00,2279.75,0.00,0.00,169.85
1778088152.099,50.00,2327.68,0.00,0.00,169.85
1778088152.200,50.60,2423.37,0.00,0.00,169.85
1778088152.300,50.00,2471.31,0.00,0.00,169.85
1778088152.400,50.00,2519.25,0.00,0.00,169.85
1778088152.501,50.00,2614.94,0.00,0.00,169.85
1778088152.601,50.60,2662.88,0.00,0.00,169.85
1778088152.701,49.40,2728.75,0.00,0.00,169.85
1778088152.802,49.40,2806.50,0.00,0.00,169.85
1778088152.902,50.60,2854.44,0.00,0.00,169.85
1778088153.003,50.00,2920.32,0.00,0.00,169.85
1778088153.103,50.00,2998.07,0.00,0.00,169.85
1778088153.203,50.00,3086.45,0.00,0.00,169.85
1778088153.304,50.00,3111.89,0.00,0.00,169.85
1778088153.404,50.60,3189.64,0.00,0.00,169.85
1778088153.504,50.00,3285.51,0.00,0.00,169.85
1778088153.605,50.00,3315.32,0.00,0.00,169.85
1778088153.705,50.00,3381.20,0.00,0.00,169.85
1778088153.805,50.60,3477.07,0.00,0.00,169.85
1778088153.906,49.40,3506.89,0.00,0.00,169.85
1778088154.006,49.40,3600.07,0.00,0.00,169.85
1778088154.106,50.60,3668.64,0.00,0.00,169.85
1778088154.207,50.00,3716.39,0.00,0.00,169.85
1778088154.307,50.00,3812.26,0.00,0.00,169.85
1778088154.407,50.60,3860.20,0.00,0.00,169.85
1778088154.508,50.00,3907.95,0.00,0.00,169.85
1778088154.608,50.00,4003.82,0.00,0.00,169.85
1778088154.708,50.00,4051.76,0.00,0.00,169.85
1778088154.809,50.00,4111.14,0.00,0.00,169.85
1778088154.909,50.60,4195.39,0.00,0.00,169.85
1778088155.010,50.00,4243.32,0.00,0.00,169.85
1778088155.110,49.40,4339.01,0.00,0.00,169.85
1778088155.210,50.60,4386.95,0.00,0.00,169.85
1778088155.311,49.40,4434.89,0.00,0.00,169.85
1778088155.411,50.00,4530.57,0.00,0.00,169.85
1778088155.511,50.00,4578.51,0.00,0.00,169.85
1778088155.612,50.60,4642.01,0.00,0.00,169.85
1778088155.712,50.00,4722.14,0.00,0.00,169.85
1778088155.812,50.00,4770.07,0.00,0.00,169.85
1778088155.912,50.00,4835.95,0.00,0.00,169.85
1778088156.013,49.40,4913.70,0.00,0.00,169.85
1778088156.113,50.60,4961.64,0.00,0.00,169.85
1778088156.214,50.60,5027.51,0.00,0.00,169.85
1778088156.314,50.00,5105.26,0.00,0.00,169.85
1778088156.414,50.00,5201.14,0.00,0.00,169.85
1778088156.514,50.00,5225.01,0.00,0.00,169.85
1778088156.615,49.40,5296.82,0.00,0.00,169.85
1778088156.715,50.00,5392.70,0.00,0.00,169.85
1778088156.815,50.00,5422.51,0.00,0.00,169.85
1778088156.916,50.00,5488.39,0.00,0.00,169.85
1778088157.016,50.00,5584.26,0.00,0.00,169.85
1778088157.116,50.00,5632.01,0.00,0.00,169.85
1778088157.217,50.60,5727.89,0.00,0.00,169.85
1778088157.317,50.00,5775.82,0.00,0.00,169.85
1778088157.417,50.00,5823.57,0.00,0.00,169.85
1778088157.518,50.00,5919.45,0.00,0.00,169.85
1778088157.618,50.00,5967.39,0.00,0.00,169.85
1778088157.718,50.00,6015.14,0.00,0.00,169.85
1778088157.819,50.60,6111.01,0.00,0.00,169.85
1778088157.919,50.60,6158.95,0.00,0.00,169.85
1778088158.020,48.70,7073.70,0.00,0.00,169.85
1778088158.120,50.00,7073.70,0.00,0.00,169.85
1778088158.220,50.00,7073.70,0.00,0.00,169.85
1778088158.321,50.00,7073.70,0.00,0.00,169.85
1778088158.421,50.00,7073.70,0.00,0.00,169.85
1778088158.521,50.00,7073.70,0.00,0.00,169.85
1778088158.622,50.00,7073.70,0.00,0.00,169.85
1778088158.722,50.00,7073.70,0.00,0.00,169.85
1778088158.822,50.60,7073.70,0.00,0.00,169.85
1778088158.923,48.80,7073.70,0.00,0.00,169.85
1778088159.023,51.20,7073.70,0.00,0.00,169.85
1778088159.123,49.40,7073.70,0.00,0.00,169.85
1778088159.224,50.00,7073.70,0.00,0.00,169.85
1778088159.324,50.60,7073.70,0.00,0.00,169.85
1778088159.425,50.00,7073.70,0.00,0.00,169.85
1778088159.525,50.00,7073.70,0.00,0.00,169.85
1778088159.625,50.00,7073.70,0.00,0.00,169.85
1778088159.726,50.00,7073.70,0.00,0.00,169.85
1778088159.826,50.00,7073.70,0.00,0.00,169.85
1778088159.926,50.00,7073.70,0.00,0.00,169.85
1778088160.027,50.00,7073.70,0.00,0.00,169.85
1778088160.127,50.00,7073.70,0.00,0.00,169.85
1778088160.228,50.00,7073.70,0.00,0.00,169.85
1778088160.328,50.00,7073.70,0.00,0.00,169.85
1778088160.428,50.00,7073.70,0.00,0.00,169.85
1778088160.529,50.00,7073.70,0.00,0.00,169.85
1778088160.629,50.00,7073.70,0.00,0.00,169.85
1778088160.729,50.60,7073.70,0.00,0.00,169.85
1778088160.830,49.40,7073.70,0.00,0.00,169.85
1778088160.930,50.00,7073.70,0.00,0.00,169.85
1778088161.030,50.00,7073.70,0.00,0.00,169.85
1778088161.131,50.00,7073.70,0.00,0.00,169.85
1778088161.231,50.60,7073.70,0.00,0.00,169.85
1778088161.332,49.40,7073.70,0.00,0.00,169.85
1778088161.432,50.00,7073.70,0.00,0.00,169.85
1778088161.532,50.00,7073.70,0.00,0.00,169.85
1778088161.633,50.00,7073.70,0.00,0.00,169.85
1778088161.733,50.60,7073.70,0.00,0.00,169.85
1778088161.833,49.40,7073.70,0.00,0.00,169.85
1778088161.934,50.00,7073.70,0.00,0.00,169.85
1778088162.034,50.00,7073.70,0.00,0.00,169.85
1778088162.134,50.60,7073.70,0.00,0.00,169.85
1778088162.235,49.40,7073.70,0.00,0.00,169.85
1778088162.335,50.00,7073.70,0.00,0.00,169.85
1778088162.435,50.60,7073.70,0.00,0.00,169.85
1778088162.536,50.00,7073.70,0.00,0.00,169.85
1778088162.636,50.00,7073.70,0.00,0.00,169.85
1778088162.737,49.40,7073.70,0.00,0.00,169.85
1778088162.837,50.00,7073.70,0.00,0.00,169.85
1778088162.937,50.60,7073.70,0.00,0.00,169.85
1778088163.038,50.00,7073.70,0.00,0.00,169.85
1778088163.138,49.40,7073.70,0.00,0.00,169.85
1778088163.238,50.00,7073.70,0.00,0.00,169.85
1778088163.339,50.00,7073.70,0.00,0.00,169.85
1778088163.439,50.60,7073.70,0.00,0.00,169.85
1778088163.540,50.00,7073.70,0.00,0.00,169.85
1778088163.640,49.40,7073.70,0.00,0.00,169.85
1778088163.740,50.00,7073.70,0.00,0.00,169.85
1778088163.841,50.60,7073.70,0.00,0.00,169.85
1778088163.941,50.00,7073.70,0.00,0.00,169.85
1778088164.041,50.00,7073.70,0.00,0.00,169.85
1778088164.142,50.00,7073.70,0.00,0.00,169.85
1778088164.242,50.00,7073.70,0.00,0.00,169.85
1778088164.342,50.00,7073.70,0.00,0.00,169.85
1778088164.443,50.00,7073.70,0.00,0.00,169.85
1778088164.543,50.00,7073.70,0.00,0.00,169.85
1778088164.643,50.00,7073.70,0.00,0.00,169.85
1778088164.744,50.00,7073.70,0.00,0.00,169.85
1778088164.844,50.00,7073.70,0.00,0.00,169.85
1778088164.944,50.00,7073.70,0.00,0.00,169.85
1778088165.045,50.00,7073.70,0.00,0.00,169.85
1778088165.145,50.00,7073.70,0.00,0.00,169.85
1778088165.246,50.00,7073.70,0.00,0.00,169.85
1778088165.346,50.00,7073.70,0.00,0.00,169.85
1778088165.446,50.00,7073.70,0.00,0.00,169.85
1778088165.547,50.00,7073.70,0.00,0.00,169.85
1778088165.647,50.00,7073.70,0.00,0.00,169.85
1778088165.747,50.00,7073.70,0.00,0.00,169.85
1778088165.848,50.00,7073.70,0.00,0.00,169.85
1778088165.948,50.00,7073.70,0.00,0.00,169.85
1778088166.048,50.00,7073.70,0.00,0.00,169.85
1778088166.149,50.00,7073.70,0.00,0.00,169.85
1778088166.249,50.00,7073.70,0.00,0.00,169.85
1778088166.349,50.60,7073.70,0.00,0.00,169.85
1778088166.450,48.80,7073.70,0.00,0.00,169.85
1778088166.550,50.00,7073.70,0.00,0.00,169.85
1778088166.650,50.60,7073.70,0.00,0.00,169.85
1778088166.751,50.00,7073.70,0.00,0.00,169.85
1778088166.851,50.00,7073.70,0.00,0.00,169.85
1778088166.952,50.00,7073.70,0.00,0.00,169.85
