timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778389474.294,0.00,258.89,0.00,0.00,475.66
1778389474.395,5.10,261.12,0.00,0.00,475.66
1778389474.495,4.90,261.68,0.00,0.00,475.66
1778389474.595,7.70,264.34,0.00,0.00,475.66
1778389474.696,12.50,268.13,0.00,0.00,475.66
1778389474.797,12.20,271.46,0.00,0.00,475.66
1778389474.897,10.30,276.48,0.00,0.00,475.66
1778389474.997,10.00,282.47,0.00,0.00,475.66
1778389475.097,10.00,288.09,0.00,0.00,475.66
1778389475.198,22.50,288.74,0.00,0.00,475.66
1778389475.301,12.20,294.82,0.00,0.00,475.66
1778389475.401,10.00,299.33,0.00,0.00,475.66
1778389475.502,9.80,302.71,0.00,0.00,475.66
1778389475.603,10.00,307.42,0.00,0.00,475.66
1778389475.703,10.30,311.32,0.00,0.00,475.66
1778389476.060,2.10,353.34,0.00,0.00,475.66
1778389476.169,15.60,357.36,0.00,0.00,475.66
1778389476.269,17.50,360.83,0.00,0.00,475.66
1778389476.369,7.70,363.32,0.00,0.00,475.66
1778389476.470,17.90,366.10,0.00,0.00,475.66
1778389476.651,20.80,369.16,0.00,0.00,475.66
1778389476.751,19.50,373.29,0.00,0.00,475.66
1778389476.851,17.50,377.92,0.00,0.00,475.66
1778389476.986,9.40,382.38,0.00,0.00,475.66
1778389477.086,85.00,386.80,0.00,0.00,475.66
1778389477.187,7.50,390.84,0.00,0.00,475.66
1778389477.298,6.80,397.66,0.00,0.00,475.66
1778389477.403,12.20,402.44,0.00,0.00,475.66
1778389477.504,14.60,408.07,0.00,0.00,475.66
1778389477.641,9.50,416.25,0.00,0.00,475.66
1778389477.765,3.30,421.64,0.00,0.00,475.66
1778389477.865,12.20,534.35,0.00,0.00,475.66
1778389477.966,15.80,705.47,0.00,0.00,475.66
1778389478.066,19.50,866.60,0.00,0.00,475.66
1778389478.166,2.60,916.10,0.00,0.00,475.66
1778389478.266,0.00,953.60,0.00,0.00,475.66
1778389478.367,2.60,991.10,0.00,0.00,475.66
1778389478.467,0.00,1028.60,0.00,0.00,475.66
1778389478.567,2.60,1066.57,0.00,0.00,475.66
1778389478.668,2.60,1104.35,0.00,0.00,475.66
1778389478.768,5.00,1141.85,0.00,0.00,475.66
1778389478.868,9.50,1179.35,0.00,0.00,475.66
