timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778371465.072,0.00,260.25,0.00,0.00,5376.80
1778371465.172,1.20,262.51,0.00,0.00,5376.80
1778371465.274,3.70,272.22,0.00,0.00,5376.80
1778371465.428,6.50,290.13,0.00,0.00,5376.80
1778371465.529,5.60,309.55,0.00,0.00,5376.80
1778371465.645,6.40,361.61,0.00,0.00,5376.80
1778371465.843,6.30,371.34,0.00,0.00,5376.80
1778371465.948,6.70,379.80,0.00,0.00,5376.80
1778371466.054,76.70,400.60,0.00,0.00,5376.80
1778371466.155,26.90,760.76,0.00,0.00,5376.80
1778371466.255,49.70,3460.86,0.00,0.00,5376.80
1778371466.355,50.00,5977.50,0.00,0.00,5376.80
1778371466.456,50.00,8477.46,0.00,0.00,5376.80
1778371466.556,50.00,10998.07,0.00,0.00,5376.80
1778371466.656,50.30,13530.35,0.00,0.00,5376.80
1778371466.845,17.90,9938.27,0.00,0.00,5376.80
1778371466.946,48.40,12425.55,0.00,0.00,5376.80
1778371467.148,25.20,13010.21,0.00,0.00,5376.80
1778371467.249,0.00,13010.21,0.00,0.00,5376.80
1778371467.349,0.00,13010.28,0.00,0.00,5376.80
1778371471.100,6.20,13181.36,0.00,0.00,5376.80
1778371473.932,6.20,13158.54,0.00,0.00,5376.80
1778371474.032,0.00,13158.54,0.00,0.00,5376.80
1778371474.132,0.60,13158.54,0.00,0.00,5376.80
1778371474.233,8.80,13163.34,0.00,0.00,5376.80
1778371474.333,20.10,13218.30,0.00,0.00,5376.80
1778371474.433,49.70,13220.98,0.00,0.00,5376.80
1778371474.534,50.30,13225.71,0.00,0.00,5376.80
1778371474.634,50.00,13229.58,0.00,0.00,5376.80
1778371474.735,50.00,13235.60,0.00,0.00,5376.80
1778371474.835,50.30,13244.19,0.00,0.00,5376.80
1778371474.935,49.70,13249.44,0.00,0.00,5376.80
1778371475.036,50.00,13251.09,0.00,0.00,5376.80
1778371475.136,50.30,13251.09,0.00,0.00,5376.80
1778371475.237,50.00,13251.09,0.00,0.00,5376.80
1778371475.337,49.70,13251.09,0.00,0.00,5376.80
1778371475.438,50.30,13251.09,0.00,0.00,5376.80
1778371475.538,50.00,13251.09,0.00,0.00,5376.80
1778371475.638,50.30,13251.09,0.00,0.00,5376.80
1778371475.739,50.00,13251.09,0.00,0.00,5376.80
1778371475.839,49.70,13251.09,0.00,0.00,5376.80
1778371475.940,50.30,13251.09,0.00,0.00,5376.80
1778371476.040,50.00,13251.09,0.00,0.00,5376.80
1778371476.140,50.30,13251.09,0.00,0.00,5376.80
1778371476.241,50.00,13251.09,0.00,0.00,5376.80
1778371476.341,49.70,13251.09,0.00,0.00,5376.80
1778371476.442,50.30,13251.09,0.00,0.00,5376.80
1778371476.542,50.00,13251.09,0.00,0.00,5376.80
1778371476.642,50.30,13251.09,0.00,0.00,5376.80
1778371476.743,50.00,13251.09,0.00,0.00,5376.80
1778371476.843,50.00,13251.09,0.00,0.00,5376.80
1778371476.943,50.00,13251.09,0.00,0.00,5376.80
1778371477.044,50.00,13251.09,0.00,0.00,5376.80
1778371477.144,50.00,13251.09,0.00,0.00,5376.80
1778371477.245,50.00,13251.09,0.00,0.00,5376.80
1778371477.345,50.00,13251.09,0.00,0.00,5376.80
1778371477.445,50.00,13251.16,0.00,0.00,5376.80
1778371477.546,50.00,13251.16,0.00,0.00,5376.80
1778371477.646,50.30,13251.16,0.00,0.00,5376.80
1778371477.747,50.00,13251.16,0.00,0.00,5376.80
1778371477.847,50.00,13251.16,0.00,0.00,5376.80
1778371477.948,50.30,13251.16,0.00,0.00,5376.80
1778371478.048,50.00,13251.16,0.00,0.00,5376.80
1778371478.148,50.30,13251.16,0.00,0.00,5376.80
1778371478.249,50.00,13251.16,0.00,0.00,5376.80
1778371478.349,50.00,13251.16,0.00,0.00,5376.80
1778371478.449,49.70,13251.16,0.00,0.00,5376.80
1778371478.550,50.00,13251.16,0.00,0.00,5376.80
1778371478.650,50.30,13251.16,0.00,0.00,5376.80
1778371478.751,50.00,13251.16,0.00,0.00,5376.80
1778371478.851,50.30,13251.16,0.00,0.00,5376.80
1778371478.952,49.70,13251.16,0.00,0.00,5376.80
1778371479.052,50.00,13251.16,0.00,0.00,5376.80
1778371479.152,50.30,13251.16,0.00,0.00,5376.80
1778371479.253,50.00,13251.16,0.00,0.00,5376.80
1778371479.353,50.00,13251.16,0.00,0.00,5376.80
1778371479.453,50.60,13251.16,0.00,0.00,5376.80
1778371479.554,50.00,13251.16,0.00,0.00,5376.80
1778371479.654,49.40,13251.16,0.00,0.00,5376.80
1778371479.755,50.30,13251.16,0.00,0.00,5376.80
1778371479.855,50.00,13251.16,0.00,0.00,5376.80
1778371479.956,50.30,13251.16,0.00,0.00,5376.80
1778371480.056,50.00,13251.16,0.00,0.00,5376.80
1778371480.156,50.00,13251.16,0.00,0.00,5376.80
1778371480.257,50.00,13251.16,0.00,0.00,5376.80
1778371480.357,50.00,13251.16,0.00,0.00,5376.80
1778371480.458,50.00,13251.16,0.00,0.00,5376.80
1778371480.558,50.00,13251.16,0.00,0.00,5376.80
1778371480.658,50.30,13251.16,0.00,0.00,5376.80
1778371480.759,50.00,13251.16,0.00,0.00,5376.80
1778371480.859,49.70,13251.16,0.00,0.00,5376.80
1778371480.960,50.30,13251.16,0.00,0.00,5376.80
1778371481.060,50.00,13251.16,0.00,0.00,5376.80
1778371481.160,50.30,13251.16,0.00,0.00,5376.80
1778371481.261,50.00,13251.16,0.00,0.00,5376.80
1778371481.361,50.00,13251.16,0.00,0.00,5376.80
1778371481.461,50.30,13251.16,0.00,0.00,5376.80
1778371481.562,50.00,13251.16,0.00,0.00,5376.80
1778371481.662,50.30,13251.16,0.00,0.00,5376.80
1778371481.763,50.00,13251.16,0.00,0.00,5376.80
1778371481.863,50.00,13251.16,0.00,0.00,5376.80
1778371481.963,50.00,13251.16,0.00,0.00,5376.80
1778371482.064,49.70,13251.16,0.00,0.00,5376.80
1778371482.164,50.00,13251.16,0.00,0.00,5376.80
1778371482.264,50.30,13251.16,0.00,0.00,5376.80
1778371482.365,50.00,13251.16,0.00,0.00,5376.80
1778371482.465,50.30,13251.16,0.00,0.00,5376.80
1778371482.566,50.00,13251.16,0.00,0.00,5376.80
1778371482.666,49.70,13251.16,0.00,0.00,5376.80
1778371482.766,50.30,13251.16,0.00,0.00,5376.80
1778371482.867,50.00,13251.16,0.00,0.00,5376.80
1778371482.967,50.30,13251.16,0.00,0.00,5376.80
1778371483.068,49.70,13251.16,0.00,0.00,5376.80
1778371483.168,49.70,13251.16,0.00,0.00,5376.80
1778371483.268,50.60,13251.16,0.00,0.00,5376.80
1778371483.369,50.00,13251.16,0.00,0.00,5376.80
1778371483.469,50.30,13251.16,0.00,0.00,5376.80
1778371483.570,50.00,13251.16,0.00,0.00,5376.80
1778371483.670,50.00,13251.16,0.00,0.00,5376.80
1778371483.770,50.00,13251.16,0.00,0.00,5376.80
1778371483.871,50.00,13251.16,0.00,0.00,5376.80
1778371483.971,50.00,13251.16,0.00,0.00,5376.80
1778371484.071,50.30,13251.16,0.00,0.00,5376.80
1778371484.172,50.00,13251.16,0.00,0.00,5376.80
1778371484.272,49.70,13251.16,0.00,0.00,5376.80
1778371484.373,50.00,13251.16,0.00,0.00,5376.80
1778371484.473,50.00,13251.16,0.00,0.00,5376.80
1778371484.573,50.30,13251.16,0.00,0.00,5376.80
1778371484.674,50.00,13251.16,0.00,0.00,5376.80
1778371484.774,50.00,13251.16,0.00,0.00,5376.80
1778371484.875,50.00,13251.16,0.00,0.00,5376.80
1778371484.975,50.00,13251.16,0.00,0.00,5376.80
1778371485.075,50.00,13251.16,0.00,0.00,5376.80
1778371485.176,50.00,13251.16,0.00,0.00,5376.80
1778371485.276,50.00,13251.16,0.00,0.00,5376.80
1778371485.376,50.00,13251.16,0.00,0.00,5376.80
1778371485.477,50.00,13251.16,0.00,0.00,5376.80
1778371485.577,50.30,13251.16,0.00,0.00,5376.80
1778371485.678,50.00,13251.16,0.00,0.00,5376.80
1778371485.778,50.30,13251.16,0.00,0.00,5376.80
1778371485.878,50.30,13251.16,0.00,0.00,5376.80
1778371485.979,49.70,13251.16,0.00,0.00,5376.80
1778371486.079,50.00,13251.16,0.00,0.00,5376.80
1778371486.180,50.00,13251.16,0.00,0.00,5376.80
1778371486.280,50.00,13251.16,0.00,0.00,5376.80
1778371486.380,50.30,13251.16,0.00,0.00,5376.80
1778371486.481,50.00,13251.16,0.00,0.00,5376.80
1778371486.581,50.00,13251.16,0.00,0.00,5376.80
1778371486.681,50.00,13251.16,0.00,0.00,5376.80
1778371486.782,50.00,13251.16,0.00,0.00,5376.80
1778371486.882,50.30,13251.16,0.00,0.00,5376.80
1778371486.983,50.00,13251.16,0.00,0.00,5376.80
1778371487.083,50.00,13251.16,0.00,0.00,5376.80
1778371487.183,50.00,13251.16,0.00,0.00,5376.80
1778371487.284,50.00,13251.16,0.00,0.00,5376.80
1778371487.384,50.30,13251.16,0.00,0.00,5376.80
1778371487.485,50.00,13251.16,0.00,0.00,5376.80
1778371487.585,50.00,13251.16,0.00,0.00,5376.80
