timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778369119.996,0.00,260.34,0.00,0.00,2318.00
1778369120.096,1.30,262.57,0.00,0.00,2318.00
1778369120.197,3.80,272.77,0.00,0.00,2318.00
1778369120.318,6.20,289.95,0.00,0.00,2318.00
1778369120.418,6.30,309.85,0.00,0.00,2318.00
1778369120.530,6.50,361.82,0.00,0.00,2318.00
1778369120.674,5.90,371.08,0.00,0.00,2318.00
1778369120.775,6.70,380.14,0.00,0.00,2318.00
1778369120.881,83.60,400.94,0.00,0.00,2318.00
1778369120.981,26.60,1072.80,0.00,0.00,2318.00
1778369121.082,49.70,3831.16,0.00,0.00,2318.00
1778369121.182,50.00,6384.33,0.00,0.00,2318.00
1778369121.282,50.00,8977.35,0.00,0.00,2318.00
1778369121.382,50.30,11547.19,0.00,0.00,2318.00
1778369121.482,50.00,14129.83,0.00,0.00,2318.00
1778369121.610,14.80,9938.26,0.00,0.00,2318.00
1778369121.710,49.10,12485.79,0.00,0.00,2318.00
1778369121.857,30.80,13010.20,0.00,0.00,2318.00
1778369121.957,0.60,13010.20,0.00,0.00,2318.00
1778369122.057,0.00,13010.27,0.00,0.00,2318.00
1778369122.162,3.00,13044.38,0.00,0.00,2318.00
1778369125.844,6.30,13183.93,0.00,0.00,2318.00
1778369128.590,6.30,13158.34,0.00,0.00,2318.00
1778369128.691,0.00,13158.34,0.00,0.00,2318.00
1778369128.791,1.20,13159.61,0.00,0.00,2318.00
1778369128.891,21.10,13231.94,0.00,0.00,2318.00
1778369128.992,47.80,13219.45,0.00,0.00,2318.00
1778369129.092,50.00,13224.56,0.00,0.00,2318.00
1778369129.192,50.30,13227.82,0.00,0.00,2318.00
1778369129.293,50.00,13234.32,0.00,0.00,2318.00
1778369129.393,49.70,13242.23,0.00,0.00,2318.00
1778369129.493,50.00,13249.20,0.00,0.00,2318.00
1778369129.594,50.00,13252.34,0.00,0.00,2318.00
1778369129.694,50.00,13252.34,0.00,0.00,2318.00
1778369129.795,50.30,13252.34,0.00,0.00,2318.00
1778369129.895,50.00,13252.34,0.00,0.00,2318.00
1778369129.995,49.70,13252.34,0.00,0.00,2318.00
