timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778368813.774,0.00,260.34,0.00,0.00,282.52
1778368813.875,1.30,262.59,0.00,0.00,282.52
1778368813.975,0.60,262.60,0.00,0.00,282.52
1778368814.079,6.10,277.07,0.00,0.00,282.52
1778368814.197,5.90,290.16,0.00,0.00,282.52
1778368814.297,6.10,309.16,0.00,0.00,282.52
1778368814.415,6.50,361.68,0.00,0.00,282.52
1778368814.613,6.30,371.65,0.00,0.00,282.52
1778368814.716,6.10,379.71,0.00,0.00,282.52
1778368814.822,76.70,400.65,0.00,0.00,282.52
1778368814.923,28.10,678.93,0.00,0.00,282.52
1778368815.023,49.40,3397.97,0.00,0.00,282.52
1778368815.123,50.30,5881.04,0.00,0.00,282.52
1778368815.224,50.30,8405.22,0.00,0.00,282.52
1778368815.324,49.70,10921.38,0.00,0.00,282.52
1778368815.424,50.30,13455.01,0.00,0.00,282.52
1778368815.617,18.20,9938.80,0.00,0.00,282.52
1778368815.718,49.10,12405.38,0.00,0.00,282.52
1778368815.922,25.00,13010.18,0.00,0.00,282.52
1778368816.022,0.00,13010.18,0.00,0.00,282.52
1778368816.123,0.00,13010.25,0.00,0.00,282.52
1778368819.834,5.30,13179.20,0.00,0.00,282.52
1778368822.663,6.30,13184.13,0.00,0.00,282.52
1778368822.764,0.60,13160.35,0.00,0.00,282.52
1778368822.864,0.00,13160.35,0.00,0.00,282.52
1778368822.965,18.60,13193.92,0.00,0.00,282.52
1778368823.065,35.40,13224.87,0.00,0.00,282.52
1778368823.166,49.70,13224.87,0.00,0.00,282.52
1778368823.266,50.00,13233.68,0.00,0.00,282.52
1778368823.366,50.30,13236.43,0.00,0.00,282.52
1778368823.467,50.00,13245.25,0.00,0.00,282.52
1778368823.567,50.00,13252.96,0.00,0.00,282.52
1778368823.667,50.00,13256.26,0.00,0.00,282.52
1778368823.768,50.00,13261.86,0.00,0.00,282.52
1778368823.868,50.00,13261.86,0.00,0.00,282.52
1778368823.969,50.30,13261.86,0.00,0.00,282.52
1778368824.069,50.00,13261.86,0.00,0.00,282.52
1778368824.169,50.00,13261.86,0.00,0.00,282.52
1778368824.270,50.00,13261.86,0.00,0.00,282.52
1778368824.370,50.00,13261.86,0.00,0.00,282.52
1778368824.470,50.30,13261.86,0.00,0.00,282.52
1778368824.571,50.00,13261.86,0.00,0.00,282.52
1778368824.671,50.30,13261.86,0.00,0.00,282.52
1778368824.772,50.00,13261.86,0.00,0.00,282.52
1778368824.872,49.70,13261.86,0.00,0.00,282.52
1778368824.972,50.30,13261.86,0.00,0.00,282.52
