timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778077392.617,0.00,408.12,0.00,0.00,6027.10
1778077392.717,1.70,409.91,0.00,0.00,6027.10
1778077392.817,5.00,417.59,0.00,0.00,6027.10
1778077392.918,9.00,434.14,0.00,0.00,6027.10
1778077393.018,7.60,448.40,0.00,0.00,6027.10
1778077393.141,8.70,452.49,0.00,0.00,6027.10
1778077393.243,8.30,460.89,0.00,0.00,6027.10
1778077393.343,8.30,493.20,0.00,0.00,6027.10
1778077393.446,8.90,500.16,0.00,0.00,6027.10
1778077393.546,8.30,505.82,0.00,0.00,6027.10
1778077393.662,8.00,507.73,0.00,0.00,6027.10
1778077393.771,76.40,524.92,0.00,0.00,6027.10
1778077393.872,8.80,541.78,0.00,0.00,6027.10
1778077393.972,8.30,557.75,0.00,0.00,6027.10
1778077394.072,5.00,557.75,0.00,0.00,6027.10
1778077394.172,9.10,557.75,0.00,0.00,6027.10
1778077394.273,4.20,557.94,0.00,0.00,6027.10
1778077394.373,8.30,557.94,0.00,0.00,6027.10
1778077394.473,5.00,557.94,0.00,0.00,6027.10
1778077394.573,6.60,557.94,0.00,0.00,6027.10
1778077394.741,7.00,568.37,0.00,0.00,6027.10
1778077394.842,8.30,571.85,0.00,0.00,6027.10
1778077394.942,0.00,571.85,0.00,0.00,6027.10
1778077395.042,0.80,571.98,0.00,0.00,6027.10
1778077395.193,7.40,622.80,0.00,0.00,6027.10
1778077399.334,8.40,788.98,0.00,0.00,6027.10
1778077402.540,8.30,791.99,0.00,0.00,6027.10
1778077402.640,8.10,769.99,0.00,0.00,6027.10
1778077402.741,0.80,771.16,0.00,0.00,6027.10
1778077402.841,32.20,775.33,0.00,0.00,6027.10
1778077402.941,35.50,843.22,0.00,0.00,6027.10
1778077403.041,50.00,987.28,0.00,0.00,6027.10
1778077403.142,49.60,1083.47,0.00,0.00,6027.10
1778077403.242,50.00,1209.16,0.00,0.00,6027.10
1778077403.342,49.60,1370.91,0.00,0.00,6027.10
1778077403.443,50.40,1466.60,0.00,0.00,6027.10
1778077403.543,50.00,1586.35,0.00,0.00,6027.10
1778077403.643,50.00,1754.04,0.00,0.00,6027.10
1778077403.744,50.00,1849.72,0.00,0.00,6027.10
1778077403.844,50.00,1963.54,0.00,0.00,6027.10
1778077403.944,49.60,2089.22,0.00,0.00,6027.10
1778077404.045,49.60,2232.85,0.00,0.00,6027.10
1778077404.145,50.00,2328.72,0.00,0.00,6027.10
1778077404.245,50.00,2472.35,0.00,0.00,6027.10
1778077404.346,50.00,2615.98,0.00,0.00,6027.10
1778077404.446,49.60,2711.86,0.00,0.00,6027.10
1778077404.546,50.40,2855.48,0.00,0.00,6027.10
1778077404.647,50.40,2951.17,0.00,0.00,6027.10
1778077404.747,49.60,3094.98,0.00,0.00,6027.10
1778077404.848,50.00,3238.61,0.00,0.00,6027.10
1778077404.948,50.00,3334.29,0.00,0.00,6027.10
1778077405.048,49.60,3478.11,0.00,0.00,6027.10
1778077405.149,50.00,3621.73,0.00,0.00,6027.10
1778077405.249,50.00,3717.42,0.00,0.00,6027.10
1778077405.349,50.00,3861.23,0.00,0.00,6027.10
1778077405.450,50.00,3992.29,0.00,0.00,6027.10
1778077405.550,50.00,4096.92,0.00,0.00,6027.10
1778077405.650,50.00,4244.36,0.00,0.00,6027.10
1778077405.751,50.00,4340.04,0.00,0.00,6027.10
1778077405.851,50.00,4465.73,0.00,0.00,6027.10
1778077405.952,50.00,4627.48,0.00,0.00,6027.10
1778077406.052,50.00,4723.17,0.00,0.00,6027.10
1778077406.152,50.40,4842.92,0.00,0.00,6027.10
1778077406.253,50.00,5010.61,0.00,0.00,6027.10
1778077406.353,50.00,5106.29,0.00,0.00,6027.10
1778077406.453,49.60,5226.05,0.00,0.00,6027.10
1778077406.554,50.40,5393.74,0.00,0.00,6027.10
1778077406.654,49.60,5489.43,0.00,0.00,6027.10
1778077406.754,50.00,5609.18,0.00,0.00,6027.10
1778077406.855,50.40,5776.86,0.00,0.00,6027.10
1778077406.955,49.60,5872.55,0.00,0.00,6027.10
1778077407.055,50.00,5992.30,0.00,0.00,6027.10
1778077407.156,50.00,6159.99,0.00,0.00,6027.10
1778077407.256,50.40,7075.80,0.00,0.00,6027.10
1778077407.356,50.00,7075.80,0.00,0.00,6027.10
1778077407.457,50.40,7075.80,0.00,0.00,6027.10
1778077407.557,49.60,7075.80,0.00,0.00,6027.10
1778077407.657,50.00,7075.80,0.00,0.00,6027.10
1778077407.758,50.00,7075.80,0.00,0.00,6027.10
1778077407.858,50.00,7075.80,0.00,0.00,6027.10
1778077407.958,50.40,7075.80,0.00,0.00,6027.10
1778077408.059,50.00,7075.80,0.00,0.00,6027.10
1778077408.159,49.60,7075.80,0.00,0.00,6027.10
1778077408.260,50.00,7075.80,0.00,0.00,6027.10
1778077408.360,50.00,7075.80,0.00,0.00,6027.10
1778077408.460,50.00,7075.80,0.00,0.00,6027.10
1778077408.561,50.40,7075.80,0.00,0.00,6027.10
1778077408.661,50.00,7075.80,0.00,0.00,6027.10
1778077408.761,50.00,7075.80,0.00,0.00,6027.10
1778077408.862,50.00,7075.80,0.00,0.00,6027.10
1778077408.962,50.00,7075.80,0.00,0.00,6027.10
1778077409.062,50.00,7075.80,0.00,0.00,6027.10
1778077409.163,50.40,7075.80,0.00,0.00,6027.10
1778077409.263,50.00,7075.80,0.00,0.00,6027.10
1778077409.363,50.00,7075.80,0.00,0.00,6027.10
1778077409.464,50.40,7075.80,0.00,0.00,6027.10
1778077409.564,50.00,7075.80,0.00,0.00,6027.10
1778077409.664,49.60,7075.80,0.00,0.00,6027.10
1778077409.765,50.00,7075.80,0.00,0.00,6027.10
1778077409.865,50.00,7075.80,0.00,0.00,6027.10
