timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778074740.330,0.00,408.21,0.00,0.00,2631.33
1778074740.430,4.10,409.85,0.00,0.00,2631.33
1778074740.531,4.20,416.89,0.00,0.00,2631.33
1778074740.633,8.30,432.84,0.00,0.00,2631.33
1778074740.734,8.20,446.43,0.00,0.00,2631.33
1778074740.867,8.10,452.39,0.00,0.00,2631.33
1778074740.968,9.00,460.82,0.00,0.00,2631.33
1778074741.071,8.30,493.20,0.00,0.00,2631.33
1778074741.175,8.10,500.16,0.00,0.00,2631.33
1778074741.276,8.10,505.96,0.00,0.00,2631.33
1778074741.388,8.30,507.67,0.00,0.00,2631.33
1778074741.498,76.00,524.86,0.00,0.00,2631.33
1778074741.598,8.80,541.61,0.00,0.00,2631.33
1778074741.698,7.60,557.86,0.00,0.00,2631.33
1778074741.798,5.00,557.86,0.00,0.00,2631.33
1778074741.898,8.40,557.86,0.00,0.00,2631.33
1778074741.999,5.00,558.04,0.00,0.00,2631.33
1778074742.099,8.30,558.04,0.00,0.00,2631.33
1778074742.199,4.20,558.04,0.00,0.00,2631.33
1778074742.299,7.40,558.04,0.00,0.00,2631.33
1778074742.477,6.60,568.55,0.00,0.00,2631.33
1778074742.578,8.30,571.97,0.00,0.00,2631.33
1778074742.678,0.00,572.10,0.00,0.00,2631.33
1778074742.815,3.00,593.40,0.00,0.00,2631.33
1778074747.091,9.00,788.59,0.00,0.00,2631.33
1778074750.332,8.30,792.39,0.00,0.00,2631.33
1778074750.432,8.10,768.39,0.00,0.00,2631.33
1778074750.533,1.70,769.72,0.00,0.00,2631.33
1778074750.633,33.10,776.82,0.00,0.00,2631.33
1778074750.733,18.30,786.09,0.00,0.00,2631.33
1778074750.834,2.50,808.14,0.00,0.00,2631.33
1778074750.934,28.30,889.23,0.00,0.00,2631.33
1778074751.035,50.00,985.19,0.00,0.00,2631.33
1778074751.135,50.40,1129.34,0.00,0.00,2631.33
1778074751.235,50.00,1207.09,0.00,0.00,2631.33
1778074751.336,50.00,1368.84,0.00,0.00,2631.33
1778074751.436,49.60,1464.53,0.00,0.00,2631.33
1778074751.536,50.00,1560.40,0.00,0.00,2631.33
1778074751.637,50.40,1704.03,0.00,0.00,2631.33
1778074751.737,50.00,1799.71,0.00,0.00,2631.33
1778074751.837,50.00,1943.53,0.00,0.00,2631.33
1778074751.938,50.40,2039.21,0.00,0.00,2631.33
1778074752.038,49.60,2135.09,0.00,0.00,2631.33
1778074752.138,50.00,2278.71,0.00,0.00,2631.33
1778074752.239,50.00,2374.40,0.00,0.00,2631.33
1778074752.339,50.40,2518.21,0.00,0.00,2631.33
1778074752.439,50.00,2613.91,0.00,0.00,2631.33
1778074752.540,50.00,2709.79,0.00,0.00,2631.33
1778074752.640,50.00,2853.41,0.00,0.00,2631.33
1778074752.740,50.00,2949.10,0.00,0.00,2631.33
1778074752.841,50.40,3092.91,0.00,0.00,2631.33
1778074752.941,49.60,3188.60,0.00,0.00,2631.33
1778074753.041,50.00,3302.41,0.00,0.00,2631.33
1778074753.142,50.00,3428.10,0.00,0.00,2631.33
1778074753.242,50.00,3523.79,0.00,0.00,2631.33
1778074753.342,50.40,3667.60,0.00,0.00,2631.33
1778074753.443,50.40,3763.29,0.00,0.00,2631.33
1778074753.543,49.60,3877.10,0.00,0.00,2631.33
1778074753.643,49.60,4002.79,0.00,0.00,2631.33
1778074753.744,50.40,4146.35,0.00,0.00,2631.33
1778074753.844,50.00,4242.29,0.00,0.00,2631.33
1778074753.945,50.00,4337.97,0.00,0.00,2631.33
1778074754.045,50.00,4451.79,0.00,0.00,2631.33
1778074754.145,50.40,4577.47,0.00,0.00,2631.33
1778074754.246,50.00,4721.10,0.00,0.00,2631.33
1778074754.346,50.00,4816.98,0.00,0.00,2631.33
1778074754.446,49.60,4960.61,0.00,0.00,2631.33
1778074754.547,50.00,5038.36,0.00,0.00,2631.33
1778074754.647,50.40,5200.11,0.00,0.00,2631.33
1778074754.747,49.60,5295.79,0.00,0.00,2631.33
1778074754.848,50.40,5391.67,0.00,0.00,2631.33
1778074754.948,50.40,5535.29,0.00,0.00,2631.33
1778074755.048,49.60,5630.98,0.00,0.00,2631.33
1778074755.149,50.00,5774.79,0.00,0.00,2631.33
1778074755.249,50.00,5870.48,0.00,0.00,2631.33
1778074755.349,50.00,5984.29,0.00,0.00,2631.33
1778074755.450,50.00,6109.98,0.00,0.00,2631.33
1778074755.550,50.40,7073.61,0.00,0.00,2631.33
1778074755.650,50.00,7073.61,0.00,0.00,2631.33
1778074755.751,50.40,7073.61,0.00,0.00,2631.33
1778074755.851,49.60,7073.61,0.00,0.00,2631.33
1778074755.951,50.00,7073.61,0.00,0.00,2631.33
1778074756.052,50.00,7073.61,0.00,0.00,2631.33
1778074756.152,50.00,7073.61,0.00,0.00,2631.33
1778074756.253,50.40,7073.61,0.00,0.00,2631.33
1778074756.353,49.60,7073.61,0.00,0.00,2631.33
1778074756.453,50.00,7073.61,0.00,0.00,2631.33
1778074756.554,50.40,7073.61,0.00,0.00,2631.33
1778074756.654,49.60,7073.61,0.00,0.00,2631.33
