timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,total_time_sec
1778074600.857,0.00,407.90,0.00,0.00,119.43
1778074600.957,2.50,409.68,0.00,0.00,119.43
1778074601.059,5.00,418.27,0.00,0.00,119.43
1778074601.160,8.30,434.89,0.00,0.00,119.43
1778074601.260,8.90,448.21,0.00,0.00,119.43
1778074601.378,7.80,452.26,0.00,0.00,119.43
1778074601.479,9.10,460.68,0.00,0.00,119.43
1778074601.580,8.30,492.98,0.00,0.00,119.43
1778074601.683,8.30,499.94,0.00,0.00,119.43
1778074601.783,7.40,505.62,0.00,0.00,119.43
1778074601.899,9.30,507.50,0.00,0.00,119.43
1778074602.009,75.80,524.70,0.00,0.00,119.43
1778074602.109,8.80,541.82,0.00,0.00,119.43
1778074602.210,8.30,557.79,0.00,0.00,119.43
1778074602.310,4.20,557.79,0.00,0.00,119.43
1778074602.410,7.50,557.79,0.00,0.00,119.43
1778074602.510,3.30,557.79,0.00,0.00,119.43
1778074602.611,7.60,557.97,0.00,0.00,119.43
1778074602.711,5.00,557.97,0.00,0.00,119.43
1778074602.811,8.30,557.97,0.00,0.00,119.43
1778074603.013,6.60,568.35,0.00,0.00,119.43
1778074603.113,8.30,571.89,0.00,0.00,119.43
1778074603.214,0.00,572.02,0.00,0.00,119.43
1778074603.314,0.80,572.02,0.00,0.00,119.43
1778074603.455,7.90,621.96,0.00,0.00,119.43
1778074607.677,8.30,788.29,0.00,0.00,119.43
1778074610.890,8.00,792.23,0.00,0.00,119.43
1778074610.990,8.10,768.23,0.00,0.00,119.43
1778074611.090,5.80,769.59,0.00,0.00,119.43
1778074611.191,33.10,777.17,0.00,0.00,119.43
1778074611.291,35.00,842.49,0.00,0.00,119.43
1778074611.391,49.60,938.64,0.00,0.00,119.43
1778074611.492,50.00,1082.47,0.00,0.00,119.43
1778074611.592,50.00,1178.34,0.00,0.00,119.43
1778074611.692,49.60,1274.03,0.00,0.00,119.43
1778074611.793,50.00,1369.91,0.00,0.00,119.43
1778074611.893,50.00,1465.59,0.00,0.00,119.43
1778074611.993,49.60,1561.47,0.00,0.00,119.43
1778074612.094,49.60,1704.72,0.00,0.00,119.43
1778074612.194,50.00,1770.97,0.00,0.00,119.43
1778074612.294,50.00,1896.66,0.00,0.00,119.43
1778074612.395,49.60,1974.41,0.00,0.00,119.43
1778074612.495,49.60,2088.22,0.00,0.00,119.43
1778074612.595,50.00,2183.91,0.00,0.00,119.43
1778074612.696,49.60,2327.72,0.00,0.00,119.43
1778074612.796,49.60,2423.41,0.00,0.00,119.43
1778074612.896,50.00,2519.28,0.00,0.00,119.43
1778074612.997,50.00,2614.98,0.00,0.00,119.43
1778074613.097,49.60,2710.85,0.00,0.00,119.43
1778074613.198,50.00,2806.54,0.00,0.00,119.43
1778074613.298,49.20,2920.35,0.00,0.00,119.43
1778074613.398,49.60,3046.04,0.00,0.00,119.43
1778074613.498,50.00,3117.85,0.00,0.00,119.43
1778074613.599,50.00,3237.60,0.00,0.00,119.43
1778074613.699,50.00,3333.29,0.00,0.00,119.43
1778074613.800,50.00,3429.16,0.00,0.00,119.43
1778074613.900,49.20,3564.04,0.00,0.00,119.43
1778074614.000,49.60,3668.66,0.00,0.00,119.43
1778074614.101,50.40,3764.35,0.00,0.00,119.43
1778074614.201,50.00,3860.23,0.00,0.00,119.43
1778074614.301,49.60,3955.91,0.00,0.00,119.43
1778074614.402,50.40,4051.79,0.00,0.00,119.43
1778074614.502,48.70,4184.66,0.00,0.00,119.43
1778074614.602,50.00,4261.29,0.00,0.00,119.43
1778074614.703,49.60,4386.98,0.00,0.00,119.43
1778074614.803,50.40,4464.73,0.00,0.00,119.43
1778074614.903,50.00,4578.55,0.00,0.00,119.43
1778074615.004,45.40,4644.42,0.00,0.00,119.43
1778074615.104,50.00,4770.11,0.00,0.00,119.43
1778074615.204,48.80,4865.80,0.00,0.00,119.43
1778074615.305,50.40,4983.55,0.00,0.00,119.43
1778074615.405,50.00,5105.30,0.00,0.00,119.43
1778074615.505,49.60,5201.17,0.00,0.00,119.43
1778074615.606,50.40,5296.86,0.00,0.00,119.43
1778074615.706,50.00,5392.73,0.00,0.00,119.43
1778074615.806,50.00,5494.48,0.00,0.00,119.43
1778074615.907,49.60,5602.23,0.00,0.00,119.43
1778074616.007,48.30,5713.61,0.00,0.00,119.43
1778074616.107,49.60,5793.80,0.00,0.00,119.43
1778074616.208,50.00,5919.48,0.00,0.00,119.43
1778074616.308,50.00,5997.23,0.00,0.00,119.43
1778074616.408,50.00,6111.05,0.00,0.00,119.43
1778074616.509,50.00,7073.73,0.00,0.00,119.43
1778074616.609,50.00,7073.73,0.00,0.00,119.43
1778074616.709,50.40,7073.73,0.00,0.00,119.43
1778074616.810,50.00,7073.73,0.00,0.00,119.43
1778074616.910,49.60,7073.73,0.00,0.00,119.43
1778074617.011,50.40,7073.73,0.00,0.00,119.43
1778074617.111,50.00,7073.73,0.00,0.00,119.43
1778074617.211,50.00,7073.73,0.00,0.00,119.43
1778074617.311,50.00,7073.73,0.00,0.00,119.43
1778074617.412,50.00,7073.73,0.00,0.00,119.43
1778074617.512,50.00,7073.73,0.00,0.00,119.43
1778074617.613,49.60,7073.73,0.00,0.00,119.43
1778074617.713,50.00,7073.73,0.00,0.00,119.43
1778074617.813,50.00,7073.73,0.00,0.00,119.43
1778074617.913,50.40,7073.73,0.00,0.00,119.43
1778074618.014,50.00,7073.73,0.00,0.00,119.43
1778074618.114,50.00,7073.73,0.00,0.00,119.43
1778074618.215,50.40,7073.73,0.00,0.00,119.43
1778074618.315,50.00,7073.73,0.00,0.00,119.43
1778074618.415,49.60,7073.73,0.00,0.00,119.43
1778074618.516,50.40,7073.73,0.00,0.00,119.43
1778074618.616,50.00,7073.73,0.00,0.00,119.43
1778074618.716,50.00,7073.73,0.00,0.00,119.43
1778074618.817,50.00,7073.73,0.00,0.00,119.43
1778074618.917,50.00,7073.73,0.00,0.00,119.43
1778074619.018,50.00,7073.73,0.00,0.00,119.43
1778074619.118,50.00,7073.73,0.00,0.00,119.43
1778074619.218,50.00,7073.73,0.00,0.00,119.43
1778074619.319,50.00,7073.73,0.00,0.00,119.43
1778074619.419,50.00,7073.73,0.00,0.00,119.43
1778074619.519,50.00,7073.73,0.00,0.00,119.43
1778074619.620,50.80,7073.73,0.00,0.00,119.43
1778074619.720,49.60,7073.73,0.00,0.00,119.43
1778074619.820,50.00,7073.73,0.00,0.00,119.43
1778074619.921,50.00,7073.73,0.00,0.00,119.43
1778074620.021,50.00,7073.73,0.00,0.00,119.43
1778074620.121,50.40,7073.73,0.00,0.00,119.43
1778074620.222,50.00,7073.73,0.00,0.00,119.43
1778074620.322,49.60,7073.73,0.00,0.00,119.43
1778074620.423,50.00,7073.73,0.00,0.00,119.43
1778074620.523,50.00,7073.73,0.00,0.00,119.43
1778074620.623,50.00,7073.73,0.00,0.00,119.43
1778074620.724,50.40,7073.73,0.00,0.00,119.43
1778074620.824,50.00,7073.73,0.00,0.00,119.43
1778074620.924,50.00,7073.73,0.00,0.00,119.43
1778074621.025,50.00,7073.73,0.00,0.00,119.43
1778074621.125,50.00,7073.73,0.00,0.00,119.43
1778074621.225,50.40,7073.73,0.00,0.00,119.43
1778074621.326,50.40,7073.73,0.00,0.00,119.43
1778074621.426,50.00,7073.73,0.00,0.00,119.43
1778074621.526,50.00,7073.73,0.00,0.00,119.43
1778074621.627,50.00,7073.73,0.00,0.00,119.43
1778074621.727,49.60,7073.73,0.00,0.00,119.43
1778074621.827,50.40,7073.73,0.00,0.00,119.43
1778074621.928,50.00,7073.73,0.00,0.00,119.43
1778074622.028,50.00,7073.73,0.00,0.00,119.43
1778074622.128,50.00,7073.73,0.00,0.00,119.43
1778074622.229,50.00,7073.73,0.00,0.00,119.43
1778074622.329,50.00,7073.73,0.00,0.00,119.43
1778074622.430,50.00,7073.73,0.00,0.00,119.43
1778074622.530,50.00,7073.73,0.00,0.00,119.43
1778074622.630,50.00,7073.73,0.00,0.00,119.43
1778074622.731,50.00,7073.73,0.00,0.00,119.43
1778074622.831,50.00,7073.73,0.00,0.00,119.43
1778074622.931,50.00,7073.73,0.00,0.00,119.43
1778074623.032,50.40,7073.73,0.00,0.00,119.43
1778074623.132,49.60,7073.73,0.00,0.00,119.43
1778074623.232,50.40,7073.73,0.00,0.00,119.43
1778074623.333,50.00,7073.73,0.00,0.00,119.43
1778074623.433,50.00,7073.73,0.00,0.00,119.43
1778074623.533,50.40,7073.73,0.00,0.00,119.43
1778074623.634,50.00,7073.73,0.00,0.00,119.43
1778074623.734,50.00,7073.73,0.00,0.00,119.43
1778074623.835,49.60,7073.73,0.00,0.00,119.43
1778074623.935,50.00,7073.73,0.00,0.00,119.43
1778074624.035,50.00,7073.73,0.00,0.00,119.43
1778074624.136,50.40,7073.73,0.00,0.00,119.43
1778074624.236,49.60,7073.73,0.00,0.00,119.43
1778074624.336,50.00,7073.73,0.00,0.00,119.43
1778074624.437,50.40,7073.73,0.00,0.00,119.43
1778074624.537,50.00,7073.73,0.00,0.00,119.43
1778074624.637,50.00,7073.73,0.00,0.00,119.43
1778074624.738,50.00,7073.73,0.00,0.00,119.43
1778074624.838,50.00,7073.73,0.00,0.00,119.43
1778074624.938,50.00,7073.73,0.00,0.00,119.43
1778074625.039,50.40,7073.73,0.00,0.00,119.43
1778074625.139,49.60,7073.73,0.00,0.00,119.43
1778074625.239,50.00,7073.73,0.00,0.00,119.43
1778074625.340,50.00,7073.73,0.00,0.00,119.43
1778074625.440,50.00,7073.73,0.00,0.00,119.43
1778074625.541,50.40,7073.73,0.00,0.00,119.43
1778074625.641,50.00,7073.73,0.00,0.00,119.43
